,SPY 3/20/15 C205,,SPY 4/17/15 C201,,SPY 5/15/15 C211,,SPY 6/19/15 C205,,SPY 7/17/15 C210,,SPY 8/21/15 C211,,SPY 9/18/15 C207,,SPY 10/16/15 C209,,SPY 11/20/15 C191,,SPY 12/18/15 C192,,SPY 1/15/16 C210,,SPY 2/19/16 C210,,SPY 3/18/16 C201,,SPY 4/15/16 C193,,SPY 5/20/16 C198,,SPY 6/17/16 C206,,SPY 7/15/16 C207,,SPY 8/19/16 C210,,SPY 9/16/16 C209,,SPY 10/21/16 C216,,SPY 11/18/16 C217,,SPY 12/16/16 C215,,SPY 1/20/17 C211,,SPY 2/17/17 C219,,SPY 3/17/17 C225,,SPY 4/21/17 C227,,SPY 5/19/17 C239,,SPY 6/16/17 C235,,SPY 7/21/17 C238,,SPY 8/18/17 C243,,SPY 9/15/17 C242,,SPY 10/20/17 C247,,SPY 11/17/17 C247,,SPY 12/15/17 C252,,SPY 1/19/18 C257,,SPY 2/16/18 C264,,SPY 3/16/18 C268,,SPY 4/20/18 C281,,SPY 5/18/18 C267,,SPY 6/15/18 C257,,SPY 7/20/18 C264,,SPY 8/17/18 C273,,SPY 9/21/18 C271,,SPY 10/19/18 C280,,SPY 11/16/18 C289,,SPY 12/21/18 C291,,SPY 1/18/19 C273,,SPY 2/15/19 C279,,SPY 3/15/19 C250,,SPY 4/18/19 C270,,SPY 5/17/19 C280,,SPY 6/21/19 C285,,SPY 7/19/19 C291,,SPY 8/16/19 C274,,SPY 9/20/19 C295,,SPY 10/18/19 C294,,SPY 11/15/19 C290,,SPY 12/20/19 C293,,SPY 1/17/20 C306,,SPY 2/21/20 C311,,SPY 3/20/20 C324,,SPY 4/17/20 C324,,SPY 5/15/20 C309,,SPY 6/19/20 C246,,SPY 7/17/20 C282,,SPY 8/21/20 C305,,SPY 9/18/20 C310,,SPY 10/16/20 C328,
0,1/2/2015,5.72,2/2/2015,6.53,3/2/2015,4.86,4/1/2015,6.15,5/1/2015,4.98,6/1/2015,4.99,7/1/2015,5.81,8/3/2015,4.73,9/1/2015,8.87,#N/A Invalid Security,,11/2/2015,4.69,12/1/2015,5.37,1/4/2016,6.6,2/1/2016,6.48,3/1/2016,5.7,4/1/2016,5.45,5/2/2016,5.4,6/1/2016,4.76,7/1/2016,5.85,8/1/2016,5.13,9/1/2016,4.88,10/3/2016,5.67,11/1/2016,5.7,12/1/2016,5.14,1/3/2017,5.26,2/1/2017,4.83,3/1/2017,5.52,4/3/2017,5.06,5/1/2017,4.71,6/1/2017,3.94,7/3/2017,4.66,8/1/2017,4.09,9/1/2017,4.87,10/2/2017,4.51,11/1/2017,4.4,12/1/2017,5.07,1/2/2018,5.15,2/1/2018,6.69,3/1/2018,8.7,4/2/2018,9.5,5/1/2018,7.55,6/1/2018,6.07,7/2/2018,7.69,8/1/2018,6.29,9/4/2018,6.35,10/1/2018,7.23,11/1/2018,9.05,12/3/2018,7.72,1/2/2019,9.78,2/1/2019,7.33,3/1/2019,6.6,4/1/2019,8.19,5/1/2019,7.58,6/3/2019,8.38,7/1/2019,8.3,8/1/2019,9,9/3/2019,9.4,10/1/2019,10.06,11/1/2019,6.73,12/2/2019,8.34,1/2/2020,8.62,2/3/2020,8.84,3/2/2020,12.59,4/1/2020,20.58,5/1/2020,16.33,6/1/2020,13.56,7/1/2020,14.5,8/3/2020,12.75
,1/5/2015,4.15,2/3/2015,7.77,3/3/2015,4.37,4/2/2015,6.39,5/4/2015,5.3,6/2/2015,4.8,7/2/2015,5.82,8/4/2015,4.42,9/2/2015,10.1,,,11/3/2015,5.13,12/2/2015,4.44,1/5/2016,6.5,2/2/2016,4.85,3/2/2016,6.15,4/4/2016,5.23,5/3/2016,4.55,6/2/2016,5.02,7/5/2016,4.92,8/2/2016,4.47,9/2/2016,5.21,10/4/2016,4.89,11/2/2016,4.91,12/2/2016,5.25,1/4/2017,5.69,2/2/2017,4.92,3/2/2017,4.74,4/4/2017,5,5/2/2017,4.68,6/2/2017,4.45,7/5/2017,4.92,8/2/2017,4.25,9/5/2017,4.15,10/3/2017,4.82,11/2/2017,4.53,12/4/2017,4.64,1/3/2018,6.41,2/2/2018,3.91,3/2/2018,9.22,4/3/2018,11.04,5/2/2018,6.17,6/4/2018,6.6,7/3/2018,7.51,8/2/2018,7.15,9/5/2018,5.9,10/2/2018,7.3,11/2/2018,8.25,12/4/2018,4.11,1/3/2019,6.87,2/4/2019,8.04,3/4/2019,5.93,4/2/2019,7.92,5/2/2019,6.92,6/4/2019,11.53,7/2/2019,8.5,8/2/2019,7.65,9/4/2019,10.8,10/2/2019,7.37,11/4/2019,7.37,12/3/2019,7.45,1/3/2020,7.6,2/4/2020,11.4,3/3/2020,9.3,4/2/2020,22.35,5/4/2020,16,6/2/2020,14.37,7/2/2020,15.61,8/4/2020,13.25
,1/6/2015,3.45,2/4/2015,7.25,3/4/2015,3.89,4/6/2015,7.12,5/5/2015,4.14,6/3/2015,5.05,7/6/2015,5.58,8/5/2015,4.89,9/3/2015,10.3,,,11/4/2015,4.93,12/3/2015,3.33,1/6/2016,5.17,2/3/2016,5.35,3/3/2016,6.44,4/5/2016,4.3,5/4/2016,4.12,6/3/2016,4.6,7/6/2016,5.46,8/3/2016,4.64,9/6/2016,5.37,10/5/2016,5.46,11/3/2016,4.73,12/5/2016,5.53,1/5/2017,5.56,2/3/2017,5.75,3/3/2017,4.42,4/5/2017,4.44,5/3/2017,4.49,6/5/2017,4.31,7/6/2017,3.9,8/3/2017,4.19,9/6/2017,4.27,10/4/2017,4.95,11/3/2017,4.91,12/5/2017,3.95,1/4/2018,7.25,2/5/2018,2.09,3/5/2018,10.9,4/4/2018,13.35,5/3/2018,6.3,6/5/2018,6.65,7/5/2018,8.23,8/3/2018,7.73,9/6/2018,5.43,10/3/2018,7.4,11/5/2018,8.76,12/6/2018,3.97,1/4/2019,10.75,2/5/2019,8.79,3/5/2019,5.76,4/3/2019,8.56,5/3/2019,8.55,6/5/2019,13.19,7/3/2019,9.9,8/5/2019,4.41,9/5/2019,12.95,10/3/2019,8.43,11/5/2019,7.37,12/4/2019,8.3,1/6/2020,8.05,2/5/2020,13.67,3/4/2020,14.52,4/3/2020,19.34,5/5/2020,18.07,6/3/2020,16.93,7/6/2020,18.36,8/5/2020,14.19
,1/7/2015,4.31,2/5/2015,8.7,3/5/2015,3.98,4/7/2015,6.8,5/6/2015,3.7,6/4/2015,4.36,7/7/2015,5.99,8/6/2015,4.09,9/4/2015,8.79,,,11/5/2015,4.66,12/4/2015,4.63,1/7/2016,3.27,2/4/2016,5.46,3/4/2016,6.88,4/6/2016,5.25,5/5/2016,3.89,6/6/2016,5.13,7/7/2016,5.34,8/4/2016,4.63,9/7/2016,5.29,10/6/2016,5.59,11/4/2016,4.57,12/6/2016,5.86,1/6/2017,6.05,2/6/2017,5.35,3/6/2017,4.02,4/6/2017,4.76,5/4/2017,4.49,6/6/2017,4.06,7/7/2017,4.45,8/4/2017,4.2,9/7/2017,4.28,10/5/2017,5.89,11/6/2017,5.14,12/6/2017,3.92,1/5/2018,8.63,2/6/2018,3.05,3/6/2018,11.22,4/5/2018,14.37,5/4/2018,7.75,6/6/2018,7.91,7/6/2018,9.42,8/6/2018,8.32,9/7/2018,5.01,10/4/2018,6.17,11/6/2018,9.97,12/7/2018,2.48,1/7/2019,11.77,2/6/2019,8.49,3/6/2019,5.03,4/4/2019,8.85,5/6/2019,7.96,6/6/2019,15,7/5/2019,9.46,8/6/2019,5.23,9/6/2019,12.93,10/4/2019,10.16,11/6/2019,7.38,12/5/2019,8.42,1/7/2020,7.24,2/6/2020,14.13,3/5/2020,11.47,4/6/2020,26.04,5/6/2020,17.04,6/4/2020,16.01,7/7/2020,16.32,8/6/2020,15.55
,1/8/2015,5.84,2/6/2015,8.39,3/6/2015,2.72,4/8/2015,6.91,5/7/2015,4.08,6/5/2015,3.94,7/8/2015,4.54,8/7/2015,3.78,9/8/2015,10.98,,,11/6/2015,4.49,12/7/2015,4.22,1/8/2016,2.68,2/5/2016,3.86,3/7/2016,6.76,4/7/2016,4.11,5/6/2016,4.09,6/7/2016,5.23,7/8/2016,6.95,8/5/2016,5.49,9/8/2016,5.07,10/7/2016,4.95,11/7/2016,6.51,12/7/2016,7.79,1/9/2017,5.53,2/7/2017,5.46,3/7/2017,3.45,4/7/2017,4.78,5/5/2017,5.03,6/7/2017,4.15,7/10/2017,4.44,8/7/2017,4.4,9/8/2017,4.17,10/6/2017,5.64,11/7/2017,5.08,12/7/2017,4.27,1/8/2018,8.95,2/7/2018,1.77,3/7/2018,11.13,4/6/2018,10.55,5/7/2018,8.28,6/7/2018,8.02,7/9/2018,11.04,8/7/2018,8.98,9/10/2018,5.12,10/5/2018,5.47,11/7/2018,13.07,12/10/2018,2.22,1/8/2019,13.06,2/7/2019,7.06,3/7/2019,4.13,4/5/2019,9.5,5/7/2019,6.38,6/7/2019,16.87,7/8/2019,8.56,8/7/2019,5.22,9/9/2019,12.3,10/7/2019,9.16,11/7/2019,7.93,12/6/2019,10.15,1/8/2020,8.43,2/7/2020,13.27,3/6/2020,10.01,4/7/2020,33.82,5/7/2020,17.74,6/5/2020,21.09,7/8/2020,17.48,8/7/2020,15.32
,1/9/2015,4.85,2/9/2015,7.76,3/9/2015,2.98,4/9/2015,7.4,5/8/2015,5.17,6/8/2015,3.47,7/9/2015,4.61,8/10/2015,5.05,9/9/2015,9.72,,,11/9/2015,3.68,12/8/2015,3.48,1/11/2016,2.14,2/8/2016,3.11,3/8/2016,5.88,4/8/2016,4.3,5/9/2016,4,6/8/2016,5.7,7/11/2016,7.44,8/8/2016,5.26,9/9/2016,3.01,10/10/2016,5.33,11/8/2016,7.01,12/8/2016,8.32,1/10/2017,5.57,2/8/2017,5.64,3/8/2017,3.17,4/10/2017,4.91,5/8/2017,4.82,6/8/2017,4.15,7/11/2017,4.32,8/8/2017,4.25,9/11/2017,5.29,10/9/2017,5.32,11/8/2017,5.33,12/8/2017,4.85,1/9/2018,9.44,2/8/2018,1.28,3/8/2018,11.55,4/9/2018,12.06,5/8/2018,8,6/8/2018,8.44,7/10/2018,11.86,8/8/2018,8.77,9/11/2018,5.44,10/8/2018,5.52,11/8/2018,12.13,12/11/2018,2.45,1/9/2019,13.68,2/8/2019,7,3/8/2019,3.89,4/8/2019,9.54,5/8/2019,6.27,6/10/2019,18.64,7/9/2019,8.94,8/8/2019,7.49,9/10/2019,12.09,10/8/2019,7.16,11/8/2019,8.19,12/9/2019,9.7,1/9/2020,9.08,2/10/2020,14.51,3/9/2020,4.81,4/9/2020,40.13,5/8/2020,19.7,6/8/2020,24.36,7/9/2020,16.55,8/10/2020,15.83
,1/12/2015,4.4,2/10/2015,9.01,3/10/2015,1.77,4/10/2015,8,5/11/2015,4.73,6/9/2015,3.32,7/10/2015,5.6,8/11/2015,4.13,9/10/2015,9.62,,,11/10/2015,3.69,12/9/2015,2.92,1/12/2016,2.35,2/9/2016,3.36,3/9/2016,6.18,4/11/2016,4,5/10/2016,5.15,6/9/2016,5.63,7/12/2016,8.42,8/9/2016,5.32,9/12/2016,4.15,10/11/2016,4.14,11/9/2016,8.35,12/9/2016,9.1,1/11/2017,5.66,2/9/2017,6.49,3/9/2017,3.35,4/11/2017,4.86,5/9/2017,4.73,6/9/2017,3.9,7/12/2017,5.25,8/9/2017,4.35,9/12/2017,5.72,10/10/2017,5.7,11/9/2017,4.96,12/11/2017,5.21,1/10/2018,8.98,2/9/2018,1.31,3/9/2018,14.73,4/10/2018,13.55,5/9/2018,9.72,6/11/2018,8.79,7/11/2018,10.37,8/9/2018,8.47,9/12/2018,5.28,10/9/2018,5.23,11/9/2018,9.87,12/12/2018,2.9,1/10/2019,14.4,2/11/2019,6.91,3/11/2019,5.11,4/9/2019,8.64,5/9/2019,5.43,6/11/2019,18.79,7/10/2019,9.58,8/9/2019,6.66,9/11/2019,13.87,10/9/2019,8.11,11/11/2019,7.81,12/10/2019,9.22,1/10/2020,8.47,2/11/2020,15.24,3/10/2020,6.84,4/13/2020,35.73,5/11/2020,19.17,6/9/2020,23.68,7/10/2020,18.43,8/11/2020,14.49
,1/13/2015,4.19,2/11/2015,8.74,3/11/2015,1.72,4/13/2015,7.5,5/12/2015,4.33,6/10/2015,4.32,7/13/2015,6.5,8/12/2015,4.3,9/11/2015,9.46,,,11/11/2015,3.28,12/10/2015,3.13,1/13/2016,1.38,2/10/2016,3.09,3/10/2016,6.26,4/12/2016,4.88,5/11/2016,4.29,6/10/2016,4.85,7/13/2016,8.47,8/10/2016,5.08,9/13/2016,3.15,10/12/2016,4.18,11/10/2016,8.68,12/12/2016,8.81,1/12/2017,5.43,2/10/2017,6.91,3/10/2017,3.54,4/12/2017,4.42,5/10/2017,5,6/12/2017,3.84,7/13/2017,5.57,8/10/2017,3.18,9/13/2017,5.59,10/11/2017,5.92,11/10/2017,4.83,12/12/2017,5.62,1/11/2018,10.34,2/12/2018,1.24,3/12/2018,15.4,4/11/2018,12.6,5/10/2018,11.06,6/12/2018,8.48,7/12/2018,12,8/10/2018,7.55,9/13/2018,6.03,10/10/2018,2.13,11/12/2018,7.65,12/13/2018,2.2,1/11/2019,13.95,2/12/2019,8.93,3/12/2019,5.36,4/10/2019,9.17,5/10/2019,5.21,6/12/2019,17.55,7/11/2019,10,8/12/2019,5.12,9/12/2019,14.74,10/10/2019,9.18,11/12/2019,8.01,12/11/2019,9.71,1/13/2020,9.89,2/12/2020,16.62,3/11/2020,4.45,4/14/2020,43.81,5/12/2020,15.38,6/10/2020,22.01,7/13/2020,17.36,8/12/2020,17.14
,1/14/2015,3.6,2/12/2015,10.03,3/12/2015,2.45,4/14/2015,7.3,5/13/2015,4.23,6/11/2015,4.39,7/14/2015,7.01,8/13/2015,4,9/14/2015,9.34,,,11/12/2015,2.39,12/11/2015,2.25,1/14/2016,1.99,2/11/2016,2.49,3/11/2016,8.03,4/13/2016,5.83,5/12/2016,4.15,6/13/2016,4.54,7/14/2016,9.16,8/11/2016,5.61,9/14/2016,2.96,10/13/2016,3.93,11/11/2016,8.08,12/13/2016,10.21,1/13/2017,5.6,2/13/2017,7.7,3/13/2017,3.49,4/13/2017,3.55,5/11/2017,4.71,6/13/2017,4.3,7/14/2017,6.14,8/11/2017,3.15,9/14/2017,5.51,10/12/2017,5.58,11/13/2017,4.9,12/13/2017,5.59,1/12/2018,12.08,2/13/2018,1.32,3/13/2018,14.56,4/12/2018,13.56,5/11/2018,11.59,6/13/2018,8.1,7/13/2018,12.32,8/13/2018,6.91,9/14/2018,5.87,10/11/2018,1.57,11/13/2018,7.35,12/14/2018,1.46,1/14/2019,12.58,2/13/2019,9.57,3/13/2019,6.53,4/11/2019,8.99,5/13/2019,2.8,6/13/2019,17.83,7/12/2019,10.8,8/13/2019,7.08,9/13/2019,14.45,10/11/2019,10.49,11/13/2019,8.25,12/12/2019,11.11,1/14/2020,9.56,2/13/2020,16.75,3/12/2020,1.79,4/15/2020,39.95,5/13/2020,13.47,6/11/2020,14.3,7/14/2020,19.36,8/13/2020,16.3
,1/15/2015,2.9,2/13/2015,10.72,3/13/2015,1.95,4/15/2015,8.19,5/14/2015,5.4,6/12/2015,3.72,7/15/2015,6.82,8/14/2015,4.27,9/15/2015,10.87,,,11/13/2015,1.81,12/14/2015,2.3,1/15/2016,1.2,2/12/2016,3.35,3/14/2016,7.97,4/14/2016,5.9,5/13/2016,3.34,6/14/2016,4.21,7/15/2016,9.09,8/12/2016,5.48,9/15/2016,3.7,10/14/2016,3.85,11/14/2016,8.02,12/14/2016,8.92,1/17/2017,4.9,2/14/2017,8.21,3/14/2017,3.14,4/17/2017,4.18,5/12/2017,4.41,6/14/2017,4.16,7/17/2017,6.14,8/14/2017,3.6,9/15/2017,5.65,10/13/2017,5.82,11/14/2017,4.53,12/14/2017,4.68,1/16/2018,12.01,2/14/2018,1.68,3/14/2018,12.34,4/13/2018,12.99,5/14/2018,11.42,6/14/2018,8.61,7/16/2018,11.74,8/14/2018,7.59,9/17/2018,5,10/12/2018,1.7,11/14/2018,6.37,12/17/2018,0.85,1/15/2019,14.6,2/14/2019,9.32,3/14/2019,6.2,4/12/2019,10,5/14/2019,3.81,6/14/2019,17.62,7/15/2019,10.65,8/14/2019,3.95,9/16/2019,13.71,10/14/2019,9.79,11/14/2019,8.4,12/13/2019,10.75,1/15/2020,9.95,2/14/2020,16.36,3/13/2020,2.48,4/16/2020,40.6,5/14/2020,14.8,6/12/2020,14.32,7/15/2020,21.4,8/14/2020,16.16
,1/16/2015,3.84,2/17/2015,10.98,3/16/2015,2.84,4/16/2015,8.14,5/15/2015,5.36,6/15/2015,3.34,7/16/2015,7.71,8/17/2015,4.82,9/16/2015,11.55,,,11/16/2015,2.45,12/15/2015,2.8,1/19/2016,1.03,2/16/2016,4.2,3/15/2016,7.37,4/15/2016,5.61,5/16/2016,4.12,6/15/2016,3.88,7/18/2016,9.46,8/15/2016,5.75,9/16/2016,3.19,10/17/2016,3.63,11/15/2016,9,12/15/2016,9.35,1/18/2017,5.11,2/15/2017,9.31,3/15/2017,3.97,4/18/2017,3.89,5/15/2017,4.99,6/15/2017,3.98,7/18/2017,6.12,8/15/2017,3.5,9/18/2017,5.83,10/16/2017,5.88,11/15/2017,3.98,12/15/2017,6.36,1/17/2018,13.76,2/15/2018,2.6,3/15/2018,11.94,4/16/2018,14.57,5/15/2018,9.79,6/15/2018,8.21,7/17/2018,12.7,8/15/2018,6.5,9/18/2018,5.81,10/15/2018,1.27,11/15/2018,7.89,12/18/2018,0.84,1/16/2019,14.9,2/15/2019,10.99,3/15/2019,7.1,4/15/2019,9.68,5/15/2019,3.75,6/17/2019,18.06,7/16/2019,10.18,8/15/2019,4.17,9/17/2019,14.25,10/15/2019,11.58,11/15/2019,9.47,12/16/2019,12.1,1/16/2020,11.72,2/18/2020,15.09,3/16/2020,1.43,4/17/2020,43.46,5/15/2020,14.35,6/15/2020,15.29,7/16/2020,19.99,8/17/2020,16.77
,1/20/2015,3.78,2/18/2015,10.81,3/17/2015,2.78,4/17/2015,6.46,5/18/2015,5.76,6/16/2015,3.9,7/17/2015,7.79,8/18/2015,4.42,9/17/2015,11.36,,,11/17/2015,2.51,12/16/2015,3.62,1/20/2016,0.8,2/17/2016,5.58,3/16/2016,7.99,4/18/2016,6.26,5/17/2016,3.24,6/16/2016,4.09,7/19/2016,9.26,8/16/2016,5.21,9/19/2016,3.13,10/18/2016,3.76,11/16/2016,8.86,12/16/2016,8.85,1/19/2017,4.75,2/16/2017,8.91,3/16/2017,3.57,4/19/2017,3.66,5/16/2017,4.79,6/16/2017,3.8,7/19/2017,7.06,8/16/2017,3.56,9/19/2017,5.92,10/17/2017,6,11/16/2017,4.88,12/18/2017,7.22,1/18/2018,13.67,2/16/2018,2.59,3/16/2018,11.86,4/17/2018,16.37,5/16/2018,10.87,6/18/2018,7.73,7/18/2018,12.76,8/16/2018,7.86,9/19/2018,5.94,10/16/2018,2.21,11/16/2018,7.81,12/19/2018,0.48,1/17/2019,16.46,2/19/2019,10.9,3/18/2019,7.83,4/16/2019,9.7,5/16/2019,4.62,6/18/2019,20.23,7/17/2019,8.68,8/16/2019,5.07,9/18/2019,14.18,10/16/2019,11.11,11/18/2019,9.7,12/17/2019,12.06,1/17/2020,12.37,2/19/2020,17.32,3/17/2020,1.51,4/20/2020,44.74,5/18/2020,20.18,6/16/2020,18.8,7/17/2020,20,8/18/2020,16.98
