,SPY 3/20/15 C205,,SPY 4/17/15 C201,,SPY 5/15/15 C211,,SPY 6/19/15 C205,,SPY 7/17/15 C210,,SPY 8/21/15 C211,,SPY 9/18/15 C207,,SPY 10/16/15 C209,,SPY 11/20/15 C191,,SPY 12/18/15 C192,,SPY 1/15/16 C210,,SPY 2/19/16 C210,,SPY 3/18/16 C201,,SPY 4/15/16 C193,,SPY 5/20/16 C198,,SPY 6/17/16 C206,,SPY 7/15/16 C207,,SPY 8/19/16 C210,,SPY 9/16/16 C209,,SPY 10/21/16 C216,,SPY 11/18/16 C217,,SPY 12/16/16 C215,,SPY 1/20/17 C211,,SPY 2/17/17 C219,,SPY 3/17/17 C225,,SPY 4/21/17 C227,,SPY 5/19/17 C239,,SPY 6/16/17 C235,,SPY 7/21/17 C238,,SPY 8/18/17 C243,,SPY 9/15/17 C242,,SPY 10/20/17 C247,,SPY 11/17/17 C247,,SPY 12/15/17 C252,,SPY 1/19/18 C257,,SPY 2/16/18 C264,,SPY 3/16/18 C268,,SPY 4/20/18 C281,,SPY 5/18/18 C267,,SPY 6/15/18 C257,,SPY 7/20/18 C264,,SPY 8/17/18 C273,,SPY 9/21/18 C271,,SPY 10/19/18 C280,,SPY 11/16/18 C289,,SPY 12/21/18 C291,,SPY 1/18/19 C273,,SPY 2/15/19 C279,,SPY 3/15/19 C250,,SPY 4/18/19 C270,,SPY 5/17/19 C280,,SPY 6/21/19 C285,,SPY 7/19/19 C291,,SPY 8/16/19 C274,,SPY 9/20/19 C295,,SPY 10/18/19 C294,,SPY 11/15/19 C290,,SPY 12/20/19 C293,,SPY 1/17/20 C306,,SPY 2/21/20 C311,,SPY 3/20/20 C324,,SPY 4/17/20 C324,,SPY 5/15/20 C309,,SPY 6/19/20 C246,,SPY 7/17/20 C282,,SPY 8/21/20 C305,,SPY 9/18/20 C310,,SPY 10/16/20 C328,
,3/3/2015,6.65,3/31/2015,6.69,4/28/2015,2.42,5/29/2015,6.9,6/29/2015,1.07,7/28/2015,1.6,8/27/2015,0.91,9/29/2015,0.01,10/28/2015,18.08,,,12/30/2015,0.61,1/29/2016,0.03,3/2/2016,1.33,3/30/2016,13.58,4/27/2016,11.84,5/27/2016,5.06,6/28/2016,1.11,7/28/2016,7.55,8/29/2016,9.75,9/27/2016,2.3,10/28/2016,1.07,11/29/2016,6.51,1/11/2017,15.98,2/1/2017,8.99,3/2/2017,13.59,3/30/2017,9.43,4/27/2017,1.76,5/31/2017,6.99,6/27/2017,4.98,7/28/2017,4.75,8/29/2017,3.97,9/27/2017,4.23,10/30/2017,10.43,11/28/2017,11.12,12/29/2017,10.25,1/31/2018,18.87,3/1/2018,3.87,4/2/2018,0.08,4/27/2018,3.41,5/30/2018,15.2,6/29/2018,10.53,7/30/2018,8.09,8/30/2018,19.8,9/27/2018,12.02,10/30/2018,0.11,11/27/2018,0.08,1/2/2019,0.04,2/1/2019,0.26,3/1/2019,31.01,4/1/2019,16.32,4/29/2019,14.74,5/29/2019,1.48,6/27/2019,4.65,,,8/27/2019,1.49,9/27/2019,5.44,10/29/2019,13.8,11/26/2019,21.53,12/31/2019,16.51,1/30/2020,17.59,3/2/2020,1.09,3/31/2020,0.04,4/28/2020,0.3,,,6/30/2020,25.77,7/28/2020,19.3,8/27/2020,39.52,9/30/2020,10.17
,3/4/2015,5.87,4/1/2015,5.94,4/29/2015,1.82,6/1/2015,7.23,6/30/2015,1.08,7/29/2015,2.1,8/28/2015,0.83,9/30/2015,0.02,10/29/2015,18.34,,,12/31/2015,0.31,2/1/2016,0.03,3/3/2016,1.61,3/31/2016,12.94,4/28/2016,10.26,5/31/2016,4.95,6/29/2016,2.43,7/29/2016,7.93,8/30/2016,9.22,9/28/2016,2.7,10/31/2016,1.05,11/30/2016,6.21,1/12/2017,15.45,2/2/2017,8.83,3/3/2017,13.66,3/31/2017,9.9,4/28/2017,1.42,6/1/2017,8.65,6/28/2017,6.32,7/31/2017,4.93,8/30/2017,4.72,9/28/2017,4.38,10/31/2017,10.76,11/29/2017,11.19,1/2/2018,12.15,2/1/2018,18.14,3/2/2018,4.02,4/3/2018,0.07,4/30/2018,2.15,5/31/2018,14.32,7/2/2018,9.21,7/31/2018,9,8/31/2018,19.72,9/28/2018,11.6,10/31/2018,0.11,11/28/2018,0.3,1/3/2019,0.02,2/4/2019,0.27,3/4/2019,29.56,4/2/2019,16.76,4/30/2019,14.92,5/30/2019,1.55,6/28/2019,5.85,,,8/28/2019,1.92,9/30/2019,6.39,10/30/2019,14.77,11/27/2019,22.77,1/2/2020,17.45,1/31/2020,13.41,3/3/2020,0.47,4/1/2020,0.02,4/29/2020,0.92,,,7/1/2020,29.91,7/29/2020,21.91,8/28/2020,41.2,10/1/2020,12.53
,3/5/2015,6.13,4/2/2015,6.4,4/30/2015,1.1,6/2/2015,6.98,7/1/2015,1.43,7/30/2015,2.08,8/31/2015,0.45,10/1/2015,0.01,10/30/2015,17.11,,,1/4/2016,0.14,2/2/2016,0.01,3/4/2016,1.8,4/1/2016,13.05,4/29/2016,9.52,6/1/2016,4.91,6/30/2016,3.7,8/1/2016,7.35,8/31/2016,8.8,9/29/2016,2.06,11/1/2016,0.71,12/1/2016,5.45,1/19/2017,14.8,2/3/2017,10.6,3/6/2017,13.22,4/3/2017,8.12,5/1/2017,1.53,6/2/2017,9.41,6/29/2017,4.85,8/1/2017,4.97,8/31/2017,5.85,9/29/2017,4.9,11/1/2017,10.92,11/30/2017,13.34,1/3/2018,13.48,2/2/2018,12.88,3/5/2018,5.54,4/4/2018,0.09,5/1/2018,2.25,6/1/2018,17.03,7/3/2018,9.55,8/1/2018,8.53,9/4/2018,18.88,10/1/2018,12.4,11/1/2018,0.11,11/29/2018,0.29,1/4/2019,0.06,2/5/2019,0.35,3/5/2019,29.8,4/3/2019,17.07,5/1/2019,12.63,5/31/2019,0.75,7/1/2019,6.27,,,8/29/2019,3.01,10/1/2019,3.84,10/31/2019,13.95,11/29/2019,22.08,1/3/2020,17.34,2/3/2020,14.91,3/4/2020,1.62,4/2/2020,0.03,4/30/2020,0.54,,,7/2/2020,30.91,7/30/2020,20.97,8/31/2020,40.91,10/2/2020,10.15
,3/6/2015,3.75,4/6/2015,7.33,5/1/2015,1.65,6/3/2015,7.35,7/2/2015,1.37,7/31/2015,1.8,9/1/2015,0.17,10/2/2015,0.03,11/2/2015,19.5,,,1/5/2016,0.1,2/3/2016,0.01,3/7/2016,1.91,4/5/2016,11.56,5/2/2016,9.8,6/2/2016,5.41,7/1/2016,3.92,8/2/2016,6.37,9/1/2016,8.55,9/30/2016,2.66,11/2/2016,0.46,12/2/2016,5.38,1/20/2017,16.7,2/6/2017,10.16,3/7/2017,12,4/4/2017,8.85,5/2/2017,1.65,6/5/2017,9.13,6/30/2017,5.64,8/2/2017,4.97,9/1/2017,6.47,10/2/2017,5.88,11/2/2017,10.95,12/1/2017,13,1/4/2018,15.13,2/5/2018,6,3/6/2018,5.91,4/5/2018,0.08,5/2/2018,1.27,6/4/2018,18.15,7/5/2018,9.28,8/2/2018,9.9,9/5/2018,18.41,10/2/2018,12.39,11/2/2018,0.07,11/30/2018,0.31,1/7/2019,0.04,2/6/2019,0.21,3/6/2019,27.44,4/4/2019,17.74,5/2/2019,12.08,6/3/2019,0.62,7/2/2019,6.92,,,8/30/2019,2.98,10/2/2019,1.65,11/1/2019,16.5,12/2/2019,19.5,1/6/2020,17.97,2/4/2020,18.64,3/5/2020,0.61,4/3/2020,0.01,5/1/2020,0.13,,,7/6/2020,35.22,7/31/2020,22.55,9/1/2020,42.01,10/5/2020,13.43
,3/9/2015,4.11,4/7/2015,6.62,5/4/2015,1.89,6/4/2015,5.8,7/6/2015,0.84,8/3/2015,1.3,9/2/2015,0.14,10/5/2015,0.03,11/3/2015,20.04,,,1/6/2016,0.05,2/4/2016,0.01,3/8/2016,1.15,4/6/2016,13.21,5/3/2016,8.83,6/3/2016,4.81,7/5/2016,2.84,8/3/2016,6.52,9/2/2016,9.52,10/3/2016,2.18,11/3/2016,0.44,12/5/2016,6.22,,,2/7/2017,10.15,3/8/2017,11.8,4/5/2017,8.05,5/3/2017,1.41,6/6/2017,8.49,7/3/2017,5.26,8/3/2017,4.66,9/5/2017,4.6,10/3/2017,6.38,11/3/2017,11.72,12/4/2017,13.1,1/5/2018,16.7,2/6/2018,8.44,3/7/2018,6.12,4/6/2018,0.06,5/3/2018,1.19,6/6/2018,19.5,7/6/2018,12.09,8/3/2018,11.04,9/6/2018,18.03,10/3/2018,12.59,11/5/2018,0.07,12/3/2018,0.28,1/8/2019,0.05,2/7/2019,0.05,3/7/2019,25.13,4/5/2019,18.57,5/3/2019,14.63,6/4/2019,1.7,7/3/2019,8.65,,,9/3/2019,2.07,10/3/2019,2.46,11/4/2019,17.5,12/3/2019,17.45,1/7/2020,17.14,2/5/2020,21.58,3/6/2020,0.27,4/6/2020,0.02,5/4/2020,0.09,,,7/7/2020,32.54,8/3/2020,24.77,9/2/2020,48.6,10/6/2020,9.92
,3/10/2015,1.93,4/8/2015,7.5,5/5/2015,0.92,6/5/2015,5.53,7/7/2015,1.1,8/4/2015,0.95,9/3/2015,0.12,10/6/2015,0.03,11/4/2015,19.22,,,1/7/2016,0.02,2/5/2016,0.01,3/9/2016,1.4,4/7/2016,10.42,5/4/2016,7.69,6/6/2016,5.83,7/6/2016,3.61,8/4/2016,6.8,9/6/2016,10.2,10/4/2016,1.65,11/4/2016,0.44,12/6/2016,6.78,,,2/8/2017,10.34,3/9/2017,11.37,4/6/2017,9.02,5/4/2017,1.5,6/7/2017,8.72,7/5/2017,5.4,8/4/2017,4.88,9/6/2017,5.18,10/4/2017,6.54,11/6/2017,11.89,12/5/2017,11.54,1/8/2018,17.05,2/7/2018,6.23,3/8/2018,6.71,4/9/2018,0.03,5/4/2018,2.17,6/7/2018,20.72,7/9/2018,13.71,8/6/2018,11.93,9/7/2018,16.73,10/4/2018,10,11/6/2018,0.1,12/4/2018,0.06,1/9/2019,0.06,2/8/2019,0.02,3/8/2019,24.9,4/8/2019,18.86,5/6/2019,13.85,6/5/2019,2.3,7/5/2019,7.8,,,9/4/2019,3.05,10/4/2019,4,11/5/2019,17.27,12/4/2019,19.31,1/8/2020,18.94,2/6/2020,23.36,3/9/2020,0.11,4/7/2020,0.03,5/5/2020,0.1,,,7/8/2020,34.53,8/4/2020,25.66,9/3/2020,34.83,10/7/2020,14.29
,3/11/2015,1.65,4/9/2015,7.9,5/6/2015,0.64,6/8/2015,4.37,7/8/2015,0.45,8/5/2015,1.35,9/4/2015,0.05,10/7/2015,0.02,11/5/2015,19.21,,,1/8/2016,0.02,2/8/2016,0.01,3/10/2016,1.06,4/8/2016,11.17,5/5/2016,7.49,6/7/2016,5.85,7/7/2016,3.28,8/5/2016,8.33,9/7/2016,9.96,10/5/2016,1.92,11/7/2016,1.07,12/7/2016,9.34,,,2/9/2017,11.77,3/10/2017,12.65,4/7/2017,9.08,5/5/2017,2.1,6/8/2017,8.83,7/6/2017,3.94,8/7/2017,5.25,9/7/2017,5.05,10/5/2017,7.9,11/7/2017,11.61,12/6/2017,11.48,1/9/2018,18.06,2/8/2018,2.76,3/9/2018,10.81,4/10/2018,0.06,5/7/2018,2.38,6/8/2018,21,7/10/2018,14.6,8/7/2018,12.92,9/10/2018,17.55,10/5/2018,9.09,11/7/2018,0.21,12/6/2018,0.05,1/10/2019,0.04,2/11/2019,0.02,3/11/2019,28.5,4/9/2019,17.09,5/7/2019,10.15,6/6/2019,3.1,7/8/2019,6.58,,,9/5/2019,4.73,10/7/2019,2.98,11/6/2019,17.28,12/5/2019,19.44,1/9/2020,20.28,2/7/2020,22.01,3/10/2020,0.09,4/8/2020,0.02,5/6/2020,0.07,,,7/9/2020,32.81,8/5/2020,27.3,9/4/2020,34.19,10/8/2020,16.31
,3/12/2015,2.99,4/10/2015,8.9,5/7/2015,0.8,6/9/2015,4.16,7/9/2015,0.53,8/6/2015,0.88,9/8/2015,0.09,10/8/2015,0.04,11/6/2015,18.7,,,1/11/2016,0.01,2/9/2016,0.01,3/11/2016,2.45,4/11/2016,12.12,5/6/2016,8.07,6/8/2016,6.38,7/8/2016,5.61,8/8/2016,8.09,9/8/2016,9.65,10/6/2016,1.91,11/8/2016,1.28,12/8/2016,10.08,,,2/10/2017,12.7,3/13/2017,12.74,4/10/2017,8.63,5/8/2017,1.67,6/9/2017,8.02,7/7/2017,4.81,8/8/2017,4.73,9/8/2017,4.88,10/6/2017,7.65,11/8/2017,12.3,12/7/2017,11.93,1/11/2018,18.73,2/9/2018,2.83,3/12/2018,10.73,4/11/2018,0.04,5/8/2018,2.27,6/11/2018,22.2,7/11/2018,13.23,8/8/2018,13.01,9/11/2018,18.47,10/8/2018,9.11,11/8/2018,0.13,12/7/2018,0.03,1/11/2019,0.03,2/12/2019,0.08,3/12/2019,29.79,4/10/2019,18.35,5/8/2019,9.73,6/7/2019,5,7/9/2019,7.09,,,9/6/2019,4.88,10/8/2019,1.37,11/7/2019,18.1,12/6/2019,22.27,1/10/2020,20.01,2/10/2020,23.02,3/11/2020,0.06,4/9/2020,0.04,5/7/2020,0.06,,,7/10/2020,35.7,8/6/2020,29.95,9/8/2020,24.42,10/9/2020,18.73
,3/13/2015,1.9,4/13/2015,8.9,5/8/2015,1.41,6/10/2015,6.46,7/10/2015,0.78,8/7/2015,0.6,9/9/2015,0.05,10/9/2015,0.02,11/9/2015,17.25,,,1/12/2016,0.01,2/10/2016,0.01,3/14/2016,2.14,4/12/2016,12.79,5/9/2016,8.22,6/9/2016,6.23,7/11/2016,6.57,8/9/2016,8.32,9/9/2016,4.75,10/7/2016,1.32,11/9/2016,1.52,12/9/2016,11.38,,,2/13/2017,13.89,3/14/2017,12.1,4/11/2017,8.37,5/9/2017,1.49,6/12/2017,8.31,7/10/2017,5.23,8/9/2017,4.74,9/11/2017,7.28,10/9/2017,7.19,11/9/2017,10.76,12/8/2017,13.34,1/12/2018,20.91,2/12/2018,3.57,3/13/2018,8.44,4/12/2018,0.03,5/9/2018,3.62,6/12/2018,21.76,7/12/2018,15.25,8/9/2018,12.17,9/12/2018,18.36,10/9/2018,8.42,11/9/2018,0.04,12/10/2018,0.02,1/14/2019,0.01,2/13/2019,0.09,3/13/2019,31.24,4/11/2019,18.15,5/9/2019,8.7,6/10/2019,5.6,7/10/2019,8.03,,,9/9/2019,4.62,10/9/2019,1.9,11/8/2019,19.16,12/9/2019,21.82,1/13/2020,21.22,2/11/2020,24.86,3/12/2020,0.03,4/13/2020,0.01,5/8/2020,0.08,,,7/13/2020,40.12,8/7/2020,28.9,9/9/2020,30.41,10/12/2020,24.3
,3/16/2015,3.63,4/14/2015,8.5,5/11/2015,0.8,6/11/2015,6.7,7/13/2015,1.12,8/10/2015,1.22,9/10/2015,0.04,10/12/2015,0.01,11/10/2015,17.45,,,1/13/2016,0.01,2/11/2016,0.01,3/15/2016,1.88,4/13/2016,14.4,5/10/2016,10.33,6/10/2016,4.45,7/12/2016,8,8/10/2016,7.58,9/12/2016,7.84,10/10/2016,1.56,11/10/2016,1.62,12/12/2016,11.31,,,2/14/2017,14.66,3/15/2017,13.92,4/12/2017,7.26,5/10/2017,1.63,6/13/2017,9.45,7/11/2017,4.69,8/10/2017,2.69,9/12/2017,7.85,10/10/2017,7.61,11/10/2017,11.26,12/11/2017,14.41,1/16/2018,20.83,2/13/2018,3.85,3/14/2018,7.37,4/13/2018,0.02,5/10/2018,5.45,6/13/2018,21.37,7/16/2018,15.5,8/10/2018,10.61,9/13/2018,19.57,10/10/2018,2.5,11/12/2018,0.01,12/11/2018,0.02,1/15/2019,0.01,2/14/2019,0.03,3/14/2019,31.16,4/12/2019,20.18,5/10/2019,8.92,6/11/2019,5.29,7/11/2019,8.15,,,9/10/2019,4.55,10/10/2019,2.83,11/11/2019,18.56,12/10/2019,21.28,1/14/2020,21.62,2/13/2020,26.41,3/13/2020,0.03,4/14/2020,0.01,5/11/2020,0.05,,,7/14/2020,35.31,8/10/2020,30.46,9/10/2020,25,10/13/2020,23.36
,3/17/2015,3.4,4/15/2015,9.75,5/12/2015,0.63,6/12/2015,5.19,7/14/2015,1.39,8/11/2015,0.62,9/11/2015,0.04,10/13/2015,0.01,11/11/2015,16.82,,,1/14/2016,0.01,2/12/2016,0.01,3/16/2016,2.4,4/14/2016,15.1,5/11/2016,9.02,6/13/2016,2.98,7/13/2016,7.95,8/11/2016,8.74,9/13/2016,4.57,10/11/2016,0.74,11/11/2016,1.24,12/13/2016,12.72,,,2/15/2017,16.02,3/16/2017,13.38,4/13/2017,6.08,5/11/2017,1.35,6/14/2017,9.32,7/12/2017,6.15,8/11/2017,2.5,9/13/2017,8.15,10/11/2017,8.15,11/13/2017,11.52,12/12/2017,14.89,1/17/2018,22.03,2/14/2018,6.12,3/15/2018,7.37,4/16/2018,0.02,5/11/2018,6.15,6/14/2018,21.7,7/18/2018,16.96,8/13/2018,10.31,9/14/2018,19.52,10/11/2018,1.54,11/13/2018,0.01,12/12/2018,0.02,1/16/2019,0.01,2/15/2019,0.01,3/15/2019,31.07,4/15/2019,19.89,5/13/2019,3.38,6/12/2019,4.63,7/12/2019,9.82,,,9/11/2019,6.2,10/11/2019,4.02,11/12/2019,18.74,12/11/2019,20.97,1/15/2020,22.75,2/14/2020,26.02,3/16/2020,0.01,4/15/2020,0.01,5/12/2020,0.02,,,7/15/2020,39.91,8/11/2020,27.86,9/11/2020,24.29,10/14/2020,20
,3/18/2015,5.6,4/16/2015,9.88,5/13/2015,0.41,6/15/2015,4.41,7/15/2015,1.4,8/12/2015,0.73,9/14/2015,0.01,10/14/2015,0.01,11/12/2015,14.97,,,1/15/2016,0.01,2/16/2016,0.01,3/17/2016,3.6,4/15/2016,14.75,5/12/2016,8.69,6/14/2016,2.38,7/14/2016,9.08,8/12/2016,8.54,9/14/2016,4.25,10/12/2016,0.62,11/14/2016,0.92,12/14/2016,10.78,,,2/16/2017,15.47,3/17/2017,12.78,4/17/2017,7.54,5/12/2017,0.98,6/15/2017,8.75,7/13/2017,6.65,8/14/2017,3.98,9/14/2017,8.11,10/12/2017,7.61,11/14/2017,10.64,12/13/2017,14.84,1/18/2018,22.12,2/15/2018,9.29,3/16/2018,6.25,4/17/2018,0.02,5/14/2018,5.91,6/15/2018,19.45,7/19/2018,15.97,8/14/2018,10.94,9/17/2018,18.65,10/12/2018,1.24,11/14/2018,0.01,12/13/2018,0.01,1/17/2019,0.02,,,,,4/16/2019,19.96,5/14/2019,4.6,6/13/2019,5.55,7/15/2019,9.89,,,9/12/2019,7.08,10/14/2019,3.2,11/13/2019,19.24,12/12/2019,24.42,1/16/2020,23.9,2/18/2020,25.78,3/17/2020,0.01,4/16/2020,0.01,5/13/2020,0.01,,,7/16/2020,37.6,8/12/2020,33.27,9/14/2020,28.46,10/15/2020,19.99
,3/19/2015,4.58,4/17/2015,6.47,5/14/2015,1.51,6/16/2015,5.47,7/16/2015,2.26,8/13/2015,0.49,9/15/2015,0.02,10/15/2015,0.01,11/13/2015,11.75,,,,,2/17/2016,0.01,3/18/2016,3.16,,,5/13/2016,6.98,6/15/2016,1.87,7/15/2016,8.7,8/15/2016,9.11,9/15/2016,6.26,10/13/2016,0.45,11/15/2016,1.82,12/15/2016,12.03,,,2/17/2017,16.02,,,4/18/2017,7.05,5/15/2017,1.43,6/16/2017,7.45,7/14/2017,7.67,8/15/2017,3.76,9/15/2017,7.21,10/13/2017,8.04,11/15/2017,9.94,12/14/2017,13.67,1/19/2018,23.25,2/16/2018,9.25,,,4/18/2018,0.01,5/15/2018,4.48,,,7/20/2018,15.94,8/15/2018,8.85,9/18/2018,20.36,10/15/2018,0.37,11/15/2018,0.01,12/14/2018,0.01,1/18/2019,0.01,,,,,4/17/2019,19.5,5/15/2019,5.49,6/14/2019,5,7/16/2019,9.08,,,9/13/2019,6.58,10/15/2019,5.4,11/14/2019,19.45,12/13/2019,24.57,1/17/2020,25.64,2/19/2020,27.52,3/18/2020,0.01,4/17/2020,0.01,5/14/2020,0.01,,,7/17/2020,40,8/13/2020,32.07,9/15/2020,29.43,10/16/2020,20.27
,3/20/2015,5.2,,,5/15/2015,1.38,6/17/2015,5.49,7/17/2015,2.43,8/14/2015,0.56,9/16/2015,0.04,10/16/2015,0.01,11/16/2015,14.51,,,,,2/18/2016,0.01,,,,,5/16/2016,8.91,6/16/2016,2.45,,,8/16/2016,8.05,9/16/2016,4.35,10/14/2016,0.29,11/16/2016,1.16,12/16/2016,10.02,,,,,,,4/19/2017,6.32,5/16/2017,1.3,,,7/17/2017,7.7,8/16/2017,3.97,,,10/16/2017,8.37,11/16/2017,11.58,12/15/2017,14.3,,,,,,,4/19/2018,0.01,5/16/2018,5.3,,,,,8/16/2018,11.16,9/19/2018,20.39,10/16/2018,2.37,11/16/2018,0.01,12/17/2018,0.01,,,,,,,4/18/2019,19.93,5/16/2019,7.65,6/17/2019,5.01,7/17/2019,7.01,,,9/16/2019,5.75,10/16/2019,4.8,11/15/2019,21.64,12/16/2019,26.73,,,2/20/2020,25.38,3/19/2020,0.01,,,,,,,,,8/14/2020,31.5,9/16/2020,28.86,,
,,,,,,,6/18/2015,7.81,,,8/17/2015,0.68,9/17/2015,0.01,,,11/17/2015,14.68,,,,,2/19/2016,0.01,,,,,5/17/2016,6.91,6/17/2016,0.29,,,8/17/2016,8.52,,,10/17/2016,0.15,11/17/2016,1.95,,,,,,,,,4/20/2017,8.59,5/17/2017,0.08,,,7/18/2017,7.66,8/17/2017,0.87,,,10/17/2017,8.5,11/17/2017,11.09,,,,,,,,,4/20/2018,0.01,5/17/2018,5.05,,,,,8/17/2018,12.22,9/20/2018,22.67,10/17/2018,2,,,12/18/2018,0.01,,,,,,,,,5/17/2019,5.9,6/18/2019,7.81,7/18/2019,7.88,,,9/17/2019,6.21,10/17/2019,5.26,,,12/17/2019,27.25,,,2/21/2020,22.6,3/20/2020,0.01,,,,,,,,,8/17/2020,32.83,9/17/2020,26.13,,
,,,,,,,6/19/2015,5.9,,,8/18/2015,0.4,9/18/2015,0.01,,,11/18/2015,17.63,,,,,,,,,,,5/18/2016,6.37,,,,,8/18/2016,8.83,,,10/18/2016,0.13,11/18/2016,1.59,,,,,,,,,4/21/2017,7.6,5/18/2017,0.05,,,7/19/2017,9,8/18/2017,0.02,,,10/18/2017,8.74,,,,,,,,,,,,,5/18/2018,4.38,,,,,,,9/21/2018,21.99,10/18/2018,0.15,,,12/20/2018,0.01,,,,,,,,,,,6/19/2019,8.3,7/19/2019,6.13,,,9/18/2019,6.27,10/18/2019,4.4,,,12/18/2019,26.72,,,,,,,,,,,,,,,8/18/2020,33.76,9/18/2020,20.2,,
,,,,,,,,,,,8/19/2015,0.06,,,,,11/19/2015,17.59,,,,,,,,,,,5/19/2016,6.35,,,,,8/19/2016,8.62,,,10/19/2016,0.13,,,,,,,,,,,,,5/19/2017,0.01,,,7/20/2017,9.1,,,,,10/19/2017,8.9,,,,,,,,,,,,,,,,,,,,,,,10/19/2018,0.01,,,12/21/2018,0.01,,,,,,,,,,,6/20/2019,10.78,,,,,9/19/2019,6.02,,,,,12/19/2019,27.74,,,,,,,,,,,,,,,8/19/2020,32.05,,,,
,,,,,,,,,,,8/20/2015,0.02,,,,,11/20/2015,18.41,,,,,,,,,,,5/20/2016,7.13,,,,,,,,,10/20/2016,0.03,,,,,,,,,,,,,,,,,7/21/2017,8.84,,,,,10/20/2017,9.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2019,9.05,,,,,9/20/2019,2.77,,,,,12/20/2019,28.17,,,,,,,,,,,,,,,8/20/2020,33.05,,,,
,,,,,,,,,,,8/21/2015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,10/21/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/21/2020,34.73,,,,
