,SPY 3/20/15 P205,,SPY 4/17/15 P201,,SPY 5/15/15 P211,,SPY 6/19/15 P205,,SPY 7/17/15 P210,,SPY 8/21/15 P211,,SPY 9/18/15 P207,,SPY 10/16/15 P209,,SPY 11/20/15 P191,,SPY 12/18/15 P192,,SPY 1/15/16 P210,,SPY 2/19/16 P210,,SPY 3/18/16 P201,,SPY 4/15/16 P193,,SPY 5/20/16 P198,,SPY 6/17/16 P206,,SPY 7/15/16 P207,,SPY 8/19/16 P210,,SPY 9/16/16 P209,,SPY 10/21/16 P216,,SPY 11/18/16 P217,,SPY 12/16/16 P215,,SPY 1/20/17 P211,,SPY 2/17/17 P219,,SPY 3/17/17 P225,,SPY 4/21/17 P227,,SPY 5/19/17 P239,,SPY 6/16/17 P235,,SPY 7/21/17 P238,,SPY 8/18/17 P243,,SPY 9/15/17 P242,,SPY 10/20/17 P247,,SPY 11/17/17 P247,,SPY 12/15/17 P252,,SPY 1/19/18 P257,,SPY 2/16/18 P264,,SPY 3/16/18 P268,,SPY 4/20/18 P281,,SPY 5/18/18 P267,,SPY 6/15/18 P257,,SPY 7/20/18 P264,,SPY 8/17/18 P273,,SPY 9/21/18 P271,,SPY 10/19/18 P280,,SPY 11/16/18 P289,,SPY 12/21/18 P291,,SPY 1/18/19 P273,,SPY 2/15/19 P279,,SPY 3/15/19 P250,,SPY 4/18/19 P270,,SPY 5/17/19 P280,,SPY 6/21/19 P285,,SPY 7/19/19 P291,,SPY 8/16/19 P274,,SPY 9/20/19 P295,,SPY 10/18/19 P294,,SPY 11/15/19 P290,,SPY 12/20/19 P293,,SPY 1/17/20 P306,,SPY 2/21/20 P311,,SPY 3/20/20 P324,,SPY 4/17/20 P324,,SPY 5/15/20 P309,,SPY 6/19/20 P246,,SPY 7/17/20 P282,,SPY 8/21/20 P305,,SPY 9/18/20 P310,,SPY 10/16/20 P328,
,2/10/2015,3.67,3/11/2015,3.02,4/8/2015,4.86,5/8/2015,1.94,6/9/2015,4.74,7/8/2015,8.07,8/7/2015,3.67,9/9/2015,12.89,10/8/2015,1.71,,,12/9/2015,7.5,1/8/2016,18.37,2/10/2016,15.73,3/9/2016,2.43,4/7/2016,2.29,5/9/2016,4.04,6/8/2016,1.91,7/8/2016,2.42,8/9/2016,1,9/7/2016,2.49,10/10/2016,3.8,11/8/2016,5.03,12/8/2016,0.7,1/10/2017,1.09,2/9/2017,1.4,3/10/2017,0.95,4/6/2017,4.95,5/10/2017,1.51,6/7/2017,1.66,7/10/2017,2.95,8/9/2017,1.59,9/7/2017,3.41,10/10/2017,0.96,11/7/2017,1.37,12/8/2017,1.05,1/10/2018,0.73,2/8/2018,12.8,3/13/2018,7.38,4/9/2018,8.62,5/8/2018,1.87,6/7/2018,1.09,7/10/2018,1.75,8/8/2018,0.85,9/7/2018,2.38,10/10/2018,12.32,11/7/2018,12.81,12/11/2018,10.71,2/6/2019,6.51,2/8/2019,0.84,3/12/2019,1.76,4/8/2019,1.73,5/8/2019,5.44,6/7/2019,7.07,7/10/2019,0.56,8/7/2019,10.31,9/9/2019,4.09,10/9/2019,5.68,11/6/2019,1.93,12/10/2019,3.46,1/9/2020,1.55,2/10/2020,2.87,3/11/2020,51.7,4/9/2020,32.53,5/8/2020,1.7,6/9/2020,2.14,7/8/2020,6.82,8/7/2020,3.2,9/9/2020,6.96
,2/11/2015,3.45,3/12/2015,2.03,4/9/2015,4,5/11/2015,2.15,6/10/2015,3.12,7/9/2015,8.01,8/10/2015,2.38,9/10/2015,14.7,10/9/2015,1.56,,,12/10/2015,6.83,1/11/2016,18.24,2/11/2016,19.17,3/10/2016,2.34,4/8/2016,2,5/10/2016,2.91,6/9/2016,2.01,7/11/2016,2.11,8/10/2016,1.09,9/8/2016,2.75,10/11/2016,5.38,11/9/2016,3.3,12/9/2016,0.55,1/11/2017,0.93,2/10/2017,1.17,3/13/2017,0.82,4/7/2017,5.03,5/11/2017,1.68,6/8/2017,1.52,7/11/2017,2.92,8/10/2017,3.35,9/8/2017,3.66,10/11/2017,0.87,11/8/2017,1.21,12/11/2017,0.8,1/11/2018,0.58,2/9/2018,9.99,3/14/2018,8.12,4/10/2018,6.38,5/9/2018,1.23,6/8/2018,1.08,7/11/2018,2.38,8/9/2018,0.99,9/10/2018,1.97,10/11/2018,17,11/9/2018,14.91,12/12/2018,9.75,2/7/2019,9,2/11/2019,0.77,3/13/2019,1.3,4/9/2019,2.22,5/9/2019,5.89,6/10/2019,6.53,7/11/2019,0.51,8/8/2019,6.72,9/10/2019,3.97,10/10/2019,4.54,11/7/2019,1.78,12/11/2019,2.96,1/10/2020,1.61,2/11/2020,2.71,3/12/2020,72.88,4/13/2020,36.39,5/11/2020,1.41,6/10/2020,2.18,7/9/2020,7.6,8/10/2020,2.89,9/10/2020,8.45
,2/12/2015,2.53,3/13/2015,2.51,4/10/2015,3.38,5/12/2015,2.24,6/11/2015,2.9,7/10/2015,5.56,8/11/2015,3.31,9/11/2015,14.06,10/12/2015,1.25,,,12/11/2015,10.39,1/12/2016,16.32,2/12/2016,15.75,3/11/2016,1.47,4/11/2016,2.12,5/11/2016,3.8,6/10/2016,2.94,7/12/2016,1.63,8/11/2016,0.92,9/9/2016,6.05,10/12/2016,5.35,11/10/2016,3.15,12/12/2016,0.58,1/12/2017,1.03,2/13/2017,0.86,3/14/2017,0.94,4/10/2017,5.06,5/12/2017,1.63,6/9/2017,1.58,7/12/2017,2.15,8/11/2017,3.13,9/11/2017,2.26,10/12/2017,0.89,11/9/2017,1.47,12/12/2017,0.82,1/12/2018,0.49,2/12/2018,7.15,3/15/2018,7.77,4/11/2018,7,5/10/2018,0.89,6/11/2018,0.96,7/12/2018,1.6,8/10/2018,1.35,9/11/2018,1.59,10/12/2018,12.7,11/12/2018,18.97,12/13/2018,11.39,2/8/2019,9.74,2/12/2019,0.51,3/14/2019,1.36,4/10/2019,1.73,5/10/2019,4.6,6/11/2019,6.6,7/12/2019,0.41,8/9/2019,7.9,9/11/2019,3.11,10/11/2019,3.16,11/8/2019,1.5,12/12/2019,2.22,1/13/2020,1.21,2/12/2020,1.99,3/13/2020,68.49,4/14/2020,29.67,5/12/2020,2.35,6/11/2020,7.36,7/10/2020,6.12,8/11/2020,3.46,9/11/2020,7.62
,2/13/2015,2.14,3/16/2015,1.69,4/13/2015,3.92,5/13/2015,2.12,6/12/2015,3.64,7/13/2015,3.9,8/12/2015,3.22,9/14/2015,14.48,10/13/2015,1.65,,,12/14/2015,9.4,1/13/2016,21.4,2/16/2016,12.93,3/14/2016,1.37,4/12/2016,1.5,5/12/2016,3.7,6/13/2016,4.02,7/13/2016,1.54,8/12/2016,0.87,9/12/2016,3.8,10/13/2016,5.81,11/11/2016,3.28,12/13/2016,0.46,1/13/2017,0.87,2/14/2017,0.64,3/15/2017,0.66,4/11/2017,5.55,5/15/2017,1.26,6/12/2017,1.59,7/13/2017,1.85,8/14/2017,1.7,9/12/2017,1.98,10/13/2017,0.79,11/10/2017,1.62,12/13/2017,0.83,1/16/2018,0.63,2/13/2018,6.6,3/16/2018,7.39,4/12/2018,5.54,5/11/2018,0.72,6/12/2018,0.85,7/13/2018,1.45,8/13/2018,1.63,9/12/2018,1.53,10/15/2018,14.4,11/13/2018,19.68,12/14/2018,14.64,2/12/2019,4.67,2/13/2019,0.49,3/15/2019,1.04,4/11/2019,1.7,5/13/2019,8.75,6/12/2019,6.74,7/15/2019,0.4,8/12/2019,10.5,9/12/2019,2.69,10/14/2019,2.67,11/11/2019,1.54,12/13/2019,1.65,1/14/2020,1.16,2/13/2020,2.1,3/16/2020,85.06,4/15/2020,32.74,5/13/2020,3.11,6/12/2020,5.65,7/13/2020,7.69,8/12/2020,2.61,9/14/2020,5.67
,2/17/2015,2.01,3/17/2015,1.7,4/14/2015,3.65,5/14/2015,1.44,6/15/2015,4.34,7/14/2015,3.33,8/13/2015,3.16,9/15/2015,11.78,10/14/2015,1.78,,,12/15/2015,7.5,1/14/2016,17.26,2/17/2016,10.08,3/15/2016,1.34,4/13/2016,0.98,5/13/2016,4.45,6/14/2016,4,7/14/2016,1.29,8/15/2016,0.74,9/13/2016,5.73,10/14/2016,5.55,11/14/2016,3.15,12/14/2016,0.59,1/17/2017,0.91,2/15/2017,0.62,3/16/2017,0.59,4/12/2017,6,5/16/2017,1.24,6/13/2017,1.23,7/14/2017,1.44,8/15/2017,1.61,9/13/2017,1.81,10/16/2017,0.7,11/13/2017,1.46,12/14/2017,0.91,1/17/2018,0.47,2/14/2018,4.29,3/19/2018,11.89,4/13/2018,5.44,5/14/2018,0.68,6/13/2018,0.96,7/16/2018,1.41,8/14/2018,1.18,9/13/2018,1.11,10/16/2018,8.78,11/14/2018,20.58,12/17/2018,19.18,2/13/2019,4.12,2/14/2019,0.54,3/18/2019,0.88,4/12/2019,1.18,5/14/2019,6.62,6/13/2019,6.09,7/16/2019,0.43,8/13/2019,7.2,9/13/2019,2.58,10/15/2019,1.78,11/12/2019,1.4,12/16/2019,1.13,1/15/2020,1.18,2/14/2020,1.88,3/17/2020,77.86,4/16/2020,31.6,5/14/2020,2.3,6/15/2020,4.61,7/14/2020,6.06,8/13/2020,2.52,9/15/2020,4.93
,2/18/2015,1.95,3/18/2015,0.93,4/15/2015,2.95,5/15/2015,1.31,6/16/2015,3.51,7/15/2015,3.17,8/14/2015,2.67,9/16/2015,10.11,10/15/2015,1.02,,,12/16/2015,5.19,1/15/2016,21.67,2/18/2016,10.37,3/16/2016,0.93,4/14/2016,0.93,5/16/2016,3.34,6/15/2016,4.05,7/15/2016,1.33,8/16/2016,0.93,9/14/2016,5.87,10/17/2016,5.82,11/15/2016,2.19,12/15/2016,0.5,1/18/2017,0.87,2/16/2017,0.62,3/17/2017,0.6,4/13/2017,6.73,5/17/2017,3.25,6/14/2017,1.26,7/17/2017,1.28,8/16/2017,1.41,9/14/2017,1.77,10/17/2017,0.69,11/14/2017,1.52,12/15/2017,0.59,1/18/2018,0.53,2/15/2018,3.03,3/20/2018,10.91,4/16/2018,3.78,5/15/2018,1,6/14/2018,0.77,7/17/2018,1.1,8/15/2018,1.6,9/14/2018,1.01,10/17/2018,9.82,11/16/2018,17.82,12/18/2018,19.34,2/14/2019,4.79,2/15/2019,0.34,3/19/2019,0.98,4/15/2019,1.13,5/15/2019,5.43,6/14/2019,5.98,7/17/2019,0.51,8/14/2019,13.55,9/16/2019,2.81,10/16/2019,1.79,11/13/2019,1.4,12/17/2019,1.12,1/16/2020,0.89,2/18/2020,2.01,3/18/2020,94.1,4/17/2020,23.72,5/15/2020,2.13,6/16/2020,3.69,7/15/2020,4.8,8/14/2020,2.53,9/16/2020,5.32
,2/19/2015,1.76,3/19/2015,1.03,4/16/2015,2.81,5/18/2015,1.09,6/17/2015,3.4,7/16/2015,2.38,8/17/2015,2.19,9/17/2015,10.4,10/16/2015,0.83,,,12/17/2015,7.83,1/19/2016,21.72,2/19/2016,10.45,3/17/2016,0.66,4/15/2016,0.9,5/17/2016,4.32,6/16/2016,3.59,7/18/2016,1.07,8/17/2016,0.79,9/15/2016,4.5,10/18/2016,5,11/16/2016,2.38,12/16/2016,0.45,1/19/2017,1,2/17/2017,0.59,3/20/2017,0.61,4/17/2017,5.29,5/18/2017,2.73,6/15/2017,1.35,7/18/2017,1.31,8/17/2017,3.03,9/15/2017,1.54,10/18/2017,0.63,11/15/2017,1.98,12/18/2017,0.46,1/19/2018,0.4,2/16/2018,2.82,3/21/2018,9.87,4/17/2018,2.61,5/16/2018,0.75,6/15/2018,0.79,7/18/2018,0.99,8/16/2018,1.15,9/17/2018,1.37,10/18/2018,12.7,11/19/2018,22.05,12/19/2018,22.99,2/15/2019,1.53,2/19/2019,0.27,3/20/2019,1.08,4/16/2019,1.06,5/16/2019,4.13,6/17/2019,5.85,7/18/2019,0.43,8/15/2019,12.65,9/17/2019,2.56,10/17/2019,1.65,11/14/2019,1.29,12/18/2019,1.12,1/17/2020,0.77,2/19/2020,1.61,3/19/2020,82.06,4/20/2020,26.76,5/18/2020,1.07,6/17/2020,3.41,7/16/2020,5.09,8/17/2020,1.92,9/17/2020,5.92
,2/20/2015,1.35,3/20/2015,0.66,4/17/2015,4.2,5/19/2015,1.1,6/18/2015,2.16,7/17/2015,2.2,8/18/2015,2.38,9/18/2015,13.15,10/19/2015,0.68,,,12/18/2015,10.08,1/20/2016,23.5,2/22/2016,8.09,3/18/2016,0.53,4/18/2016,0.65,5/18/2016,4.48,6/17/2016,3.98,7/19/2016,1,8/18/2016,0.63,9/16/2016,4.56,10/19/2016,4.4,11/17/2016,1.91,12/19/2016,0.32,1/20/2017,0.71,2/21/2017,0.42,3/21/2017,1.03,4/18/2017,5.66,5/19/2017,1.71,6/16/2017,1.2,7/19/2017,0.99,8/18/2017,3.05,9/18/2017,1.31,10/19/2017,0.62,11/16/2017,1.27,12/19/2017,0.55,1/22/2018,0.31,2/20/2018,3.41,3/22/2018,17.05,4/18/2018,2.45,5/17/2018,0.7,6/18/2018,0.76,7/19/2018,1.23,8/17/2018,0.95,9/18/2018,1.06,10/19/2018,12.71,11/20/2018,28.21,12/20/2018,26.11,,,2/20/2019,0.2,3/21/2019,0.71,4/17/2019,1.19,5/17/2019,4.89,6/18/2019,4.28,7/19/2019,0.54,8/16/2019,9.45,9/18/2019,2.36,10/18/2019,1.82,11/15/2019,0.93,12/19/2019,0.95,1/21/2020,0.78,2/20/2020,2.05,3/20/2020,93.77,4/21/2020,35.99,5/19/2020,1.28,6/18/2020,3.02,7/17/2020,3.98,8/18/2020,1.81,9/18/2020,6.79
,2/23/2015,1.2,3/23/2015,0.64,4/20/2015,3.07,5/20/2015,1.07,6/19/2015,2.79,7/20/2015,2.08,8/19/2015,3.41,9/21/2015,12.41,10/20/2015,0.7,,,12/21/2015,9.14,1/21/2016,22.95,2/23/2016,9.79,3/21/2016,0.4,4/19/2016,0.56,5/19/2016,4.65,6/20/2016,3.2,7/20/2016,0.83,8/19/2016,0.59,9/19/2016,4.56,10/20/2016,4.32,11/18/2016,1.88,12/20/2016,0.26,1/23/2017,0.71,2/22/2017,0.41,3/22/2017,1.04,4/19/2017,6.19,5/22/2017,1.15,6/19/2017,0.8,7/20/2017,0.93,8/21/2017,2.74,9/19/2017,1.26,10/20/2017,0.51,11/17/2017,1.2,12/20/2017,0.52,1/23/2018,0.22,2/21/2018,3.95,3/23/2018,22.59,4/19/2018,3,5/18/2018,0.72,6/19/2018,0.99,7/20/2018,1.25,8/20/2018,0.77,9/19/2018,0.88,10/22/2018,13.51,11/21/2018,25.05,12/21/2018,32.13,,,2/21/2019,0.21,3/22/2019,1.75,4/18/2019,0.99,5/20/2019,5.6,6/19/2019,3.62,7/22/2019,0.36,8/19/2019,6.53,9/19/2019,2.26,10/21/2019,1.24,11/18/2019,0.88,12/20/2019,0.87,1/22/2020,0.73,2/21/2020,3,3/23/2020,103,4/22/2020,30.04,5/20/2020,0.8,6/19/2020,3.73,7/20/2020,2.95,8/19/2020,1.97,9/21/2020,8.44
,2/24/2015,0.92,3/24/2015,0.71,4/21/2015,3.12,5/21/2015,0.86,6/22/2015,1.89,7/21/2015,2.32,8/20/2015,6.37,9/22/2015,15.35,10/21/2015,0.96,,,12/22/2015,6.55,1/22/2016,19.55,2/24/2016,9.18,3/22/2016,0.44,4/20/2016,0.5,5/20/2016,3.64,6/21/2016,2.84,7/21/2016,1.06,8/22/2016,0.56,9/20/2016,4.58,10/21/2016,4.23,11/21/2016,1.34,12/21/2016,0.25,1/24/2017,0.45,2/23/2017,0.4,3/23/2017,1.11,4/20/2017,4.66,5/23/2017,0.98,6/20/2017,1.04,7/21/2017,0.9,8/22/2017,1.51,9/20/2017,1.18,10/23/2017,0.66,11/20/2017,1.01,12/21/2017,0.46,1/24/2018,0.23,2/22/2018,3.06,3/26/2018,17.17,4/20/2018,4.05,5/21/2018,0.49,6/20/2018,0.82,7/23/2018,1.01,8/21/2018,0.76,9/20/2018,0.69,10/23/2018,15.53,11/23/2018,28.06,12/24/2018,36.58,,,2/22/2019,0.13,3/25/2019,1.55,4/22/2019,0.83,5/21/2019,4.16,6/20/2019,2.72,7/23/2019,0.23,8/20/2019,8.25,9/20/2019,3.05,10/22/2019,1.4,11/19/2019,0.88,12/23/2019,0.81,1/23/2020,0.73,2/24/2020,8.75,3/24/2020,82.47,4/23/2020,28.7,5/21/2020,0.85,6/22/2020,2.35,7/21/2020,2.93,8/20/2020,1.84,9/22/2020,7.12
,2/25/2015,0.9,3/25/2015,1.44,4/22/2015,2.5,5/22/2015,0.85,6/23/2015,1.63,7/22/2015,2.34,8/21/2015,10.9,9/23/2015,14.64,10/22/2015,0.42,,,12/23/2015,5.1,1/25/2016,22.4,2/25/2016,7.17,3/23/2016,0.5,4/21/2016,0.6,5/23/2016,3.75,6/22/2016,3.42,7/22/2016,0.75,8/23/2016,0.53,9/21/2016,2.97,10/24/2016,3.47,11/22/2016,1.12,12/22/2016,0.27,1/25/2017,0.31,2/24/2017,0.35,3/24/2017,1,4/21/2017,5.07,5/24/2017,0.79,6/21/2017,1.09,7/24/2017,0.84,8/23/2017,1.93,9/21/2017,1.19,10/24/2017,0.62,11/21/2017,0.6,12/22/2017,0.49,1/25/2018,0.23,2/23/2018,1.58,3/27/2018,20.65,4/23/2018,3.71,5/22/2018,0.47,6/21/2018,1.2,7/24/2018,0.85,8/22/2018,0.65,9/21/2018,0.69,10/24/2018,22.42,11/26/2018,25.61,12/26/2018,31.64,,,2/25/2019,0.17,3/26/2019,0.98,4/23/2019,0.64,5/22/2019,4.34,6/21/2019,3,7/24/2019,0.18,8/21/2019,6.06,9/23/2019,2.53,10/23/2019,1.14,11/20/2019,0.94,12/24/2019,0.77,1/24/2020,1.11,2/25/2020,14.28,3/25/2020,71.29,4/24/2020,30.09,5/22/2020,0.76,6/23/2020,2.04,7/22/2020,2.51,8/21/2020,1.64,9/23/2020,10.46
,2/26/2015,0.91,3/26/2015,1.59,4/23/2015,2.16,5/26/2015,1.27,6/24/2015,2.35,7/23/2015,2.94,8/24/2015,19.73,9/24/2015,17.84,10/23/2015,0.32,,,12/24/2015,5.25,1/26/2016,19.75,2/26/2016,7.35,3/24/2016,0.47,4/22/2016,0.51,5/24/2016,2.19,6/23/2016,1.88,7/25/2016,0.83,8/24/2016,0.78,9/22/2016,2.15,10/25/2016,4.09,11/23/2016,1.06,12/23/2016,0.24,1/26/2017,0.28,2/27/2017,0.31,3/27/2017,0.8,4/24/2017,2.91,5/25/2017,0.61,6/22/2017,1.02,7/25/2017,0.74,8/24/2017,1.85,9/22/2017,1.19,10/25/2017,0.73,11/22/2017,0.6,12/26/2017,0.45,1/26/2018,0.13,2/26/2018,0.86,3/28/2018,20.14,4/24/2018,5.88,5/23/2018,0.39,6/22/2018,0.98,7/25/2018,0.61,8/23/2018,0.68,9/24/2018,0.73,10/25/2018,19.24,11/27/2018,25.02,12/27/2018,30.27,,,2/26/2019,0.16,3/27/2019,1.18,4/24/2019,0.71,5/23/2019,6.67,6/24/2019,2.88,7/25/2019,0.21,8/22/2019,6.52,9/24/2019,3.62,10/24/2019,1.02,11/21/2019,1.05,12/26/2019,0.59,1/27/2020,2.25,2/26/2020,15.74,3/26/2020,66.04,4/27/2020,22.52,5/26/2020,0.52,6/24/2020,3.05,7/23/2020,3.27,8/24/2020,1.2,9/24/2020,9.68
,2/27/2015,0.89,3/27/2015,1.34,4/24/2015,1.89,5/27/2015,0.85,6/25/2015,2.66,7/24/2015,3.9,8/25/2015,20.49,9/25/2015,16.47,10/26/2015,0.38,,,12/28/2015,5.38,1/27/2016,22,2/29/2016,8.34,3/28/2016,0.35,4/25/2016,0.56,5/25/2016,1.61,6/24/2016,6.43,7/26/2016,0.8,8/25/2016,0.76,9/23/2016,2.45,10/26/2016,4.39,11/25/2016,0.84,12/27/2016,0.18,1/27/2017,0.27,2/28/2017,0.37,3/28/2017,0.48,4/25/2017,2.18,5/26/2017,0.57,6/23/2017,0.88,7/26/2017,0.65,8/25/2017,1.55,9/25/2017,1.24,10/26/2017,0.66,11/24/2017,0.46,12/27/2017,0.52,1/29/2018,0.25,2/27/2018,1.78,3/29/2018,17.8,4/25/2018,5.45,5/24/2018,0.4,6/25/2018,2.07,7/26/2018,0.61,8/24/2018,0.49,9/25/2018,0.78,10/26/2018,23.25,11/28/2018,19.8,12/28/2018,25.6,,,2/27/2019,0.15,3/28/2019,0.84,4/25/2019,0.74,5/24/2019,5.72,6/25/2019,4.12,7/26/2019,0.13,8/23/2019,11.48,9/25/2019,2.85,10/25/2019,0.65,11/22/2019,0.77,12/27/2019,0.62,1/28/2020,1.22,2/27/2020,28.88,3/27/2020,69.82,4/28/2020,23.07,5/27/2020,0.41,6/25/2020,2.31,7/24/2020,3.46,8/25/2020,1,9/25/2020,6.8
,3/2/2015,0.63,3/30/2015,0.7,4/27/2015,2.19,5/28/2015,0.82,6/26/2015,2.6,7/27/2015,5.08,8/26/2015,13.9,9/28/2015,21.23,10/27/2015,0.38,,,12/29/2015,3.52,1/28/2016,20.8,3/1/2016,5.07,3/29/2016,0.18,4/26/2016,0.42,5/26/2016,1.4,6/27/2016,8.48,7/27/2016,0.76,8/26/2016,0.69,9/26/2016,3.59,10/27/2016,5.11,11/28/2016,0.99,12/28/2016,0.28,1/30/2017,0.4,3/1/2017,0.16,3/29/2017,0.4,4/26/2017,2.22,5/30/2017,0.54,6/26/2017,0.73,7/27/2017,0.8,8/28/2017,1.35,9/26/2017,1.27,10/27/2017,0.37,11/27/2017,0.43,12/28/2017,0.38,1/30/2018,0.39,2/28/2018,2.38,4/2/2018,24.1,4/26/2018,3.42,5/25/2018,0.44,6/26/2018,1.5,7/27/2018,0.79,8/27/2018,0.36,9/26/2018,0.83,10/29/2018,27.98,11/29/2018,19.58,12/31/2018,24.57,,,2/28/2019,0.16,3/29/2019,0.55,4/26/2019,0.56,5/28/2019,7.19,6/26/2019,4.15,7/29/2019,0.14,8/26/2019,9.97,9/26/2019,2.91,10/28/2019,0.49,11/25/2019,0.48,12/30/2019,0.76,1/29/2020,1.29,2/28/2020,31.43,3/30/2020,64.5,4/29/2020,16.2,5/28/2020,0.44,6/26/2020,3.52,7/27/2020,2.45,8/26/2020,0.94,9/28/2020,4.45
