,XLI 3/20/15 P56,,XLI 4/17/15 P55,,XLI 5/15/15 P58,,XLI 6/19/15 P55,,XLI 7/17/15 P56,,XLI 8/21/15 P56,,XLI 9/18/15 P54,,XLI 10/16/15 P53,,XLI 11/20/15 P49,,XLI 12/18/15 P49,,XLI 1/15/16 P54,,XLI 2/19/16 P55,,XLI 3/18/16 P52,,XLI 4/15/16 P49,,XLI 5/20/16 P53,,XLI 6/17/16 P55,,XLI 7/15/16 P56,,XLI 8/19/16 P55,,XLI 9/16/16 P56,,XLI 10/21/16 P57,,XLI 11/18/16 P58,,XLI 12/16/16 P58,,XLI 1/20/17 P56,,XLI 2/17/17 P62,,XLI 3/17/17 P62,,XLI 4/21/17 P63,,XLI 5/19/17 P66,,XLI 6/16/17 P64,,XLI 7/21/17 P66,,XLI 8/18/17 P67,,XLI 9/15/17 P68,,XLI 10/20/17 P68,,XLI 11/17/17 P68,,XLI 12/15/17 P71,,XLI 1/19/18 P71,,XLI 2/16/18 P73,,XLI 3/16/18 P76,,XLI 4/20/18 P79,,XLI 5/18/18 P75,,XLI 6/15/18 P72,,XLI 7/20/18 P71,,XLI 8/17/18 P75,,XLI 9/21/18 P71,,XLI 10/19/18 P75,,XLI 11/16/18 P77,,XLI 12/21/18 P79,,XLI 1/18/19 P71,,XLI 2/15/19 P73,,XLI 3/15/19 P64,,XLI 4/18/19 P71,,XLI 5/17/19 P76,,XLI 6/21/19 P76,,XLI 7/19/19 P77,,XLI 8/16/19 P72,,XLI 9/20/19 P77,,XLI 10/18/19 P76,,XLI 11/15/19 P74,,XLI 12/20/19 P75,,XLI 1/17/20 P80,,XLI 2/21/20 P80,,XLI 3/20/20 P83,,XLI 4/17/20 P81,,XLI 5/15/20 P75,,XLI 6/19/20 P56,,XLI 7/17/20 P62,,XLI 8/21/20 P67,,XLI 9/18/20 P68,,XLI 10/16/20 P72,
,2/18/2015,0.59,,,,,5/13/2015,0.59,7/9/2015,2,,,8/14/2015,0.93,,,,,,,12/10/2015,1.47,,,3/15/2016,0.07,,,5/10/2016,0.04,5/16/2016,0.85,7/5/2016,0.84,8/9/2016,0.02,8/17/2016,0.23,9/19/2016,1.03,10/26/2016,1.14,11/16/2016,0.31,12/28/2016,0.06,1/30/2017,0.3,2/13/2017,0.19,3/30/2017,0.16,5/5/2017,0.24,5/15/2017,0.3,,,,,8/21/2017,1.43,10/10/2017,0.01,11/15/2017,0.03,11/15/2017,1.52,12/12/2017,0.27,2/12/2018,0.37,2/9/2018,4.03,,,4/30/2018,2.69,5/10/2018,0.62,6/11/2018,0.24,7/13/2018,1.87,8/13/2018,0.47,9/10/2018,0.59,10/17/2018,2.65,,,12/17/2018,5.5,,,2/13/2019,0.05,3/15/2019,0.47,4/15/2019,0.9,5/14/2019,2.12,7/2/2019,0.7,8/12/2019,0.21,8/13/2019,2.64,10/3/2019,1.92,11/1/2019,0.04,11/13/2019,0.21,12/12/2019,0.89,2/11/2020,0.07,2/11/2020,1.08,,,,,5/19/2020,0.54,6/26/2020,1.11,7/23/2020,0.56,8/21/2020,0.25,10/2/2020,0.23
,2/19/2015,0.51,,,,,5/14/2015,0.47,7/10/2015,1.77,,,8/17/2015,0.83,,,,,,,12/11/2015,1.9,,,3/16/2016,0.05,,,5/16/2016,0.02,5/17/2016,0.97,7/6/2016,0.55,8/10/2016,0.03,8/18/2016,0.21,9/20/2016,0.98,10/27/2016,1.54,11/17/2016,0.23,1/10/2017,0.01,1/31/2017,0.31,2/14/2017,0.18,3/31/2017,0.15,5/8/2017,0.25,5/16/2017,0.28,,,,,8/22/2017,0.92,10/20/2017,0.01,,,11/16/2017,1.06,12/13/2017,0.22,2/13/2018,0.17,2/12/2018,2.26,,,5/1/2018,3.68,5/11/2018,0.55,6/12/2018,0.22,7/16/2018,2.06,8/14/2018,0.35,9/11/2018,0.59,10/18/2018,3.49,,,12/18/2018,5.35,,,2/14/2019,0.06,3/18/2019,0.29,4/16/2019,0.72,5/16/2019,1.73,7/3/2019,0.6,8/13/2019,0.06,8/14/2019,4.58,10/4/2019,1.27,11/5/2019,0.02,11/14/2019,0.19,12/13/2019,0.84,2/12/2020,0.05,2/12/2020,0.77,,,,,5/21/2020,0.49,6/29/2020,0.59,7/24/2020,0.67,8/25/2020,0.15,10/5/2020,0.09
,2/20/2015,0.48,,,,,5/15/2015,0.39,7/13/2015,1.36,,,8/18/2015,0.82,,,,,,,12/16/2015,1.68,,,3/17/2016,0.02,,,5/18/2016,0.03,5/18/2016,1.11,7/7/2016,0.37,8/12/2016,0.01,8/23/2016,0.16,9/21/2016,0.65,10/28/2016,1.37,11/18/2016,0.25,1/11/2017,0.01,2/1/2017,0.29,2/15/2017,0.16,4/3/2017,0.2,5/9/2017,0.18,5/17/2017,0.7,,,,,8/23/2017,1.16,,,,,11/17/2017,1.2,12/14/2017,0.27,2/14/2018,0.07,2/14/2018,1.67,,,5/2/2018,3.21,5/14/2018,0.52,6/13/2018,0.26,7/17/2018,1.94,8/15/2018,0.52,9/12/2018,0.53,10/19/2018,4.15,,,12/19/2018,6.16,,,2/15/2019,0.04,3/19/2019,0.38,4/17/2019,0.65,5/17/2019,1.89,7/5/2019,0.61,8/14/2019,0.4,8/15/2019,4.67,10/7/2019,1.06,11/6/2019,0.02,11/15/2019,0.1,12/16/2019,0.74,2/13/2020,0.05,2/13/2020,0.92,,,,,5/22/2020,0.51,6/30/2020,0.37,7/27/2020,0.55,8/26/2020,0.11,10/6/2020,0.06
,2/23/2015,0.35,,,,,5/18/2015,0.32,7/16/2015,1.02,,,8/19/2015,1.01,,,,,,,12/17/2015,1.51,,,,,,,,,5/19/2016,1.25,7/8/2016,0.12,,,8/24/2016,0.17,9/22/2016,0.44,10/31/2016,1.15,11/21/2016,0.15,,,2/2/2017,0.3,2/16/2017,0.14,4/4/2017,0.14,5/10/2017,0.18,5/18/2017,0.57,,,,,8/24/2017,1.42,,,,,11/20/2017,0.98,12/15/2017,0.19,2/15/2018,0.01,2/15/2018,1.12,,,5/3/2018,3.65,5/15/2018,0.6,6/14/2018,0.27,7/18/2018,1.28,8/16/2018,0.28,9/13/2018,0.39,10/22/2018,4.05,,,12/20/2018,8.02,,,2/19/2019,0.04,3/20/2019,0.38,4/18/2019,0.44,5/20/2019,2.21,7/8/2019,0.72,8/15/2019,0.22,8/16/2019,3.5,10/8/2019,2.2,11/8/2019,0.01,11/18/2019,0.13,12/17/2019,0.71,2/18/2020,0.02,2/14/2020,0.93,,,,,5/26/2020,0.17,7/1/2020,0.28,7/28/2020,0.58,8/27/2020,0.13,10/7/2020,0.05
,2/24/2015,0.29,,,,,5/19/2015,0.35,,,,,8/20/2015,1.95,,,,,,,12/18/2015,2.05,,,,,,,,,5/20/2016,1.06,7/11/2016,0.04,,,8/25/2016,0.16,9/23/2016,0.53,11/1/2016,1.75,11/22/2016,0.12,,,2/3/2017,0.16,2/17/2017,0.13,4/5/2017,0.16,5/11/2017,0.17,5/19/2017,0.35,,,,,8/28/2017,1.16,,,,,11/21/2017,0.68,12/18/2017,0.16,,,2/16/2018,0.99,,,5/4/2018,3.23,5/16/2018,0.47,6/15/2018,0.28,7/19/2018,1.34,8/17/2018,0.23,9/14/2018,0.32,10/23/2018,5.99,,,12/21/2018,8.75,,,2/20/2019,0.05,3/21/2019,0.31,4/22/2019,0.45,5/21/2019,1.64,7/9/2019,0.77,,,8/19/2019,2.71,10/9/2019,1.66,11/11/2019,0.02,11/19/2019,0.1,12/18/2019,0.81,2/19/2020,0.02,2/18/2020,0.98,,,,,5/27/2020,0.15,7/2/2020,0.17,7/29/2020,0.33,8/28/2020,0.09,10/8/2020,0.02
,2/25/2015,0.27,,,,,5/20/2015,0.33,,,,,8/21/2015,2.95,,,,,,,12/21/2015,2.03,,,,,,,,,5/23/2016,1,7/13/2016,0.01,,,8/26/2016,0.2,9/26/2016,0.65,11/3/2016,1.84,11/25/2016,0.09,,,2/6/2017,0.15,2/21/2017,0.09,4/6/2017,0.15,5/12/2017,0.28,5/22/2017,0.23,,,,,8/29/2017,0.83,,,,,11/22/2017,0.61,12/19/2017,0.16,,,2/20/2018,1.28,,,5/7/2018,2.39,5/17/2018,0.41,6/18/2018,0.28,7/20/2018,1.34,8/20/2018,0.17,9/17/2018,0.29,10/24/2018,6.3,,,12/24/2018,10,,,2/21/2019,0.05,3/22/2019,0.71,4/23/2019,0.35,5/22/2019,1.83,7/10/2019,0.84,,,8/20/2019,2.87,10/10/2019,1.31,,,11/20/2019,0.22,12/19/2019,0.71,2/20/2020,0.03,2/19/2020,0.9,,,,,5/28/2020,0.19,7/6/2020,0.1,7/31/2020,0.64,8/31/2020,0.09,10/9/2020,0.01
,2/26/2015,0.3,,,,,5/21/2015,0.25,,,,,8/24/2015,4.49,,,,,,,12/23/2015,1.03,,,,,,,,,5/24/2016,0.67,,,,,8/29/2016,0.13,9/27/2016,0.45,11/4/2016,1.61,11/28/2016,0.09,,,2/7/2017,0.09,2/22/2017,0.1,4/7/2017,0.1,5/15/2017,0.11,5/23/2017,0.18,,,,,8/30/2017,0.66,,,,,11/24/2017,0.59,12/20/2017,0.15,,,2/21/2018,1.04,,,5/8/2018,2.05,5/18/2018,0.29,6/19/2018,0.6,7/23/2018,1.58,8/21/2018,0.15,9/18/2018,0.26,10/25/2018,7.15,,,12/26/2018,8.3,,,2/22/2019,0.03,3/25/2019,0.6,4/24/2019,0.37,5/23/2019,3.24,7/11/2019,0.54,,,8/21/2019,2.64,10/11/2019,0.44,,,11/21/2019,0.18,12/20/2019,0.56,2/21/2020,0.01,2/20/2020,1.15,,,,,5/29/2020,0.17,7/7/2020,0.12,8/3/2020,0.31,9/1/2020,0.08,10/12/2020,0.04
,2/27/2015,0.3,,,,,5/26/2015,0.49,,,,,8/25/2015,4.55,,,,,,,12/28/2015,1.21,,,,,,,,,5/25/2016,0.52,,,,,8/31/2016,0.16,9/28/2016,0.45,11/7/2016,0.83,11/29/2016,0.08,,,2/8/2017,0.1,2/23/2017,0.15,4/10/2017,0.11,5/16/2017,0.09,5/24/2017,0.2,,,,,8/31/2017,0.47,,,,,11/27/2017,0.53,12/21/2017,0.12,,,2/22/2018,1.11,,,5/9/2018,1.22,5/21/2018,0.17,6/20/2018,0.5,7/24/2018,1.46,8/22/2018,0.17,9/19/2018,0.22,10/26/2018,7.6,,,12/27/2018,8.8,,,2/25/2019,0.01,3/27/2019,0.36,4/25/2019,0.81,5/24/2019,2.75,7/12/2019,0.16,,,8/23/2019,4.14,10/14/2019,0.31,,,11/26/2019,0.06,12/23/2019,0.36,,,2/21/2020,1.36,,,,,6/1/2020,0.07,7/8/2020,0.1,8/4/2020,0.22,9/2/2020,0.1,10/13/2020,0.03
,3/2/2015,0.21,,,,,5/28/2015,0.41,,,,,8/26/2015,4.35,,,,,,,12/29/2015,0.69,,,,,,,,,5/26/2016,0.55,,,,,9/1/2016,0.14,9/29/2016,0.45,11/8/2016,0.68,11/30/2016,0.07,,,2/9/2017,0.05,2/24/2017,0.14,4/11/2017,0.12,5/17/2017,0.72,5/25/2017,0.13,,,,,9/1/2017,0.4,,,,,11/28/2017,0.26,12/22/2017,0.11,,,2/23/2018,0.72,,,5/10/2018,0.88,5/22/2018,0.27,6/21/2018,0.83,7/25/2018,0.85,8/23/2018,0.16,9/20/2018,0.21,10/29/2018,7.8,,,12/31/2018,6.67,,,2/27/2019,0.01,3/28/2019,0.25,4/26/2019,0.58,5/28/2019,3.26,7/15/2019,0.13,,,8/27/2019,4.1,10/15/2019,0.08,,,11/27/2019,0.07,12/24/2019,0.41,,,2/24/2020,2.68,,,,,6/3/2020,0.02,7/9/2020,0.17,8/5/2020,0.1,9/3/2020,0.09,10/14/2020,0.02
,3/3/2015,0.29,,,,,5/29/2015,0.52,,,,,8/27/2015,3.45,,,,,,,1/4/2016,1.63,,,,,,,,,5/27/2016,0.5,,,,,9/2/2016,0.05,9/30/2016,0.28,11/9/2016,0.21,12/1/2016,0.06,,,2/10/2017,0.03,2/27/2017,0.1,4/12/2017,0.13,5/18/2017,0.63,5/30/2017,0.1,,,,,9/5/2017,0.73,,,,,11/29/2017,0.24,12/26/2017,0.1,,,2/26/2018,0.39,,,5/11/2018,0.76,5/23/2018,0.33,6/22/2018,0.64,7/26/2018,0.64,8/27/2018,0.08,9/21/2018,0.15,10/30/2018,8.35,,,1/2/2019,6.64,,,3/4/2019,0.01,3/29/2019,0.15,4/29/2019,0.44,5/29/2019,3.7,7/16/2019,0.06,,,8/29/2019,2.3,10/16/2019,0.07,,,11/29/2019,0.08,12/26/2019,0.36,,,2/25/2020,5.1,,,,,6/5/2020,0.02,7/10/2020,0.13,8/10/2020,0.07,9/8/2020,0.09,10/15/2020,0.02
,3/4/2015,0.37,,,,,6/1/2015,0.53,,,,,8/28/2015,2.99,,,,,,,1/5/2016,1.94,,,,,,,,,5/31/2016,0.49,,,,,9/7/2016,0.05,10/3/2016,0.33,11/11/2016,0.07,12/2/2016,0.05,,,2/13/2017,0.02,2/28/2017,0.11,4/13/2017,0.13,5/19/2017,0.04,5/31/2017,0.11,,,,,9/6/2017,0.63,,,,,11/30/2017,0.13,12/28/2017,0.09,,,2/27/2018,0.57,,,5/14/2018,0.65,5/24/2018,0.18,6/25/2018,1.2,7/27/2018,0.69,8/28/2018,0.08,9/24/2018,0.24,11/2/2018,6.22,,,1/3/2019,8.06,,,3/5/2019,0.02,4/1/2019,0.06,4/30/2019,0.37,5/30/2019,3.2,7/17/2019,0.44,,,8/30/2019,2.16,10/18/2019,0.01,,,12/2/2019,0.12,12/27/2019,0.45,,,2/26/2020,6.02,,,,,6/12/2020,0.06,7/13/2020,0.04,8/11/2020,0.04,9/14/2020,0.15,,
,3/6/2015,0.59,,,,,6/2/2015,0.35,,,,,8/31/2015,2.81,,,,,,,1/6/2016,2.32,,,,,,,,,6/1/2016,0.42,,,,,9/9/2016,0.21,10/4/2016,0.39,11/14/2016,0.04,12/5/2016,0.04,,,2/14/2017,0.02,3/1/2017,0.04,4/17/2017,0.06,,,6/1/2017,0.05,,,,,9/7/2017,0.56,,,,,12/1/2017,0.44,1/2/2018,0.06,,,2/28/2018,0.95,,,5/15/2018,1,5/25/2018,0.2,6/26/2018,0.85,7/30/2018,0.89,8/29/2018,0.08,9/25/2018,0.25,11/5/2018,5.6,,,1/7/2019,5.29,,,3/6/2019,0.02,4/2/2019,0.05,5/1/2019,0.46,5/31/2019,4.08,7/18/2019,0.24,,,9/3/2019,2.55,,,,,12/3/2019,0.3,12/30/2019,0.47,,,2/27/2020,7.68,,,,,,,7/14/2020,0.04,8/17/2020,0.04,9/15/2020,0.01,,
,3/9/2015,0.3,,,,,6/3/2015,0.25,,,,,9/1/2015,4.38,,,,,,,1/7/2016,3.4,,,,,,,,,6/2/2016,0.36,,,,,9/12/2016,0.11,10/5/2016,0.25,,,12/6/2016,0.04,,,2/15/2017,0.01,3/2/2017,0.06,4/18/2017,0.06,,,6/2/2017,0.04,,,,,9/8/2017,0.39,,,,,12/4/2017,0.14,1/3/2018,0.06,,,3/1/2018,2.18,,,5/16/2018,0.57,5/29/2018,0.39,6/27/2018,1.04,7/31/2018,0.35,8/30/2018,0.11,9/26/2018,0.25,11/6/2018,5.05,,,1/8/2019,4.55,,,3/7/2019,0.02,4/4/2019,0.03,5/2/2019,0.54,6/3/2019,3.55,7/19/2019,0.01,,,9/4/2019,2.17,,,,,12/4/2019,0.12,12/31/2019,0.55,,,2/28/2020,10.76,,,,,,,7/16/2020,0.01,8/18/2020,0.03,9/17/2020,0.1,,
,3/10/2015,0.71,,,,,6/4/2015,0.5,,,,,9/2/2015,3.77,,,,,,,1/12/2016,4.2,,,,,,,,,6/3/2016,0.28,,,,,9/13/2016,0.21,10/6/2016,0.24,,,12/7/2016,0.02,,,,,3/3/2017,0.05,4/19/2017,0.04,,,6/6/2017,0.06,,,,,9/11/2017,0.09,,,,,12/5/2017,0.18,1/4/2018,0.05,,,3/2/2018,1.79,,,5/17/2018,0.36,5/30/2018,0.19,6/28/2018,1.14,8/1/2018,0.57,8/31/2018,0.07,9/27/2018,0.2,11/7/2018,4.01,,,1/9/2019,3.9,,,3/8/2019,0.02,4/9/2019,0.03,5/3/2019,0.3,6/4/2019,2.5,,,,,9/5/2019,1.01,,,,,12/5/2019,0.16,1/2/2020,0.16,,,3/2/2020,9.68,,,,,,,,,,,,,,
,3/11/2015,0.74,,,,,6/5/2015,0.45,,,,,9/3/2015,2.9,,,,,,,1/13/2016,4.95,,,,,,,,,6/6/2016,0.2,,,,,9/14/2016,0.15,10/7/2016,0.39,,,12/12/2016,0.01,,,,,3/6/2017,0.05,4/20/2017,0.01,,,6/7/2017,0.07,,,,,9/12/2017,0.04,,,,,12/6/2017,0.14,1/9/2018,0.03,,,3/5/2018,1.18,,,5/18/2018,0.02,5/31/2018,0.31,6/29/2018,0.89,8/2/2018,0.6,9/4/2018,0.08,9/28/2018,0.22,11/8/2018,4.03,,,1/15/2019,3.5,,,3/11/2019,0.01,4/10/2019,0.06,5/6/2019,0.41,6/5/2019,1.79,,,,,9/6/2019,0.89,,,,,12/6/2019,0.04,1/3/2020,0.27,,,3/3/2020,6.65,,,,,,,,,,,,,,
,3/12/2015,0.34,,,,,6/8/2015,0.5,,,,,9/4/2015,3.9,,,,,,,,,,,,,,,,,6/7/2016,0.09,,,,,9/15/2016,0.1,10/10/2016,0.32,,,,,,,,,3/7/2017,0.03,,,,,6/8/2017,0.06,,,,,9/13/2017,0.01,,,,,12/7/2017,0.07,1/16/2018,0.01,,,3/6/2018,0.99,,,,,6/1/2018,0.14,7/2/2018,0.93,8/3/2018,0.45,9/5/2018,0.05,10/1/2018,0.13,11/12/2018,5.14,,,1/16/2019,3.3,,,3/12/2019,0.01,4/11/2019,0.03,5/7/2019,1.29,6/6/2019,1.6,,,,,9/9/2019,0.77,,,,,12/9/2019,0.03,1/6/2020,0.23,,,3/5/2020,9.87,,,,,,,,,,,,,,
,3/13/2015,0.57,,,,,6/9/2015,0.47,,,,,9/10/2015,3.27,,,,,,,,,,,,,,,,,6/8/2016,0.09,,,,,9/16/2016,0.12,10/11/2016,0.54,,,,,,,,,3/8/2017,0.04,,,,,6/9/2017,0.05,,,,,9/14/2017,0.01,,,,,12/8/2017,0.04,1/17/2018,0.01,,,3/7/2018,0.81,,,,,6/4/2018,0.12,7/3/2018,0.6,8/6/2018,0.34,9/6/2018,0.07,10/2/2018,0.11,11/13/2018,5.85,,,1/17/2019,2.48,,,3/15/2019,0.02,4/16/2019,0.02,5/8/2019,1.05,6/7/2019,1.21,,,,,9/10/2019,0.53,,,,,12/10/2019,0.04,1/7/2020,0.16,,,3/9/2020,16.9,,,,,,,,,,,,,,
,3/16/2015,0.2,,,,,6/10/2015,0.24,,,,,9/11/2015,3,,,,,,,,,,,,,,,,,6/9/2016,0.07,,,,,,,10/12/2016,0.45,,,,,,,,,3/9/2017,0.08,,,,,6/12/2017,0.04,,,,,,,,,,,12/11/2017,0.03,1/18/2018,0.01,,,3/8/2018,0.87,,,,,6/5/2018,0.09,7/5/2018,0.69,8/7/2018,0.17,9/7/2018,0.07,10/3/2018,0.08,11/14/2018,5.58,,,1/18/2019,1,,,,,4/18/2019,0.01,5/9/2019,1.2,6/10/2019,1.15,,,,,9/11/2019,0.32,,,,,12/11/2019,0.05,1/8/2020,0.1,,,3/11/2020,17.16,,,,,,,,,,,,,,
,3/17/2015,0.19,,,,,6/11/2015,0.14,,,,,9/14/2015,3,,,,,,,,,,,,,,,,,6/10/2016,0.12,,,,,,,10/13/2016,0.48,,,,,,,,,3/10/2017,0.03,,,,,6/14/2017,0.01,,,,,,,,,,,12/12/2017,0.02,1/19/2018,0.01,,,3/9/2018,0.13,,,,,6/6/2018,0.05,7/6/2018,0.45,8/8/2018,0.19,9/10/2018,0.04,10/4/2018,0.18,11/15/2018,5.21,,,,,,,,,,,5/10/2019,0.83,6/11/2019,1.56,,,,,9/12/2019,0.24,,,,,12/16/2019,0.01,1/9/2020,0.06,,,3/13/2020,23,,,,,,,,,,,,,,
,3/18/2015,0.1,,,,,6/12/2015,0.22,,,,,9/15/2015,2.26,,,,,,,,,,,,,,,,,6/13/2016,0.24,,,,,,,10/14/2016,0.3,,,,,,,,,3/13/2017,0.02,,,,,6/15/2017,0.01,,,,,,,,,,,12/13/2017,0.01,,,,,3/12/2018,0.24,,,,,6/7/2018,0.04,7/9/2018,0.18,8/9/2018,0.28,9/11/2018,0.09,10/8/2018,0.12,11/16/2018,4.95,,,,,,,,,,,5/13/2019,1.91,6/13/2019,1.12,,,,,9/13/2019,0.11,,,,,12/17/2019,0.02,1/10/2020,0.05,,,3/17/2020,26.04,,,,,,,,,,,,,,
,3/19/2015,0.07,,,,,6/15/2015,0.4,,,,,9/16/2015,1.71,,,,,,,,,,,,,,,,,6/14/2016,0.22,,,,,,,10/17/2016,0.32,,,,,,,,,3/14/2017,0.03,,,,,,,,,,,,,,,,,12/14/2017,0.02,,,,,3/13/2018,0.15,,,,,6/8/2018,0.02,7/10/2018,0.16,8/10/2018,0.51,9/12/2018,0.01,10/9/2018,0.2,,,,,,,,,,,,,5/14/2019,1.15,6/14/2019,1.33,,,,,9/16/2019,0.16,,,,,12/18/2019,0.02,1/13/2020,0.03,,,3/19/2020,29.15,,,,,,,,,,,,,,
,,,,,,,6/16/2015,0.29,,,,,9/17/2015,1.55,,,,,,,,,,,,,,,,,6/15/2016,0.12,,,,,,,10/18/2016,0.22,,,,,,,,,3/15/2017,0.03,,,,,,,,,,,,,,,,,12/15/2017,0.01,,,,,3/14/2018,0.52,,,,,6/11/2018,0.01,7/11/2018,0.29,8/13/2018,0.6,9/13/2018,0.02,10/10/2018,0.89,,,,,,,,,,,,,5/15/2019,0.96,6/17/2019,1.21,,,,,9/17/2019,0.13,,,,,,,1/14/2020,0.02,,,3/20/2020,31,,,,,,,,,,,,,,
,,,,,,,6/17/2015,0.12,,,,,9/18/2015,3.05,,,,,,,,,,,,,,,,,6/16/2016,0.05,,,,,,,10/19/2016,0.12,,,,,,,,,3/16/2017,0.01,,,,,,,,,,,,,,,,,,,,,,,3/15/2018,0.33,,,,,6/12/2018,0.01,7/12/2018,0.1,8/14/2018,0.32,9/17/2018,0.01,10/11/2018,2.18,,,,,,,,,,,,,5/16/2019,0.47,6/18/2019,0.5,,,,,9/18/2019,0.17,,,,,,,1/16/2020,0.01,,,,,,,,,,,,,,,,,,
,,,,,,,6/18/2015,0.06,,,,,,,,,,,,,,,,,,,,,,,6/17/2016,0.02,,,,,,,10/20/2016,0.14,,,,,,,,,3/17/2017,0.02,,,,,,,,,,,,,,,,,,,,,,,3/16/2018,0.01,,,,,6/13/2018,0.02,7/13/2018,0.06,8/15/2018,0.45,9/18/2018,0.02,10/12/2018,1.57,,,,,,,,,,,,,5/17/2019,1.12,6/19/2019,0.3,,,,,9/19/2019,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6/19/2015,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/21/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/14/2018,0.01,7/16/2018,0.08,8/16/2018,0.07,9/19/2018,0.02,10/15/2018,1.15,,,,,,,,,,,,,,,6/20/2019,0.04,,,,,9/20/2019,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/15/2018,0.01,7/17/2018,0.03,8/17/2018,0.01,9/20/2018,0.01,10/16/2018,0.42,,,,,,,,,,,,,,,6/21/2019,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/18/2018,0.02,,,9/21/2018,0.01,10/17/2018,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7/19/2018,0.01,,,,,10/18/2018,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2018,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
