,XLK 3/20/15 P41,,XLK 4/17/15 P40,,XLK 5/15/15 P43,,XLK 6/19/15 P41,,XLK 7/17/15 P43,,XLK 8/21/15 P43,,XLK 9/18/15 P41,,XLK 10/16/15 P42,,XLK 11/20/15 P38,,XLK 12/18/15 P39,,XLK 1/15/16 P44,,XLK 2/19/16 P44,,XLK 3/18/16 P42,,XLK 4/15/16 P41,,XLK 5/20/16 P42,,XLK 6/17/16 P44,,XLK 7/15/16 P42,,XLK 8/19/16 P44,,XLK 9/16/16 P43,,XLK 10/21/16 P46,,XLK 11/18/16 P47,,XLK 12/16/16 P47,,XLK 1/20/17 P47,,XLK 2/17/17 P46,,XLK 3/17/17 P48,,XLK 4/21/17 P50,,XLK 5/19/17 P53,,XLK 6/16/17 P53,,XLK 7/21/17 P54,,XLK 8/18/17 P56,,XLK 9/15/17 P54,,XLK 10/20/17 P57,,XLK 11/17/17 P58,,XLK 12/15/17 P59,,XLK 1/19/18 P62,,XLK 2/16/18 P63,,XLK 3/16/18 P64,,XLK 4/20/18 P68,,XLK 5/18/18 P67,,XLK 6/15/18 P63,,XLK 7/20/18 P66,,XLK 8/17/18 P71,,XLK 9/21/18 P70,,XLK 10/19/18 P71,,XLK 11/16/18 P75,,XLK 12/21/18 P75,,XLK 1/18/19 P70,,XLK 2/15/19 P69,,XLK 3/15/19 P62,,XLK 4/18/19 P66,,XLK 5/17/19 P71,,XLK 6/21/19 P75,,XLK 7/19/19 P78,,XLK 8/16/19 P70,,XLK 9/20/19 P79,,XLK 10/18/19 P80,,XLK 11/15/19 P78,,XLK 12/20/19 P79,,XLK 1/17/20 P84,,XLK 2/21/20 P86,,XLK 3/20/20 P93,,XLK 4/17/20 P96,,XLK 5/15/20 P93,,XLK 6/19/20 P76,,XLK 7/17/20 P88,,XLK 8/21/20 P97,,XLK 9/18/20 P104,,XLK 10/16/20 P113,
0,1/5/2015,1.6,3/2/2015,0.17,3/24/2015,1.02,4/1/2015,1.29,5/18/2015,0.86,6/23/2015,0.89,7/1/2015,1.11,8/24/2015,4.09,9/21/2015,0.6,10/1/2015,1.63,11/5/2015,1.22,12/29/2015,1.16,1/4/2016,1.62,2/22/2016,1.25,3/23/2016,0.63,4/1/2016,1.14,5/25/2016,0.44,6/22/2016,1.25,7/1/2016,1.07,8/23/2016,0.62,9/19/2016,1.08,10/3/2016,1.09,11/1/2016,1.52,12/19/2016,0.33,1/4/2017,0.99,2/21/2017,0.35,3/20/2017,0.82,4/3/2017,1.12,5/22/2017,0.63,6/19/2017,1.24,7/12/2017,0.71,8/1/2017,1.44,9/18/2017,0.84,10/2/2017,1.41,11/1/2017,1.37,12/18/2017,0.66,1/2/2018,1.41,2/16/2018,2.12,3/19/2018,1.8,4/2/2018,2.67,5/2/2018,2.13,6/4/2018,1.66,7/2/2018,2.36,8/1/2018,1.95,9/4/2018,2.08,10/1/2018,1.86,11/1/2018,2.82,12/31/2018,7.2,1/2/2019,2.87,2/1/2019,1.98,3/1/2019,1.89,4/1/2019,2.31,5/1/2019,2.01,6/24/2019,0.37,7/1/2019,2.44,8/1/2019,2.55,9/24/2019,1.89,10/1/2019,2.88,11/13/2019,1.58,12/2/2019,2.72,1/2/2020,2.6,2/24/2020,3.7,3/24/2020,16.81,4/1/2020,6.75,5/14/2020,4.2,6/19/2020,3.7,7/1/2020,5.4,8/20/2020,3.79
,1/6/2015,1.76,3/3/2015,0.16,4/2/2015,1.83,4/2/2015,1.13,5/20/2015,0.82,6/24/2015,0.95,7/2/2015,1.03,8/26/2015,3.77,9/23/2015,0.75,10/2/2015,1.48,11/9/2015,1.42,1/4/2016,2.47,1/5/2016,1.45,2/23/2016,1.61,3/29/2016,0.42,4/5/2016,1.27,5/26/2016,0.4,6/23/2016,1.14,7/5/2016,1.26,8/24/2016,0.73,9/21/2016,1.02,10/4/2016,1.06,11/2/2016,1.65,12/21/2016,0.34,1/5/2017,0.95,2/22/2017,0.35,3/21/2017,1.19,4/4/2017,1.11,5/23/2017,0.58,7/12/2017,0.88,7/13/2017,0.65,8/2/2017,1.33,9/19/2017,0.84,10/3/2017,1.32,11/3/2017,1.19,12/19/2017,0.8,1/3/2018,1.1,2/20/2018,2.16,3/20/2018,1.56,4/3/2018,2.15,5/3/2018,2.6,6/5/2018,1.54,7/3/2018,2.41,8/2/2018,1.51,9/5/2018,2.6,10/2/2018,1.88,11/2/2018,3.63,1/29/2019,4.1,1/3/2019,4.39,2/4/2019,1.6,3/4/2019,2.09,4/2/2019,2.27,5/2/2019,2.31,6/25/2019,0.58,7/2/2019,2.19,8/2/2019,3.25,9/25/2019,1.43,10/2/2019,3.7,11/14/2019,1.56,12/3/2019,3,1/3/2020,2.95,2/25/2020,6.09,3/25/2020,14.52,4/2/2020,5.85,5/15/2020,3.95,6/22/2020,2.99,7/2/2020,4.65,8/21/2020,3.32
,1/7/2015,1.55,3/5/2015,0.19,4/8/2015,1.51,4/6/2015,0.92,5/28/2015,0.65,6/30/2015,1.96,7/6/2015,1.06,8/27/2015,2.36,9/25/2015,0.66,10/6/2015,0.86,11/11/2015,1.38,1/7/2016,2.9,1/6/2016,1.73,2/24/2016,1.85,3/30/2016,0.31,4/6/2016,1.14,5/31/2016,0.34,7/1/2016,1.1,7/6/2016,1.25,8/25/2016,0.69,9/22/2016,0.75,10/6/2016,1.04,11/3/2016,1.83,12/22/2016,0.35,1/6/2017,0.78,2/23/2017,0.36,3/22/2017,0.99,4/5/2017,0.95,5/24/2017,0.55,7/13/2017,0.75,7/14/2017,0.51,8/3/2017,1.4,9/20/2017,0.88,10/4/2017,1.35,11/6/2017,0.93,12/20/2017,0.74,1/4/2018,1.01,2/21/2018,2.14,3/21/2018,1.58,4/4/2018,1.83,5/4/2018,1.59,6/6/2018,1.35,7/5/2018,2.15,8/3/2018,1.44,9/6/2018,2.91,10/3/2018,1.83,11/5/2018,3.45,1/30/2019,2.82,1/4/2019,3.1,2/5/2019,1.36,3/5/2019,2.07,4/3/2019,2.04,5/3/2019,2.01,6/26/2019,0.46,7/3/2019,2.07,8/5/2019,5.4,9/26/2019,1.45,10/3/2019,3.15,11/18/2019,1.12,12/4/2019,2.76,1/6/2020,3.12,2/26/2020,5.75,3/27/2020,15.3,4/3/2020,6.05,5/18/2020,2.66,6/23/2020,2.45,7/8/2020,4.39,8/25/2020,2.83
,1/8/2015,1.16,3/6/2015,0.26,4/9/2015,1.41,4/7/2015,0.9,5/29/2015,0.77,7/2/2015,1.63,7/7/2015,1.18,8/28/2015,2.2,9/28/2015,0.99,10/8/2015,0.67,11/12/2015,1.7,1/15/2016,4.92,1/7/2016,2.45,2/29/2016,1.2,3/31/2016,0.32,4/7/2016,1.5,6/2/2016,0.36,7/5/2016,1.34,7/8/2016,0.78,8/29/2016,0.62,9/23/2016,0.78,10/11/2016,1.14,11/4/2016,1.83,12/27/2016,0.27,1/9/2017,0.75,2/24/2017,0.3,3/23/2017,1.09,4/6/2017,1.18,5/25/2017,0.41,7/14/2017,0.56,7/17/2017,0.48,8/4/2017,1.31,9/21/2017,0.98,10/5/2017,1.11,11/7/2017,0.96,12/21/2017,0.74,1/5/2018,0.85,2/22/2018,2.45,3/22/2018,2.54,4/5/2018,1.57,5/7/2018,1.34,6/7/2018,1.68,7/6/2018,1.79,8/6/2018,1.22,9/7/2018,2.89,10/4/2018,2.52,11/6/2018,3.35,1/31/2019,2.86,1/7/2019,2.72,2/6/2019,1.35,3/6/2019,2.38,4/4/2019,2.11,5/6/2019,2.31,6/27/2019,0.42,7/5/2019,2,8/6/2019,4.5,9/27/2019,1.91,10/7/2019,2.4,11/19/2019,1.07,12/5/2019,2.63,1/7/2020,2.76,2/27/2020,7.65,3/30/2020,14.04,4/6/2020,3.37,5/19/2020,2.15,6/24/2020,3.33,7/9/2020,4.25,8/26/2020,2.4
,1/9/2015,1.22,3/9/2015,0.22,4/10/2015,1.2,4/8/2015,0.89,6/1/2015,0.78,7/8/2015,2.01,7/8/2015,1.38,9/4/2015,3.13,9/29/2015,1.28,10/9/2015,0.64,11/18/2015,1.42,,,1/8/2016,2.55,3/1/2016,0.77,4/4/2016,0.29,4/8/2016,1.4,6/3/2016,0.31,7/8/2016,0.74,7/11/2016,0.64,8/30/2016,0.67,9/26/2016,1,10/13/2016,1.18,11/7/2016,1.36,12/28/2016,0.32,1/17/2017,0.64,2/27/2017,0.31,3/24/2017,0.98,4/7/2017,1.14,5/26/2017,0.42,7/17/2017,0.53,7/18/2017,0.42,8/7/2017,1.12,9/22/2017,0.96,10/6/2017,1.09,11/8/2017,0.86,12/22/2017,0.77,1/8/2018,0.74,2/23/2018,1.69,3/23/2018,3.28,4/6/2018,2.18,5/8/2018,1.35,6/8/2018,1.59,7/9/2018,1.57,8/7/2018,1.1,9/11/2018,2.52,10/5/2018,3.17,11/7/2018,2.05,2/1/2019,2.48,1/8/2019,2.5,2/7/2019,1.8,3/7/2019,2.75,4/5/2019,1.93,5/7/2019,3.7,6/28/2019,0.41,7/8/2019,2.25,8/7/2019,4.44,9/30/2019,1.44,10/8/2019,2.7,11/20/2019,1.38,12/9/2019,2.17,1/8/2020,2.33,2/28/2020,10.5,4/2/2020,17.19,4/7/2020,2.95,5/20/2020,1.85,6/25/2020,3.05,7/10/2020,4.2,8/27/2020,2.58
,1/13/2015,1.49,3/11/2015,0.45,4/13/2015,1.28,4/9/2015,0.81,6/2/2015,0.72,7/14/2015,1.14,7/9/2015,1.43,9/8/2015,2.48,9/30/2015,0.91,10/12/2015,0.57,11/19/2015,1.28,,,1/19/2016,3.2,3/4/2016,0.6,4/5/2016,0.37,4/11/2016,1.41,6/7/2016,0.24,7/11/2016,0.6,7/12/2016,0.55,8/31/2016,0.7,9/27/2016,0.75,10/14/2016,1.1,11/8/2016,1.35,12/30/2016,0.45,1/18/2017,0.6,2/28/2017,0.34,3/27/2017,1.13,4/10/2017,1.17,5/30/2017,0.38,7/18/2017,0.47,7/19/2017,0.36,8/8/2017,1.19,9/25/2017,1.31,10/9/2017,0.95,11/9/2017,1.15,12/26/2017,0.83,1/9/2018,0.79,2/26/2018,1.2,3/26/2018,2.43,4/9/2018,1.5,5/9/2018,1.24,6/11/2018,1.54,7/10/2018,1.45,8/8/2018,1.04,9/12/2018,2.47,10/8/2018,3.9,11/8/2018,2.02,2/4/2019,1.54,1/9/2019,2.16,2/8/2019,1.59,3/8/2019,2.98,4/8/2019,1.86,5/8/2019,3.2,7/1/2019,0.28,7/9/2019,2.13,8/8/2019,3.25,10/1/2019,1.76,10/9/2019,2.71,11/21/2019,1.43,12/10/2019,2.4,1/9/2020,2.02,3/2/2020,5.9,4/3/2020,16.17,4/13/2020,3.15,5/21/2020,2.08,6/26/2020,3.46,7/13/2020,4.9,8/28/2020,2.59
,1/14/2015,1.53,3/13/2015,0.43,4/14/2015,1.44,4/10/2015,0.73,6/8/2015,1.1,7/17/2015,0.5,7/10/2015,1.05,9/9/2015,2.05,10/1/2015,0.87,10/14/2015,0.57,11/20/2015,1.12,,,1/27/2016,2.81,3/7/2016,0.68,4/7/2016,0.41,4/12/2016,1.4,6/8/2016,0.22,7/12/2016,0.49,7/13/2016,0.51,9/1/2016,0.63,9/28/2016,0.73,10/17/2016,1.15,11/9/2016,1.13,1/3/2017,0.32,1/19/2017,0.55,3/1/2017,0.24,3/28/2017,0.82,4/11/2017,1.39,5/31/2017,0.37,7/19/2017,0.38,7/20/2017,0.37,8/9/2017,1.19,9/26/2017,1.17,10/10/2017,1.06,11/10/2017,1.01,12/27/2017,0.82,1/10/2018,0.9,2/27/2018,1.46,3/27/2018,3.54,4/10/2018,1.46,5/10/2018,0.83,6/12/2018,1.44,7/11/2018,1.54,8/9/2018,1,9/13/2018,2.08,10/10/2018,5.11,11/9/2018,2.51,2/5/2019,1.08,1/10/2019,1.95,2/11/2019,1.43,3/11/2019,1.9,4/9/2019,1.8,5/9/2019,4.34,7/2/2019,0.21,7/10/2019,1.75,8/9/2019,3.4,10/2/2019,2.42,10/10/2019,2.46,11/22/2019,1.43,12/11/2019,2.21,1/10/2020,2.14,3/3/2020,8.15,4/6/2020,11.52,4/14/2020,2.15,5/22/2020,2.24,6/29/2020,3,7/14/2020,4.94,8/31/2020,2.14
,1/16/2015,1.78,3/16/2015,0.27,4/15/2015,1.02,4/14/2015,0.8,6/9/2015,1.27,7/20/2015,0.44,7/13/2015,0.76,9/10/2015,2.08,10/5/2015,0.38,10/15/2015,0.48,11/23/2015,1.18,,,2/8/2016,3.73,3/9/2016,0.69,4/8/2016,0.44,4/13/2016,1.04,6/9/2016,0.23,7/13/2016,0.46,7/14/2016,0.45,9/2/2016,0.45,9/29/2016,0.82,10/18/2016,0.97,11/10/2016,1.44,1/5/2017,0.22,1/20/2017,0.49,3/2/2017,0.26,3/29/2017,0.75,4/12/2017,1.45,6/1/2017,0.35,7/20/2017,0.34,7/21/2017,0.38,8/10/2017,1.75,9/27/2017,0.96,10/11/2017,0.92,11/13/2017,0.99,12/28/2017,0.78,1/11/2018,0.81,2/28/2018,1.59,3/28/2018,3.55,4/11/2018,1.42,5/11/2018,0.81,6/13/2018,1.45,7/12/2018,1.19,8/10/2018,1.3,9/14/2018,1.97,10/11/2018,5.45,11/12/2018,3.88,2/6/2019,0.89,1/11/2019,2.01,2/12/2019,1.13,3/12/2019,1.63,4/10/2019,1.68,5/10/2019,4.3,7/3/2019,0.15,7/11/2019,1.68,8/12/2019,4.45,10/3/2019,1.93,10/11/2019,1.86,11/25/2019,1.02,12/12/2019,1.87,1/13/2020,1.69,3/5/2020,7.6,4/7/2020,10.07,4/15/2020,2.39,5/26/2020,1.69,6/30/2020,2.35,7/16/2020,4.5,9/1/2020,2.09
,1/20/2015,1.33,3/17/2015,0.29,4/16/2015,1.15,4/15/2015,0.67,6/10/2015,0.8,7/21/2015,0.51,7/14/2015,0.68,9/14/2015,2.09,10/8/2015,0.27,10/16/2015,0.42,11/24/2015,1.13,,,2/9/2016,3.68,3/10/2016,0.77,4/12/2016,0.38,4/14/2016,1.08,6/10/2016,0.33,7/14/2016,0.35,7/18/2016,0.38,9/6/2016,0.47,9/30/2016,0.67,10/19/2016,0.93,11/11/2016,1.49,1/6/2017,0.18,1/23/2017,0.47,3/3/2017,0.21,3/30/2017,0.7,4/13/2017,1.49,6/2/2017,0.25,7/21/2017,0.35,7/24/2017,0.33,8/11/2017,1.68,9/28/2017,0.94,10/12/2017,0.92,11/14/2017,1.05,12/29/2017,0.91,1/12/2018,0.74,3/1/2018,2.5,3/29/2018,2.73,4/12/2018,1.17,5/15/2018,0.98,6/14/2018,1.32,7/13/2018,1.2,8/13/2018,1.26,9/17/2018,2.5,10/12/2018,5.55,11/13/2018,3.97,2/7/2019,1.78,1/14/2019,2.05,2/13/2019,1.09,3/13/2019,1.52,4/11/2019,1.72,5/13/2019,5.11,7/5/2019,0.13,7/12/2019,1.53,8/13/2019,3.15,10/4/2019,1.32,10/14/2019,1.82,11/27/2019,0.81,12/16/2019,1.09,1/14/2020,1.84,3/6/2020,9.17,4/14/2020,6.6,4/16/2020,2.45,5/27/2020,1.77,7/1/2020,2.2,7/20/2020,2.9,9/2/2020,2.32
,1/21/2015,1.27,3/18/2015,0.25,4/17/2015,1.61,4/16/2015,0.67,6/11/2015,0.79,7/22/2015,0.78,7/15/2015,0.64,9/15/2015,1.62,10/14/2015,0.18,10/19/2015,0.37,11/25/2015,1.14,,,2/12/2016,3.13,3/14/2016,0.35,4/14/2016,0.22,4/15/2016,1.07,6/13/2016,0.47,7/15/2016,0.34,7/19/2016,0.39,9/7/2016,0.42,10/3/2016,0.74,10/20/2016,0.99,11/14/2016,1.77,1/12/2017,0.17,1/24/2017,0.36,3/6/2017,0.22,3/31/2017,0.72,4/17/2017,1.2,6/5/2017,0.25,7/24/2017,0.31,7/25/2017,0.32,8/14/2017,1.12,9/29/2017,0.74,10/13/2017,0.82,11/15/2017,1.14,1/2/2018,0.61,1/16/2018,0.78,3/2/2018,1.95,4/2/2018,4.25,4/13/2018,1.21,5/16/2018,0.82,6/15/2018,1.35,7/16/2018,1.23,8/14/2018,1.13,9/18/2018,2.03,10/15/2018,5.25,11/14/2018,4.45,2/8/2019,1.76,1/15/2019,1.61,2/14/2019,1.06,3/14/2019,1.47,4/12/2019,1.46,5/14/2019,4.08,7/8/2019,0.17,7/15/2019,1.45,8/14/2019,4.65,10/7/2019,1.38,10/15/2019,1.45,11/29/2019,0.88,12/19/2019,1.08,1/15/2020,1.82,3/9/2020,13.1,4/15/2020,7.65,4/17/2020,2.3,5/28/2020,1.71,7/2/2020,1.83,7/21/2020,3.15,9/3/2020,3.85
,1/22/2015,0.92,3/23/2015,0.1,4/20/2015,1.05,4/17/2015,0.91,6/12/2015,0.88,7/23/2015,0.84,7/16/2015,0.4,9/17/2015,1.57,10/15/2015,0.17,10/21/2015,0.4,11/27/2015,1.1,,,2/18/2016,1.86,3/15/2016,0.31,4/15/2016,0.23,4/18/2016,0.92,6/14/2016,0.51,7/18/2016,0.28,7/20/2016,0.33,9/8/2016,0.48,10/4/2016,0.78,10/21/2016,0.91,11/15/2016,1.4,1/20/2017,0.08,1/25/2017,0.27,3/7/2017,0.18,4/3/2017,0.73,4/18/2017,1.24,6/6/2017,0.28,7/25/2017,0.27,7/26/2017,0.28,8/15/2017,1.14,10/2/2017,0.68,10/16/2017,0.81,11/16/2017,0.89,1/3/2018,0.51,1/17/2018,0.54,3/5/2018,1.52,4/3/2018,3.77,4/16/2018,0.92,5/17/2018,0.86,6/18/2018,1.4,7/17/2018,1.01,8/15/2018,1.36,9/19/2018,2.39,10/22/2018,5.01,11/15/2018,3.53,2/11/2019,1.15,1/16/2019,1.58,2/15/2019,0.99,3/15/2019,1.16,4/15/2019,1.43,5/15/2019,3.85,7/9/2019,0.14,7/16/2019,1.62,8/15/2019,4.99,10/8/2019,2.04,10/16/2019,1.68,12/2/2019,1.24,12/20/2019,0.88,1/16/2020,1.45,3/10/2020,11.6,4/17/2020,6.45,4/20/2020,2.42,5/29/2020,1.44,7/6/2020,1.57,7/22/2020,3.1,9/4/2020,3.85
,1/23/2015,0.84,3/25/2015,0.28,4/21/2015,1.01,4/20/2015,0.62,6/15/2015,1.21,7/24/2015,0.93,7/17/2015,0.37,9/21/2015,1.84,10/16/2015,0.12,10/22/2015,0.2,11/30/2015,1.11,,,2/22/2016,1.61,3/18/2016,0.14,4/18/2016,0.21,4/19/2016,1.01,6/15/2016,0.39,7/19/2016,0.29,7/21/2016,0.36,9/9/2016,0.94,10/5/2016,0.71,10/24/2016,0.72,11/16/2016,1.29,1/23/2017,0.07,1/26/2017,0.28,3/13/2017,0.14,4/4/2017,0.71,4/19/2017,1.14,6/7/2017,0.27,7/26/2017,0.22,7/27/2017,0.43,8/16/2017,0.99,10/3/2017,0.61,10/17/2017,0.76,11/17/2017,0.92,1/4/2018,0.4,1/18/2018,0.61,3/6/2018,1.53,4/4/2018,2.69,4/17/2018,0.62,5/18/2018,0.89,6/19/2018,1.59,7/18/2018,1.02,8/20/2018,1.07,9/20/2018,1.76,10/23/2018,5.19,11/16/2018,3.38,2/12/2019,0.5,1/17/2019,1.43,2/19/2019,0.82,3/18/2019,1.11,4/16/2019,1.3,5/16/2019,2.99,7/11/2019,0.09,7/17/2019,1.6,8/16/2019,3.7,10/9/2019,1.56,10/17/2019,1.6,12/3/2019,1.69,12/23/2019,0.83,1/17/2020,1.21,3/12/2020,18.61,4/20/2020,6.05,4/21/2020,3.2,6/1/2020,1.37,7/7/2020,1.75,7/23/2020,3.8,9/8/2020,5.66
,1/26/2015,0.96,3/26/2015,0.25,4/22/2015,0.74,4/21/2015,0.62,6/16/2015,1,7/28/2015,1.22,7/20/2015,0.29,9/24/2015,2.27,10/19/2015,0.1,10/23/2015,0.12,12/1/2015,0.93,,,2/23/2016,1.55,3/21/2016,0.11,4/19/2016,0.23,4/20/2016,0.91,6/16/2016,0.55,7/20/2016,0.18,7/22/2016,0.29,9/12/2016,0.6,10/6/2016,0.69,10/25/2016,0.76,11/17/2016,1.07,1/24/2017,0.05,1/27/2017,0.23,3/14/2017,0.16,4/5/2017,0.8,4/20/2017,0.97,6/8/2017,0.23,7/27/2017,0.41,7/28/2017,0.38,8/17/2017,1.47,10/4/2017,0.61,10/18/2017,0.7,11/20/2017,0.82,1/5/2018,0.34,1/19/2018,0.57,3/7/2018,1.35,4/5/2018,2.44,4/18/2018,0.65,5/21/2018,0.69,6/20/2018,1.42,7/19/2018,1.11,8/21/2018,1.01,9/21/2018,1.87,10/24/2018,6.45,11/19/2018,5.15,2/13/2019,0.38,1/18/2019,1.1,2/20/2019,0.81,3/19/2019,1.09,4/17/2019,1.19,5/17/2019,3.7,7/12/2019,0.08,7/18/2019,1.56,8/19/2019,2.86,10/10/2019,1.39,10/18/2019,1.93,12/4/2019,1.36,12/26/2019,0.7,1/21/2020,1.2,3/13/2020,19.28,4/21/2020,9.26,4/23/2020,2.2,6/2/2020,1.29,7/8/2020,1.48,7/24/2020,4.35,9/9/2020,3.7
