,XLK 3/20/15 P41,,XLK 4/17/15 P40,,XLK 5/15/15 P43,,XLK 6/19/15 P41,,XLK 7/17/15 P43,,XLK 8/21/15 P43,,XLK 9/18/15 P41,,XLK 10/16/15 P42,,XLK 11/20/15 P38,,XLK 12/18/15 P39,,XLK 1/15/16 P44,,XLK 2/19/16 P44,,XLK 3/18/16 P42,,XLK 4/15/16 P41,,XLK 5/20/16 P42,,XLK 6/17/16 P44,,XLK 7/15/16 P42,,XLK 8/19/16 P44,,XLK 9/16/16 P43,,XLK 10/21/16 P46,,XLK 11/18/16 P47,,XLK 12/16/16 P47,,XLK 1/20/17 P47,,XLK 2/17/17 P46,,XLK 3/17/17 P48,,XLK 4/21/17 P50,,XLK 5/19/17 P53,,XLK 6/16/17 P53,,XLK 7/21/17 P54,,XLK 8/18/17 P56,,XLK 9/15/17 P54,,XLK 10/20/17 P57,,XLK 11/17/17 P58,,XLK 12/15/17 P59,,XLK 1/19/18 P62,,XLK 2/16/18 P63,,XLK 3/16/18 P64,,XLK 4/20/18 P68,,XLK 5/18/18 P67,,XLK 6/15/18 P63,,XLK 7/20/18 P66,,XLK 8/17/18 P71,,XLK 9/21/18 P70,,XLK 10/19/18 P71,,XLK 11/16/18 P75,,XLK 12/21/18 P75,,XLK 1/18/19 P70,,XLK 2/15/19 P69,,XLK 3/15/19 P62,,XLK 4/18/19 P66,,XLK 5/17/19 P71,,XLK 6/21/19 P75,,XLK 7/19/19 P78,,XLK 8/16/19 P70,,XLK 9/20/19 P79,,XLK 10/18/19 P80,,XLK 11/15/19 P78,,XLK 12/20/19 P79,,XLK 1/17/20 P84,,XLK 2/21/20 P86,,XLK 3/20/20 P93,,XLK 4/17/20 P96,,XLK 5/15/20 P93,,XLK 6/19/20 P76,,XLK 7/17/20 P88,,XLK 8/21/20 P97,,XLK 9/18/20 P104,,XLK 10/16/20 P113,
,2/19/2015,0.25,,,5/14/2015,0.03,5/20/2015,0.14,7/10/2015,1.42,,,8/11/2015,0.55,,,,,12/7/2015,0.02,1/4/2016,2.15,,,,,,,5/11/2016,0.17,5/13/2016,1.88,,,,,8/29/2016,0.05,10/11/2016,0.1,10/28/2016,0.57,11/16/2016,0.89,12/12/2016,0.42,,,3/1/2017,0.03,,,4/28/2017,0.15,5/12/2017,0.21,,,8/18/2017,0.01,8/21/2017,0.23,9/11/2017,0.47,10/26/2017,0.23,11/9/2017,0.25,12/13/2017,0.43,1/30/2018,0.16,2/12/2018,1.44,3/29/2018,2.75,4/27/2018,1.69,5/10/2018,0.16,6/13/2018,0.25,7/13/2018,0.78,8/10/2018,0.6,9/17/2018,0.6,10/15/2018,5,11/30/2018,7.6,12/14/2018,5.65,,,2/12/2019,0.18,3/15/2019,0.14,4/11/2019,0.35,5/10/2019,1.47,6/13/2019,2.61,,,8/12/2019,3.2,9/11/2019,1.43,11/1/2019,0.06,11/14/2019,0.29,12/27/2019,0.12,1/21/2020,0.08,2/12/2020,0.44,,,5/13/2020,1.88,5/15/2020,0.64,6/25/2020,0.4,7/30/2020,0.52,8/17/2020,0.91,10/1/2020,1.27
,2/20/2015,0.16,,,,,5/21/2015,0.12,7/13/2015,1.18,,,8/12/2015,0.45,,,,,12/8/2015,0.01,1/7/2016,3.4,,,,,,,5/12/2016,0.22,5/16/2016,1.56,,,,,8/30/2016,0.02,10/12/2016,0.07,10/31/2016,0.55,11/17/2016,0.69,12/13/2016,0.31,,,3/2/2017,0.02,,,5/1/2017,0.13,5/15/2017,0.15,,,,,8/22/2017,0.14,9/12/2017,0.45,10/27/2017,0.11,11/10/2017,0.23,12/14/2017,0.42,1/31/2018,0.12,2/13/2018,1.3,4/2/2018,4.35,4/30/2018,1.89,5/11/2018,0.15,6/14/2018,0.21,7/16/2018,0.85,8/13/2018,0.66,9/18/2018,0.48,10/16/2018,3.43,12/3/2018,6.05,12/17/2018,7.01,,,2/13/2019,0.16,3/18/2019,0.11,4/12/2019,0.26,5/13/2019,3.1,6/14/2019,2.89,,,8/13/2019,2.1,9/12/2019,1.15,11/5/2019,0.08,11/15/2019,0.19,12/30/2019,0.15,1/22/2020,0.12,2/13/2020,0.42,,,5/14/2020,0.77,5/18/2020,0.24,6/26/2020,0.41,7/31/2020,0.23,8/18/2020,0.83,10/2/2020,1.9
,2/23/2015,0.13,,,,,5/26/2015,0.17,7/14/2015,0.8,,,8/13/2015,0.4,,,,,12/9/2015,0.04,1/12/2016,3.47,,,,,,,5/13/2016,0.26,5/17/2016,1.94,,,,,9/12/2016,0.03,10/13/2016,0.15,11/1/2016,0.77,11/18/2016,0.66,12/14/2016,0.35,,,3/3/2017,0.02,,,5/2/2017,0.1,5/16/2017,0.12,,,,,8/23/2017,0.12,9/13/2017,0.4,10/30/2017,0.1,11/13/2017,0.22,12/15/2017,0.27,2/1/2018,0.1,2/14/2018,0.8,4/3/2018,3.83,5/1/2018,1.39,5/14/2018,0.12,6/20/2018,0.21,7/17/2018,0.64,8/14/2018,0.51,9/19/2018,0.47,10/17/2018,3.62,12/4/2018,8.23,12/18/2018,6.85,,,2/14/2019,0.17,3/19/2019,0.12,4/15/2019,0.23,5/14/2019,2.22,6/17/2019,2.7,,,8/14/2019,3.55,9/13/2019,1.38,11/6/2019,0.03,11/18/2019,0.14,12/31/2019,0.08,1/23/2020,0.1,2/14/2020,0.42,,,5/15/2020,0.03,5/20/2020,0.18,6/29/2020,0.27,8/3/2020,0.15,8/19/2020,0.9,10/5/2020,0.89
,2/26/2015,0.12,,,,,5/27/2015,0.15,7/15/2015,0.39,,,8/14/2015,0.46,,,,,12/11/2015,0.06,1/13/2016,3.01,,,,,,,5/16/2016,0.06,5/18/2016,1.74,,,,,9/14/2016,0.01,10/17/2016,0.03,11/2/2016,0.85,11/21/2016,0.42,12/15/2016,0.28,,,3/8/2017,0.01,,,5/3/2017,0.1,5/17/2017,0.49,,,,,8/24/2017,0.13,9/14/2017,0.46,10/31/2017,0.07,11/14/2017,0.23,12/18/2017,0.21,2/2/2018,0.22,2/15/2018,0.52,4/4/2018,2.93,5/2/2018,1.44,5/15/2018,0.2,6/21/2018,0.31,7/18/2018,0.62,8/15/2018,0.77,9/20/2018,0.33,10/18/2018,5.16,12/12/2018,8.52,12/19/2018,6.05,,,2/15/2019,0.11,3/20/2019,0.1,4/16/2019,0.2,5/15/2019,1.75,6/18/2019,2.04,,,8/15/2019,3.48,9/16/2019,1.47,11/7/2019,0.02,11/19/2019,0.14,1/2/2020,0.05,1/24/2020,0.17,2/18/2020,0.41,,,,,5/21/2020,0.19,6/30/2020,0.15,8/4/2020,0.17,8/20/2020,0.66,10/6/2020,1.33
,2/27/2015,0.1,,,,,5/28/2015,0.09,7/16/2015,0.43,,,8/17/2015,0.31,,,,,12/14/2015,0.04,1/14/2016,4.29,,,,,,,5/17/2016,0.17,5/20/2016,1.66,,,,,,,10/19/2016,0.02,11/3/2016,1.08,11/22/2016,0.34,12/16/2016,0.31,,,3/17/2017,0.01,,,5/4/2017,0.09,5/18/2017,0.35,,,,,8/25/2017,0.1,9/15/2017,0.37,11/1/2017,0.06,11/15/2017,0.29,12/19/2017,0.26,2/5/2018,1,2/16/2018,0.48,4/5/2018,2.47,5/3/2018,1.29,5/16/2018,0.16,6/22/2018,0.31,7/19/2018,0.71,8/16/2018,0.61,9/21/2018,0.27,10/19/2018,5,12/19/2018,12.8,12/20/2018,9.8,,,2/19/2019,0.1,3/21/2019,0.06,4/17/2019,0.17,5/16/2019,1.34,6/19/2019,1.72,,,8/16/2019,2.56,9/17/2019,1.36,,,11/21/2019,0.21,1/3/2020,0.05,1/27/2020,0.33,2/19/2020,0.31,,,,,5/22/2020,0.17,7/1/2020,0.11,8/5/2020,0.14,8/21/2020,0.54,10/7/2020,0.8
,3/2/2015,0.07,,,,,5/29/2015,0.1,,,,,8/18/2015,0.32,,,,,12/15/2015,0.02,1/15/2016,4.94,,,,,,,5/18/2016,0.09,5/23/2016,1.5,,,,,,,10/21/2016,0.01,11/4/2016,1.2,11/23/2016,0.41,12/19/2016,0.2,,,,,,,5/5/2017,0.06,5/19/2017,0.21,,,,,8/28/2017,0.06,9/18/2017,0.33,11/2/2017,0.05,11/16/2017,0.16,12/20/2017,0.23,2/6/2018,0.52,2/20/2018,0.51,4/6/2018,4.04,5/4/2018,0.65,5/17/2018,0.16,6/25/2018,0.53,7/20/2018,0.63,8/17/2018,0.49,9/24/2018,0.3,10/22/2018,4.45,12/20/2018,13.62,12/21/2018,10.72,,,2/20/2019,0.09,3/22/2019,0.12,4/18/2019,0.14,5/17/2019,1.58,6/20/2019,1.28,,,8/19/2019,1.7,9/18/2019,1.29,,,11/22/2019,0.21,1/7/2020,0.01,1/28/2020,0.17,2/20/2020,0.45,,,,,5/26/2020,0.09,7/2/2020,0.14,8/7/2020,0.14,8/24/2020,0.49,10/8/2020,0.4
,3/5/2015,0.06,,,,,6/1/2015,0.07,,,,,8/19/2015,0.52,,,,,12/18/2015,0.01,,,,,,,,,5/19/2016,0.17,5/24/2016,1.02,,,,,,,,,11/7/2016,0.57,11/25/2016,0.31,12/20/2016,0.18,,,,,,,5/8/2017,0.04,5/22/2017,0.15,,,,,8/29/2017,0.07,9/19/2017,0.28,11/3/2017,0.03,11/17/2017,0.16,12/21/2017,0.22,2/7/2018,0.37,2/21/2018,0.45,4/10/2018,2.03,5/7/2018,0.44,5/18/2018,0.16,6/26/2018,0.4,7/23/2018,0.54,8/20/2018,0.46,9/25/2018,0.25,10/23/2018,4.95,12/21/2018,15.69,12/24/2018,11.84,,,2/21/2019,0.06,3/25/2019,0.2,4/22/2019,0.11,5/20/2019,2.4,6/21/2019,1.32,,,8/20/2019,1.83,9/19/2019,1.12,,,11/25/2019,0.11,1/10/2020,0.01,1/29/2020,0.16,2/21/2020,0.87,,,,,5/29/2020,0.1,7/6/2020,0.12,8/10/2020,0.07,8/25/2020,0.4,10/9/2020,0.16
,3/9/2015,0.11,,,,,6/3/2015,0.08,,,,,8/20/2015,0.9,,,,,,,,,,,,,,,5/20/2016,0.01,5/25/2016,0.7,,,,,,,,,11/8/2016,0.48,11/28/2016,0.24,12/21/2016,0.18,,,,,,,5/9/2017,0.04,5/23/2017,0.14,,,,,8/30/2017,0.04,9/20/2017,0.4,11/6/2017,0.02,11/20/2017,0.1,12/22/2017,0.21,2/8/2018,1.54,2/22/2018,0.47,4/11/2018,2.25,5/8/2018,0.4,5/21/2018,0.1,6/27/2018,0.58,7/24/2018,0.48,8/21/2018,0.41,9/26/2018,0.32,10/24/2018,7.75,,,12/26/2018,11.43,,,2/22/2019,0.04,3/27/2019,0.11,4/23/2019,0.09,5/21/2019,1.75,6/24/2019,1.29,,,8/21/2019,1.48,9/20/2019,1.46,,,11/26/2019,0.09,,,1/30/2020,0.09,2/24/2020,2.11,,,,,6/1/2020,0.08,7/7/2020,0.11,8/11/2020,0.09,8/26/2020,0.3,10/12/2020,0.1
,3/10/2015,0.21,,,,,6/4/2015,0.12,,,,,8/21/2015,1.82,,,,,,,,,,,,,,,,,5/26/2016,0.73,,,,,,,,,11/9/2016,0.51,11/29/2016,0.25,12/22/2016,0.2,,,,,,,5/10/2017,0.03,5/24/2017,0.1,,,,,8/31/2017,0.02,9/21/2017,0.37,11/7/2017,0.02,11/21/2017,0.06,12/26/2017,0.25,2/9/2018,0.79,2/23/2018,0.24,4/12/2018,1.51,5/9/2018,0.16,5/22/2018,0.1,6/28/2018,0.52,7/25/2018,0.3,8/22/2018,0.37,9/27/2018,0.21,10/25/2018,5.37,,,12/28/2018,8.75,,,2/25/2019,0.03,3/29/2019,0.05,4/24/2019,0.1,5/22/2019,1.83,6/25/2019,2.05,,,8/22/2019,1.49,9/23/2019,1.22,,,11/27/2019,0.05,,,2/3/2020,0.1,2/25/2020,3.4,,,,,6/4/2020,0.02,7/8/2020,0.07,8/13/2020,0.08,8/28/2020,0.22,10/13/2020,0.08
,3/11/2015,0.34,,,,,6/5/2015,0.1,,,,,8/24/2015,3.15,,,,,,,,,,,,,,,,,5/27/2016,0.6,,,,,,,,,11/10/2016,0.62,11/30/2016,0.42,12/27/2016,0.15,,,,,,,5/11/2017,0.03,5/25/2017,0.06,,,,,9/1/2017,0.01,9/22/2017,0.34,11/10/2017,0.04,11/22/2017,0.05,12/27/2017,0.22,2/12/2018,0.26,2/26/2018,0.64,4/13/2018,1.78,5/10/2018,0.05,5/23/2018,0.12,6/29/2018,0.36,7/26/2018,0.48,8/23/2018,0.36,9/28/2018,0.19,10/26/2018,6.57,,,12/31/2018,8.45,,,2/26/2019,0.03,4/1/2019,0.03,4/25/2019,0.11,5/23/2019,2.73,6/26/2019,1.55,,,8/23/2019,3.3,9/24/2019,1.8,,,12/2/2019,0.14,,,2/4/2020,0.04,2/26/2020,3.04,,,,,6/5/2020,0.02,7/9/2020,0.04,8/14/2020,0.05,8/31/2020,0.17,10/14/2020,0.02
,3/12/2015,0.19,,,,,6/8/2015,0.13,,,,,8/25/2015,2.91,,,,,,,,,,,,,,,,,5/31/2016,0.6,,,,,,,,,11/11/2016,0.62,12/1/2016,1.01,12/28/2016,0.17,,,,,,,5/15/2017,0.01,5/26/2017,0.08,,,,,9/5/2017,0.03,9/25/2017,0.54,11/13/2017,0.03,11/24/2017,0.05,12/28/2017,0.23,2/13/2018,0.14,2/27/2018,0.23,4/16/2018,1.33,5/11/2018,0.05,5/24/2018,0.09,7/2/2018,0.33,7/27/2018,0.81,8/24/2018,0.25,10/1/2018,0.12,10/29/2018,8.1,,,1/2/2019,8.05,,,2/27/2019,0.02,4/2/2019,0.03,4/26/2019,0.09,5/24/2019,2.48,6/27/2019,1.38,,,8/26/2019,2.63,9/25/2019,1.13,,,12/3/2019,0.2,,,2/5/2020,0.03,2/27/2020,5.85,,,,,6/8/2020,0.05,7/13/2020,0.01,8/17/2020,0.03,9/1/2020,0.18,10/15/2020,0.03
,3/13/2015,0.28,,,,,6/9/2015,0.11,,,,,8/26/2015,2,,,,,,,,,,,,,,,,,6/1/2016,0.48,,,,,,,,,11/14/2016,1.05,12/2/2016,0.88,12/29/2016,0.2,,,,,,,5/16/2017,0.02,5/30/2017,0.04,,,,,9/6/2017,0.02,9/26/2017,0.41,11/14/2017,0.03,11/27/2017,0.04,12/29/2017,0.31,2/14/2018,0.02,2/28/2018,0.26,4/17/2018,0.38,5/14/2018,0.02,5/29/2018,0.11,7/3/2018,0.33,7/30/2018,1.21,8/27/2018,0.16,10/2/2018,0.13,10/30/2018,7.6,,,1/3/2019,10.8,,,3/1/2019,0.01,4/3/2019,0.01,4/30/2019,0.08,5/28/2019,2.68,6/28/2019,1.41,,,8/27/2019,2.4,9/26/2019,1.06,,,12/5/2019,0.1,,,2/18/2020,0.03,2/28/2020,7.3,,,,,6/10/2020,0.02,7/14/2020,0.01,8/20/2020,0.01,9/3/2020,0.55,10/16/2020,0.01
,3/16/2015,0.13,,,,,6/11/2015,0.03,,,,,8/27/2015,1.4,,,,,,,,,,,,,,,,,6/2/2016,0.56,,,,,,,,,11/15/2016,0.57,12/5/2016,0.5,12/30/2016,0.27,,,,,,,5/17/2017,0.05,5/31/2017,0.04,,,,,9/7/2017,0.03,9/27/2017,0.29,11/15/2017,0.03,11/28/2017,0.05,1/2/2018,0.14,2/15/2018,0.02,3/1/2018,0.41,4/18/2018,0.39,5/15/2018,0.06,5/30/2018,0.07,7/5/2018,0.18,7/31/2018,0.8,8/28/2018,0.15,10/3/2018,0.08,10/31/2018,5.6,,,1/4/2019,8.52,,,3/5/2019,0.01,,,5/2/2019,0.1,5/29/2019,3.1,7/1/2019,0.65,,,8/28/2019,2.33,9/27/2019,1.74,,,12/6/2019,0.06,,,2/21/2020,0.02,3/2/2020,2.83,,,,,,,7/15/2020,0.07,,,9/4/2020,0.85,,
,3/17/2015,0.06,,,,,6/15/2015,0.05,,,,,8/28/2015,1.39,,,,,,,,,,,,,,,,,6/3/2016,0.55,,,,,,,,,11/16/2016,0.23,12/6/2016,0.47,1/4/2017,0.1,,,,,,,5/18/2017,0.04,6/1/2017,0.03,,,,,9/8/2017,0.02,9/28/2017,0.27,11/16/2017,0.01,11/29/2017,0.11,1/3/2018,0.07,,,3/2/2018,0.29,4/19/2018,0.98,5/16/2018,0.01,5/31/2018,0.06,7/6/2018,0.14,8/1/2018,0.72,8/29/2018,0.11,10/4/2018,0.27,11/1/2018,5.11,,,1/7/2019,7.95,,,3/7/2019,0.02,,,5/6/2019,0.09,5/30/2019,2.67,7/2/2019,0.52,,,8/29/2019,1.48,9/30/2019,1.16,,,12/9/2019,0.05,,,,,3/3/2020,4.8,,,,,,,7/16/2020,0.02,,,9/8/2020,0.74,,
,3/18/2015,0.09,,,,,6/17/2015,0.02,,,,,8/31/2015,1.35,,,,,,,,,,,,,,,,,6/6/2016,0.43,,,,,,,,,11/17/2016,0.03,12/7/2016,0.18,1/5/2017,0.07,,,,,,,5/19/2017,0.01,6/2/2017,0.03,,,,,9/11/2017,0.02,9/29/2017,0.15,,,11/30/2017,0.07,1/4/2018,0.07,,,3/5/2018,0.13,4/20/2018,1.87,5/17/2018,0.02,6/1/2018,0.03,7/9/2018,0.05,8/2/2018,0.38,8/30/2018,0.13,10/5/2018,0.4,11/2/2018,6.31,,,1/8/2019,7.25,,,3/11/2019,0.02,,,5/7/2019,0.2,5/31/2019,3.57,7/3/2019,0.34,,,8/30/2019,1.55,10/1/2019,1.46,,,12/11/2019,0.04,,,,,3/4/2020,2.25,,,,,,,7/17/2020,0.03,,,9/9/2020,0.19,,
,3/19/2015,0.01,,,,,6/18/2015,0.01,,,,,9/1/2015,2.42,,,,,,,,,,,,,,,,,6/7/2016,0.4,,,,,,,,,11/18/2016,0.01,12/8/2016,0.09,1/6/2017,0.05,,,,,,,,,6/5/2017,0.03,,,,,9/13/2017,0.01,10/2/2017,0.14,,,12/1/2017,0.16,1/5/2018,0.05,,,3/6/2018,0.1,,,5/18/2018,0.03,6/4/2018,0.03,7/12/2018,0.02,8/3/2018,0.28,8/31/2018,0.12,10/8/2018,0.46,11/5/2018,6.29,,,1/9/2019,6.5,,,3/15/2019,0.02,,,5/8/2019,0.13,6/3/2019,4.81,7/5/2019,0.31,,,9/3/2019,1.87,10/2/2019,2.36,,,12/16/2019,0.03,,,,,3/5/2020,4.4,,,,,,,,,,,9/10/2020,0.26,,
,3/20/2015,0.01,,,,,,,,,,,9/2/2015,1.72,,,,,,,,,,,,,,,,,6/8/2016,0.25,,,,,,,,,,,12/9/2016,0.04,1/11/2017,0.03,,,,,,,,,6/6/2017,0.02,,,,,,,10/3/2017,0.1,,,12/4/2017,0.09,1/8/2018,0.05,,,3/7/2018,0.08,,,,,6/13/2018,0.01,7/13/2018,0.01,8/6/2018,0.15,9/4/2018,0.13,10/9/2018,0.37,11/6/2018,6.07,,,1/10/2019,6.7,,,,,,,5/9/2019,0.2,6/4/2019,2.99,7/8/2019,0.38,,,9/4/2019,1.23,10/3/2019,1.69,,,12/19/2019,0.02,,,,,3/6/2020,4.85,,,,,,,,,,,9/11/2020,0.27,,
,,,,,,,,,,,,,9/4/2015,1.85,,,,,,,,,,,,,,,,,6/9/2016,0.28,,,,,,,,,,,12/12/2016,0.05,1/12/2017,0.02,,,,,,,,,6/8/2017,0.03,,,,,,,10/4/2017,0.1,,,12/5/2017,0.13,1/9/2018,0.03,,,3/8/2018,0.06,,,,,6/14/2018,0.01,7/17/2018,0.03,8/7/2018,0.09,9/5/2018,0.17,10/10/2018,1.9,11/7/2018,4.43,,,1/14/2019,7.2,,,,,,,5/10/2019,0.05,6/5/2019,2.13,7/9/2019,0.28,,,9/5/2019,0.53,10/4/2019,0.96,,,,,,,,,3/9/2020,9.7,,,,,,,,,,,9/14/2020,0.04,,
,,,,,,,,,,,,,9/8/2015,1.35,,,,,,,,,,,,,,,,,6/10/2016,0.5,,,,,,,,,,,12/13/2016,0.02,1/13/2017,0.03,,,,,,,,,6/9/2017,0.1,,,,,,,10/5/2017,0.06,,,12/6/2017,0.13,1/10/2018,0.04,,,3/9/2018,0.01,,,,,,,,,8/8/2018,0.07,9/6/2018,0.29,10/11/2018,2.15,11/8/2018,4.06,,,1/15/2019,6.15,,,,,,,5/13/2019,0.36,6/6/2019,1.53,7/10/2019,0.15,,,9/6/2019,0.41,10/7/2019,1.06,,,,,,,,,3/10/2020,6.5,,,,,,,,,,,9/15/2020,0.05,,
,,,,,,,,,,,,,9/9/2015,1.31,,,,,,,,,,,,,,,,,6/13/2016,0.69,,,,,,,,,,,12/14/2016,0.02,1/17/2017,0.01,,,,,,,,,6/12/2017,0.03,,,,,,,10/6/2017,0.05,,,12/7/2017,0.03,1/11/2018,0.03,,,3/12/2018,0.02,,,,,,,,,8/9/2018,0.05,9/7/2018,0.26,10/12/2018,0.92,11/9/2018,5,,,1/16/2019,5.8,,,,,,,5/14/2019,0.05,6/7/2019,0.78,7/11/2019,0.09,,,9/9/2019,0.54,10/8/2019,1.81,,,,,,,,,3/11/2020,8.32,,,,,,,,,,,9/16/2020,0.02,,
,,,,,,,,,,,,,9/10/2015,1.17,,,,,,,,,,,,,,,,,6/14/2016,0.83,,,,,,,,,,,,,1/18/2017,0.01,,,,,,,,,6/13/2017,0.03,,,,,,,10/9/2017,0.03,,,12/11/2017,0.02,1/12/2018,0.04,,,3/13/2018,0.01,,,,,,,,,8/10/2018,0.12,9/10/2018,0.17,10/15/2018,1.15,11/12/2018,7.3,,,1/17/2019,5.65,,,,,,,5/15/2019,0.03,6/10/2019,0.48,7/12/2019,0.05,,,9/10/2019,0.63,10/9/2019,1.12,,,,,,,,,3/12/2020,16.7,,,,,,,,,,,9/17/2020,0.03,,
,,,,,,,,,,,,,9/11/2015,1.21,,,,,,,,,,,,,,,,,6/15/2016,0.73,,,,,,,,,,,,,1/20/2017,0.02,,,,,,,,,6/14/2017,0.03,,,,,,,10/10/2017,0.04,,,12/12/2017,0.02,1/16/2018,0.03,,,3/14/2018,0.02,,,,,,,,,8/13/2018,0.09,9/11/2018,0.08,10/16/2018,0.32,11/13/2018,6.77,,,1/18/2019,4.75,,,,,,,,,6/11/2019,0.46,7/15/2019,0.01,,,9/11/2019,0.36,10/10/2019,0.85,,,,,,,,,3/13/2020,14.78,,,,,,,,,,,9/18/2020,0.01,,
,,,,,,,,,,,,,9/14/2015,0.93,,,,,,,,,,,,,,,,,6/16/2016,0.64,,,,,,,,,,,,,,,,,,,,,,,6/15/2017,0.03,,,,,,,10/11/2017,0.04,,,12/13/2017,0.02,1/17/2018,0.03,,,3/16/2018,0.01,,,,,,,,,8/14/2018,0.04,9/12/2018,0.09,10/17/2018,0.39,11/14/2018,7.86,,,,,,,,,,,,,6/12/2019,0.57,7/16/2019,0.02,,,9/12/2019,0.2,10/11/2019,0.38,,,,,,,,,3/16/2020,18.67,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/15/2015,0.5,,,,,,,,,,,,,,,,,6/17/2016,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/12/2017,0.03,,,12/14/2017,0.01,1/18/2018,0.05,,,,,,,,,,,,,8/15/2018,0.07,9/13/2018,0.04,10/18/2018,1.1,11/15/2018,6.82,,,,,,,,,,,,,6/13/2019,0.5,7/17/2019,0.01,,,9/13/2019,0.26,10/14/2019,0.2,,,,,,,,,3/17/2020,17.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/16/2015,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/13/2017,0.03,,,,,1/19/2018,0.01,,,,,,,,,,,,,8/16/2018,0.01,9/14/2018,0.03,10/19/2018,0.87,11/16/2018,6.6,,,,,,,,,,,,,6/14/2019,0.49,7/18/2019,0.01,,,9/16/2019,0.31,10/15/2019,0.04,,,,,,,,,3/18/2020,20.85,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/17/2015,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2017,0.04,,,,,,,,,,,,,,,,,,,8/17/2018,0.01,9/17/2018,0.04,,,,,,,,,,,,,,,,,6/17/2019,0.37,,,,,9/17/2019,0.17,10/16/2019,0.04,,,,,,,,,3/19/2020,16.82,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/18/2015,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/17/2017,0.02,,,,,,,,,,,,,,,,,,,,,9/18/2018,0.01,,,,,,,,,,,,,,,,,6/18/2019,0.11,,,,,9/18/2019,0.15,10/17/2019,0.01,,,,,,,,,3/20/2020,16.78,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/18/2017,0.02,,,,,,,,,,,,,,,,,,,,,9/19/2018,0.02,,,,,,,,,,,,,,,,,6/19/2019,0.04,,,,,9/19/2019,0.03,10/18/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/19/2017,0.01,,,,,,,,,,,,,,,,,,,,,9/20/2018,0.01,,,,,,,,,,,,,,,,,6/20/2019,0.01,,,,,9/20/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/20/2017,0.02,,,,,,,,,,,,,,,,,,,,,9/21/2018,0.01,,,,,,,,,,,,,,,,,6/21/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
