,XLV 3/20/15 C68,,XLV 4/17/15 C69,,XLV 5/15/15 C72,,XLV 6/19/15 C71,,XLV 7/17/15 C72,,XLV 8/21/15 C75,,XLV 9/18/15 C75,,XLV 10/16/15 C76,,XLV 11/20/15 C68,,XLV 12/18/15 C66,,XLV 1/15/16 C72,,XLV 2/19/16 C72,,XLV 3/18/16 C70,,XLV 4/15/16 C66,,XLV 5/20/16 C67,,XLV 6/17/16 C68,,XLV 7/15/16 C70,,XLV 8/19/16 C71,,XLV 9/16/16 C72,,XLV 10/21/16 C75,,XLV 11/18/16 C72,,XLV 12/16/16 C72,,XLV 1/20/17 C67,,XLV 2/17/17 C68,,XLV 3/17/17 C69,,XLV 4/21/17 C71,,XLV 5/19/17 C75,,XLV 6/16/17 C74,,XLV 7/21/17 C75,,XLV 8/18/17 C76,,XLV 9/15/17 C79,,XLV 10/20/17 C79,,XLV 11/17/17 C81,,XLV 12/15/17 C82,,XLV 1/19/18 C81,,XLV 2/16/18 C83,,XLV 3/16/18 C83,,XLV 4/20/18 C88,,XLV 5/18/18 C82,,XLV 6/15/18 C79,,XLV 7/20/18 C82,,XLV 8/17/18 C83,,XLV 9/21/18 C83,,XLV 10/19/18 C88,,XLV 11/16/18 C92,,XLV 12/21/18 C95,,XLV 1/18/19 C89,,XLV 2/15/19 C95,,XLV 3/15/19 C85,,XLV 4/18/19 C90,,XLV 5/17/19 C92,,XLV 6/21/19 C91,,XLV 7/19/19 C89,,XLV 8/16/19 C87,,XLV 9/20/19 C93,,XLV 10/18/19 C91,,XLV 11/15/19 C90,,XLV 12/20/19 C89,,XLV 1/17/20 C94,,XLV 2/21/20 C99,,XLV 3/20/20 C102,,XLV 4/17/20 C100,,XLV 5/15/20 C96,,XLV 6/19/20 C85,,XLV 7/17/20 C97,,XLV 8/21/20 C101,,XLV 9/18/20 C100,,XLV 10/16/20 C106,
,2/17/2015,3.65,,,5/7/2015,0.85,5/20/2015,4.5,,,8/7/2015,1.08,8/12/2015,1.69,,,11/3/2015,4.86,,,1/6/2016,0.4,,,2/17/2016,0.29,4/12/2016,2.91,,,5/13/2016,2.13,7/7/2016,3.12,,,8/19/2016,2.45,9/26/2016,0.1,10/28/2016,0.15,11/11/2016,0.95,12/15/2016,3.05,2/2/2017,3.14,2/15/2017,4.5,,,5/1/2017,1.15,5/15/2017,2,,,,,8/23/2017,0.7,10/12/2017,3.75,11/1/2017,1.21,11/10/2017,0.7,12/15/2017,3.1,2/5/2018,1.5,2/15/2018,2.38,3/26/2018,0.04,5/3/2018,0.32,,,7/3/2018,2.31,7/26/2018,5.8,9/17/2018,11.05,10/3/2018,7.59,10/18/2018,2.14,11/12/2018,0.71,12/18/2018,0.96,,,2/13/2019,6.45,3/18/2019,2.63,4/12/2019,0.56,5/13/2019,0.58,7/3/2019,5.3,,,8/12/2019,0.88,9/30/2019,0.82,11/11/2019,4.62,,,,,,,2/19/2020,3.15,3/19/2020,0.13,4/21/2020,4.18,,,6/24/2020,2.96,8/4/2020,5.37,8/20/2020,7.35,9/23/2020,0.68
,2/18/2015,3.37,,,5/8/2015,1.48,5/21/2015,4.28,,,8/10/2015,1.31,8/13/2015,1.65,,,11/4/2015,4.5,,,1/7/2016,0.16,,,2/18/2016,0.18,4/13/2016,3.68,,,5/16/2016,2.71,7/8/2016,3.54,,,8/23/2016,2.79,9/27/2016,0.1,10/31/2016,0.12,11/14/2016,0.75,12/16/2016,3.22,2/3/2017,3.33,2/16/2017,4.6,,,5/2/2017,1.16,5/16/2017,1.87,,,,,8/24/2017,0.75,10/13/2017,3.4,11/2/2017,0.87,11/13/2017,0.72,12/18/2017,3.1,2/6/2018,1.07,2/16/2018,3.25,3/27/2018,0.03,5/4/2018,0.56,,,7/5/2018,3.11,7/27/2018,5.15,9/19/2018,10.61,10/8/2018,5.82,10/19/2018,1.4,11/13/2018,0.5,12/19/2018,0.74,,,2/15/2019,7.8,3/19/2019,3.13,4/15/2019,0.63,5/14/2019,0.58,7/5/2019,4.96,,,8/13/2019,1.2,10/1/2019,0.5,11/12/2019,5.29,,,,,,,2/20/2020,2.42,3/20/2020,0.02,4/22/2020,4.75,,,6/25/2020,3.1,8/5/2020,5.96,8/21/2020,7.3,9/24/2020,0.45
,2/19/2015,3.52,,,5/12/2015,1.13,5/26/2015,3.5,,,8/11/2015,0.88,8/14/2015,1.63,,,11/9/2015,3.46,,,1/8/2016,0.03,,,2/19/2016,0.16,4/14/2016,4.19,,,5/17/2016,2.11,7/11/2016,3.56,,,8/25/2016,1.35,9/28/2016,0.09,11/1/2016,0.08,11/15/2016,0.62,12/19/2016,2.72,2/8/2017,3.52,2/17/2017,4.65,,,5/3/2017,1.03,5/17/2017,1.39,,,,,8/25/2017,0.68,10/16/2017,3.17,11/3/2017,1.02,11/14/2017,0.59,12/19/2017,3.19,2/7/2018,1.81,2/20/2018,2.49,3/28/2018,0.05,5/7/2018,0.49,,,7/6/2018,4.1,7/30/2018,5.22,,,10/9/2018,6.44,10/22/2018,1.18,11/14/2018,0.44,12/20/2018,0.62,,,2/21/2019,7,3/20/2019,2.75,4/16/2019,0.23,5/15/2019,0.58,7/9/2019,4.11,,,8/14/2019,0.58,10/2/2019,0.22,11/13/2019,5.41,,,,,,,2/21/2020,2.74,3/23/2020,0.01,4/23/2020,4.9,,,6/26/2020,2.65,8/6/2020,5.26,8/24/2020,6.28,9/25/2020,0.78
,2/20/2015,4.2,,,5/13/2015,1.33,5/27/2015,4.25,,,8/12/2015,0.97,8/17/2015,2,,,11/10/2015,3.52,,,1/11/2016,0.02,,,2/22/2016,0.17,4/15/2016,3.9,,,5/18/2016,2.24,7/12/2016,3.91,,,8/26/2016,1.58,9/29/2016,0.04,11/2/2016,0.07,11/16/2016,0.46,12/20/2016,2.61,2/10/2017,3.83,2/21/2017,5.18,,,5/4/2017,1.25,5/18/2017,1.71,,,,,8/28/2017,0.94,10/17/2017,3.97,11/6/2017,0.95,11/15/2017,0.48,12/21/2017,2.72,2/8/2018,1.34,2/21/2018,2.33,3/29/2018,0.03,5/8/2018,0.21,,,7/9/2018,4.6,7/31/2018,5.73,,,10/10/2018,4.75,10/23/2018,0.97,11/15/2018,0.54,12/21/2018,0.44,,,2/22/2019,7.57,3/21/2019,2.12,4/17/2019,0.05,5/16/2019,0.59,7/12/2019,3.3,,,8/15/2019,0.62,10/3/2019,0.26,11/14/2019,5.25,,,,,,,2/24/2020,1.33,3/24/2020,0.01,4/24/2020,5.6,,,6/29/2020,2.93,8/14/2020,5.69,8/25/2020,7.15,9/28/2020,0.87
,2/23/2015,4.6,,,5/14/2015,2.09,5/29/2015,4.5,,,8/13/2015,0.8,8/18/2015,1.96,,,11/12/2015,2.89,,,1/12/2016,0.01,,,2/23/2016,0.17,,,,,5/19/2016,1.9,7/13/2016,3.85,,,8/29/2016,1.73,9/30/2016,0.06,11/3/2016,0.03,11/17/2016,0.47,12/21/2016,2.33,2/13/2017,4.29,2/22/2017,5.15,,,5/5/2017,1.19,5/19/2017,1.65,,,,,8/29/2017,0.98,10/18/2017,4.25,11/8/2017,0.85,11/16/2017,0.73,12/22/2017,2.21,2/9/2018,0.8,2/22/2018,1.87,4/2/2018,0.03,5/9/2018,0.29,,,7/10/2018,4.95,8/1/2018,6.08,,,10/11/2018,2.36,10/24/2018,0.46,11/16/2018,0.65,12/24/2018,0.26,,,2/25/2019,8.15,3/22/2019,2.45,4/18/2019,0.08,5/17/2019,0.64,7/16/2019,3.25,,,8/16/2019,0.69,10/4/2019,0.52,11/15/2019,7.59,,,,,,,2/25/2020,0.58,3/25/2020,0.01,4/27/2020,6.15,,,6/30/2020,3.26,8/18/2020,6.59,8/26/2020,6.92,9/29/2020,0.81
,2/24/2015,4.42,,,5/15/2015,2.22,6/1/2015,4.52,,,8/14/2015,0.83,8/19/2015,1.85,,,11/13/2015,2.32,,,1/13/2016,0.01,,,2/24/2016,0.16,,,,,5/20/2016,2.29,7/14/2016,4.05,,,8/30/2016,1.36,10/3/2016,0.04,11/4/2016,0.06,11/18/2016,0.23,12/22/2016,2.36,2/16/2017,5.64,2/23/2017,5.36,,,5/8/2017,0.85,5/22/2017,1.67,,,,,8/30/2017,1.41,,,11/9/2017,0.83,11/17/2017,0.59,12/28/2017,2.42,2/12/2018,0.98,2/23/2018,2.49,4/3/2018,0.02,5/10/2018,0.72,,,7/11/2018,4.4,8/2/2018,6.53,,,10/12/2018,2.83,10/25/2018,0.65,11/19/2018,0.42,12/26/2018,0.46,,,2/26/2019,7.8,3/25/2019,1.7,4/22/2019,0.06,5/20/2019,0.53,7/18/2019,3.55,,,8/19/2019,0.88,10/7/2019,0.53,,,,,,,,,2/26/2020,0.54,3/26/2020,0.15,4/29/2020,5.17,,,7/1/2020,4.6,8/19/2020,6.7,8/27/2020,8.38,9/30/2020,1.45
,2/25/2015,4.4,,,,,6/2/2015,3.9,,,8/17/2015,1.17,8/20/2015,1.04,,,11/16/2015,2.16,,,,,,,2/25/2016,0.22,,,,,5/23/2016,2.02,7/15/2016,4.13,,,8/31/2016,1.21,10/4/2016,0.03,11/7/2016,0.08,11/21/2016,0.2,12/23/2016,2.76,2/17/2017,5.43,2/24/2017,5.65,,,5/9/2017,0.81,5/23/2017,1.78,,,,,8/31/2017,2.38,,,11/10/2017,0.59,11/20/2017,0.38,12/29/2017,2.55,2/13/2018,0.79,2/26/2018,3.75,4/4/2018,0.01,5/11/2018,1.38,,,7/12/2018,5.3,8/3/2018,6.85,,,10/15/2018,2.68,10/26/2018,0.38,11/20/2018,0.38,12/27/2018,0.4,,,2/27/2019,7.1,3/26/2019,2.03,4/23/2019,0.12,5/21/2019,0.67,,,,,8/20/2019,0.58,10/8/2019,0.17,,,,,,,,,2/27/2020,0.45,3/27/2020,0.15,4/30/2020,4.77,,,7/2/2020,5.05,8/20/2020,5.7,9/1/2020,7.38,10/1/2020,1.19
,2/27/2015,4.37,,,,,6/5/2015,3.44,,,8/18/2015,1.15,8/21/2015,0.75,,,11/17/2015,2.87,,,,,,,2/26/2016,0.21,,,,,5/24/2016,2.78,,,,,9/1/2016,1.05,10/5/2016,0.02,11/8/2016,0.08,11/22/2016,0.09,12/27/2016,2.83,,,2/27/2017,5.92,,,5/10/2017,0.68,5/24/2017,1.96,,,,,9/1/2017,2.32,,,11/13/2017,0.56,11/21/2017,0.62,1/2/2018,2.75,2/14/2018,0.62,2/27/2018,3.2,4/9/2018,0.02,5/14/2018,1.8,,,7/13/2018,5.54,8/6/2018,7.2,,,10/16/2018,5.2,10/29/2018,0.43,11/21/2018,0.22,12/28/2018,0.66,,,3/1/2019,7.67,3/27/2019,1.62,4/24/2019,0.09,5/22/2019,0.82,,,,,8/21/2019,0.7,10/9/2019,0.16,,,,,,,,,2/28/2020,0.28,3/30/2020,0.17,5/1/2020,3.1,,,7/6/2020,5.68,8/21/2020,5.75,9/2/2020,8.8,10/2/2020,1.08
,3/3/2015,4.2,,,,,6/8/2015,3.31,,,8/19/2015,0.64,8/24/2015,0.31,,,11/18/2015,3.85,,,,,,,2/29/2016,0.09,,,,,5/25/2016,3.15,,,,,9/2/2016,1.04,10/6/2016,0.02,11/9/2016,0.38,11/23/2016,0.1,12/28/2016,2.73,,,2/28/2017,5.98,,,5/11/2017,0.62,5/25/2017,2.31,,,,,9/5/2017,2.31,,,11/14/2017,0.38,11/22/2017,0.6,1/3/2018,3.4,2/15/2018,1.65,2/28/2018,2.09,4/16/2018,0.01,5/15/2018,0.72,,,7/16/2018,4.95,8/8/2018,7.2,,,10/18/2018,4,10/30/2018,0.36,11/23/2018,0.25,12/31/2018,0.75,,,3/4/2019,6.8,3/28/2019,1.52,4/25/2019,0.14,5/23/2019,0.65,,,,,8/22/2019,0.64,10/10/2019,0.17,,,,,,,,,3/2/2020,0.55,3/31/2020,0.1,5/4/2020,2.99,,,7/9/2020,4.07,,,9/3/2020,6.92,10/5/2020,1.66
,3/4/2015,4.7,,,,,6/10/2015,3.5,,,8/20/2015,0.14,8/25/2015,0.18,,,11/19/2015,3.13,,,,,,,3/1/2016,0.15,,,,,5/26/2016,3.02,,,,,9/6/2016,1.11,10/7/2016,0.02,11/10/2016,0.67,11/25/2016,0.11,12/29/2016,2.58,,,3/1/2017,6.8,,,5/12/2017,0.55,5/26/2017,2.06,,,,,9/6/2017,2.33,,,11/15/2017,0.27,11/24/2017,0.63,1/4/2018,3.8,2/16/2018,2.57,3/1/2018,1.22,4/19/2018,0.01,5/16/2018,1.07,,,7/17/2018,5.45,8/9/2018,7.17,,,10/19/2018,4.1,10/31/2018,0.41,11/26/2018,0.2,1/2/2019,0.3,,,3/5/2019,7,3/29/2019,2.32,4/26/2019,0.18,5/24/2019,0.72,,,,,8/23/2019,0.29,10/11/2019,0.36,,,,,,,,,3/3/2020,0.29,4/1/2020,0.05,5/5/2020,4.4,,,7/10/2020,3.98,,,9/4/2020,5.73,10/6/2020,0.96
,3/5/2015,4.8,,,,,6/12/2015,3.3,,,8/21/2015,0.01,8/26/2015,0.21,,,11/20/2015,3.47,,,,,,,3/2/2016,0.13,,,,,5/27/2016,3.15,,,,,9/7/2016,1.04,10/10/2016,0.01,11/11/2016,0.31,11/28/2016,0.05,12/30/2016,2.29,,,3/2/2017,6.5,,,5/15/2017,0.87,5/30/2017,1.98,,,,,9/7/2017,3,,,11/16/2017,0.63,11/27/2017,0.65,1/5/2018,4.4,,,3/2/2018,1.64,,,5/17/2018,0.98,,,7/18/2018,5.45,8/13/2018,6.63,,,,,11/1/2018,0.45,11/27/2018,0.25,1/3/2019,0.17,,,3/6/2019,5.5,4/1/2019,2.33,4/29/2019,0.17,5/28/2019,0.38,,,,,8/26/2019,0.38,10/14/2019,0.17,,,,,,,,,3/4/2020,1.25,4/2/2020,0.05,5/6/2020,4.16,,,7/15/2020,7.64,,,9/8/2020,4.66,10/7/2020,1.9
,3/6/2015,3.75,,,,,6/15/2015,3.2,,,,,8/27/2015,0.37,,,,,,,,,,,3/3/2016,0.09,,,,,5/31/2016,3.47,,,,,9/8/2016,1.14,10/11/2016,0.01,11/14/2016,0.13,11/29/2016,0.07,1/3/2017,2.93,,,3/3/2017,6.81,,,5/16/2017,0.58,5/31/2017,2.18,,,,,9/8/2017,3.52,,,11/17/2017,0.29,11/28/2017,0.93,1/8/2018,3.8,,,3/5/2018,1.94,,,5/18/2018,1.24,,,7/19/2018,4.95,8/14/2018,6.95,,,,,11/2/2018,0.4,11/28/2018,0.73,1/4/2019,0.34,,,3/7/2019,5.1,4/3/2019,1.99,4/30/2019,0.15,5/29/2019,0.24,,,,,8/27/2019,0.26,10/15/2019,0.8,,,,,,,,,3/5/2020,0.72,4/3/2020,0.03,5/8/2020,3.97,,,,,,,9/9/2020,6.74,10/8/2020,2
,3/12/2015,3.76,,,,,6/16/2015,3.75,,,,,8/28/2015,0.27,,,,,,,,,,,3/4/2016,0.09,,,,,6/1/2016,3.75,,,,,9/9/2016,0.44,10/14/2016,0.02,11/15/2016,0.09,11/30/2016,0.03,1/4/2017,3.64,,,3/6/2017,6.47,,,5/17/2017,0.23,6/1/2017,2.94,,,,,9/11/2017,4.18,,,,,11/29/2017,1.34,1/9/2018,4.98,,,3/6/2018,1.65,,,,,,,7/20/2018,4.7,8/15/2018,7,,,,,11/5/2018,0.59,11/29/2018,1,1/7/2019,0.49,,,3/8/2019,4.15,4/4/2019,1.83,5/1/2019,0.15,5/30/2019,0.22,,,,,8/28/2019,0.3,10/16/2019,0.63,,,,,,,,,3/6/2020,0.49,4/6/2020,0.05,5/11/2020,5.27,,,,,,,9/10/2020,4.43,10/9/2020,2.65
,3/13/2015,3.55,,,,,6/17/2015,3.98,,,,,8/31/2015,0.12,,,,,,,,,,,3/7/2016,0.04,,,,,6/2/2016,4.45,,,,,9/12/2016,0.77,10/18/2016,0.03,11/16/2016,0.04,12/1/2016,0.01,1/5/2017,3.81,,,3/7/2017,6.2,,,5/18/2017,0.2,6/2/2017,3.5,,,,,9/12/2017,4.13,,,,,11/30/2017,1.78,1/10/2018,4.82,,,3/7/2018,2.05,,,,,,,,,8/16/2018,7.51,,,,,11/6/2018,0.66,11/30/2018,1.45,1/8/2019,0.34,,,3/11/2019,5.3,4/5/2019,2.36,5/2/2019,0.18,5/31/2019,0.17,,,,,8/29/2019,0.35,10/17/2019,1.18,,,,,,,,,3/9/2020,0.16,4/7/2020,0.04,5/12/2020,3.84,,,,,,,9/11/2020,4.5,10/12/2020,3.4
,3/16/2015,5.25,,,,,6/18/2015,5.04,,,,,9/1/2015,0.05,,,,,,,,,,,3/9/2016,0.04,,,,,6/3/2016,4.37,,,,,9/13/2016,0.31,10/20/2016,0.01,11/17/2016,0.01,12/2/2016,0.01,1/6/2017,4.13,,,3/8/2017,6.46,,,5/19/2017,0.05,6/5/2017,3.3,,,,,9/13/2017,3.98,,,,,12/1/2017,1.6,1/11/2018,4.95,,,3/8/2018,2.41,,,,,,,,,8/17/2018,7.63,,,,,11/7/2018,1.77,12/3/2018,1.45,1/9/2019,0.39,,,3/12/2019,6.1,4/8/2019,2.17,5/3/2019,0.22,6/3/2019,0.19,,,,,8/30/2019,0.35,10/18/2019,0.95,,,,,,,,,3/10/2020,0.25,4/8/2020,0.15,5/13/2020,2.58,,,,,,,9/14/2020,6.55,10/13/2020,2.44
,3/17/2015,5.06,,,,,6/19/2015,4.8,,,,,9/2/2015,0.03,,,,,,,,,,,3/10/2016,0.04,,,,,6/6/2016,4.7,,,,,9/14/2016,0.13,,,11/18/2016,0.01,12/5/2016,0.01,1/9/2017,4.35,,,3/9/2017,6.43,,,,,6/6/2017,3.15,,,,,9/14/2017,4.1,,,,,12/4/2017,1,1/16/2018,6.26,,,3/9/2018,3.5,,,,,,,,,,,,,,,11/8/2018,1.68,12/4/2018,0.84,1/10/2019,0.29,,,3/13/2019,7.16,4/9/2019,2.11,5/6/2019,0.39,6/4/2019,0.33,,,,,9/3/2019,0.23,,,,,,,,,,,3/11/2020,0.08,4/9/2020,0.2,5/14/2020,3.47,,,,,,,9/15/2020,6.92,10/14/2020,2.48
,3/18/2015,4.9,,,,,,,,,,,9/3/2015,0.02,,,,,,,,,,,3/11/2016,0.06,,,,,6/7/2016,4.35,,,,,9/15/2016,0.27,,,,,12/6/2016,0.01,1/10/2017,4.68,,,3/15/2017,7.21,,,,,6/7/2017,3.26,,,,,9/15/2017,3.5,,,,,12/5/2017,0.9,1/17/2018,6.85,,,3/12/2018,3.33,,,,,,,,,,,,,,,11/9/2018,1.15,12/6/2018,0.44,1/11/2019,0.26,,,3/14/2019,6.85,4/10/2019,2,5/7/2019,0.13,6/5/2019,0.5,,,,,9/4/2019,0.16,,,,,,,,,,,3/12/2020,0.05,4/13/2020,0.04,5/15/2020,4.35,,,,,,,9/16/2020,6.78,10/15/2020,0.98
,3/19/2015,6.45,,,,,,,,,,,9/4/2015,0.03,,,,,,,,,,,3/15/2016,0.01,,,,,6/8/2016,4.6,,,,,9/16/2016,0.11,,,,,12/7/2016,0.03,1/11/2017,3.75,,,3/16/2017,6.7,,,,,6/8/2017,3.05,,,,,,,,,,,12/6/2017,0.72,1/18/2018,7.02,,,3/13/2018,3.25,,,,,,,,,,,,,,,11/12/2018,0.76,12/7/2018,0.2,1/14/2019,0.05,,,3/15/2019,6.9,4/11/2019,1,5/8/2019,0.14,6/6/2019,0.5,,,,,9/5/2019,0.19,,,,,,,,,,,3/13/2020,0.04,4/14/2020,0.28,,,,,,,,,9/17/2020,5,10/16/2020,2.03
,3/20/2015,6.84,,,,,,,,,,,9/8/2015,0.02,,,,,,,,,,,3/16/2016,0.03,,,,,6/9/2016,4.42,,,,,,,,,,,12/8/2016,0.02,1/12/2017,3.5,,,3/17/2017,6.35,,,,,6/9/2017,3.65,,,,,,,,,,,12/7/2017,0.6,1/19/2018,7.15,,,3/14/2018,2.75,,,,,,,,,,,,,,,11/13/2018,0.35,12/10/2018,0.13,1/15/2019,0.28,,,,,4/12/2019,0.58,5/9/2019,0.1,6/7/2019,0.97,,,,,9/6/2019,0.19,,,,,,,,,,,3/16/2020,0.05,4/15/2020,0.13,,,,,,,,,9/18/2020,5.65,,
,,,,,,,,,,,,,9/9/2015,0.04,,,,,,,,,,,3/18/2016,0.01,,,,,6/10/2016,3.66,,,,,,,,,,,12/9/2016,0.02,1/13/2017,3.95,,,,,,,,,6/12/2017,3.35,,,,,,,,,,,12/8/2017,1.05,,,,,3/15/2018,2.75,,,,,,,,,,,,,,,11/14/2018,0.22,12/11/2018,0.19,1/16/2019,0.22,,,,,4/15/2019,0.59,5/10/2019,0.03,6/10/2019,1.08,,,,,9/9/2019,0.07,,,,,,,,,,,3/18/2020,0.02,4/16/2020,0.3,,,,,,,,,,,,
,,,,,,,,,,,,,9/10/2015,0.02,,,,,,,,,,,,,,,,,6/13/2016,3.57,,,,,,,,,,,12/12/2016,0.01,1/17/2017,3.58,,,,,,,,,6/13/2017,3.61,,,,,,,,,,,12/11/2017,1.4,,,,,3/16/2018,2.62,,,,,,,,,,,,,,,11/15/2018,0.05,12/12/2018,0.19,1/17/2019,0.36,,,,,4/16/2019,0.04,5/13/2019,0.01,6/11/2019,0.82,,,,,9/10/2019,0.06,,,,,,,,,,,3/20/2020,0.01,4/17/2020,0.5,,,,,,,,,,,,
,,,,,,,,,,,,,9/11/2015,0.03,,,,,,,,,,,,,,,,,6/14/2016,3.16,,,,,,,,,,,12/13/2016,0.01,1/18/2017,3.37,,,,,,,,,6/14/2017,3.87,,,,,,,,,,,12/12/2017,1.73,,,,,,,,,,,,,,,,,,,,,11/16/2018,0.09,12/13/2018,0.06,1/18/2019,0.98,,,,,4/17/2019,0.02,5/14/2019,0.01,6/12/2019,1.09,,,,,9/11/2019,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/14/2015,0.03,,,,,,,,,,,,,,,,,6/15/2016,3.05,,,,,,,,,,,12/14/2016,0.01,1/19/2017,3,,,,,,,,,6/15/2017,3.86,,,,,,,,,,,12/13/2017,2.08,,,,,,,,,,,,,,,,,,,,,,,12/14/2018,0.02,,,,,,,4/18/2019,0.01,5/15/2019,0.01,6/13/2019,0.84,,,,,9/12/2019,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/15/2015,0.02,,,,,,,,,,,,,,,,,6/16/2016,3.2,,,,,,,,,,,12/15/2016,0.01,1/20/2017,2.87,,,,,,,,,,,,,,,,,,,,,12/14/2017,1.21,,,,,,,,,,,,,,,,,,,,,,,12/17/2018,0.02,,,,,,,,,5/16/2019,0.02,6/14/2019,0.79,,,,,9/13/2019,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/16/2015,0.01,,,,,,,,,,,,,,,,,6/17/2016,2.06,,,,,,,,,,,12/16/2016,0.01,,,,,,,,,,,,,,,,,,,,,,,12/15/2017,1.66,,,,,,,,,,,,,,,,,,,,,,,12/18/2018,0.02,,,,,,,,,,,6/17/2019,0.89,,,,,9/16/2019,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/17/2015,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/19/2018,0.01,,,,,,,,,,,6/18/2019,1.36,,,,,9/17/2019,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9/18/2015,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/20/2018,0.01,,,,,,,,,,,6/19/2019,2.41,,,,,9/18/2019,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/21/2018,0.03,,,,,,,,,,,6/20/2019,2.62,,,,,9/19/2019,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/21/2019,2.73,,,,,9/20/2019,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,
