,XLY 3/20/15 C71,,XLY 4/17/15 C70,,XLY 5/15/15 C76,,XLY 6/19/15 C75,,XLY 7/17/15 C76,,XLY 8/21/15 C76,,XLY 9/18/15 C77,,XLY 10/16/15 C79,,XLY 11/20/15 C73,,XLY 12/18/15 C74,,XLY 1/15/16 C81,,XLY 2/19/16 C81,,XLY 3/18/16 C76,,XLY 4/15/16 C74,,XLY 5/20/16 C76,,XLY 6/17/16 C79,,XLY 7/15/16 C80,,XLY 8/19/16 C79,,XLY 9/16/16 C78,,XLY 10/21/16 C81,,XLY 11/18/16 C80,,XLY 12/16/16 C79,,XLY 1/20/17 C77,,XLY 2/17/17 C81,,XLY 3/17/17 C81,,XLY 4/21/17 C84,,XLY 5/19/17 C87,,XLY 6/16/17 C87,,XLY 7/21/17 C90,,XLY 8/18/17 C91,,XLY 9/15/17 C89,,XLY 10/20/17 C91,,XLY 11/17/17 C90,,XLY 12/15/17 C90,,XLY 1/19/18 C92,,XLY 2/16/18 C96,,XLY 3/16/18 C100,,XLY 4/20/18 C106,,XLY 5/18/18 C102,,XLY 6/15/18 C98,,XLY 7/20/18 C103,,XLY 8/17/18 C106,,XLY 9/21/18 C109,,XLY 10/19/18 C110,,XLY 11/16/18 C117,,XLY 12/21/18 C116,,XLY 1/18/19 C107,,XLY 2/15/19 C110,,XLY 3/15/19 C99,,XLY 4/18/19 C107,,XLY 5/17/19 C111,,XLY 6/21/19 C115,,XLY 7/19/19 C118,,XLY 8/16/19 C110,,XLY 9/20/19 C120,,XLY 10/18/19 C119,,XLY 11/15/19 C119,,XLY 12/20/19 C119,,XLY 1/17/20 C121,,XLY 2/21/20 C121,,XLY 3/20/20 C126,,XLY 4/17/20 C126,,XLY 5/15/20 C119,,XLY 6/19/20 C93,,XLY 7/17/20 C112,,XLY 8/21/20 C125,,XLY 9/18/20 C129,,XLY 10/16/20 C136,
0,1/2/2015,2.61,2/24/2015,5.8,3/23/2015,2.14,4/1/2015,2.21,5/18/2015,2.15,6/22/2015,2.84,7/2/2015,2.3,8/24/2015,0.3,9/21/2015,4.55,10/1/2015,3.2,11/2/2015,2.17,12/22/2015,0.89,1/4/2016,2.85,2/23/2016,2.1,3/23/2016,3.1,4/4/2016,2.06,5/23/2016,0.7,6/21/2016,1.77,7/6/2016,2.55,8/2/2016,1.86,9/20/2016,1.25,10/6/2016,2.64,11/1/2016,2.48,12/19/2016,3.3,1/3/2017,2.97,2/24/2017,2.99,3/21/2017,1.31,4/3/2017,2.4,5/23/2017,1.09,7/12/2017,0.78,7/12/2017,2.48,8/21/2017,0.78,9/18/2017,1.59,10/2/2017,1.96,11/1/2017,2.01,12/20/2017,3.77,1/2/2018,2.25,2/16/2018,2.33,3/20/2018,4.45,4/2/2018,4.08,5/21/2018,4.1,6/6/2018,4.8,7/2/2018,3.35,8/20/2018,4.68,9/6/2018,2.43,10/2/2018,3.11,11/1/2018,4.4,12/27/2018,0.45,1/2/2019,4.65,2/20/2019,5.27,3/19/2019,4.04,4/1/2019,3.55,5/23/2019,1.08,8/8/2019,9.33,7/1/2019,3.45,8/19/2019,2.43,9/24/2019,3.49,10/2/2019,3.67,11/1/2019,3.3,12/27/2019,6.75,1/2/2020,4.2,2/24/2020,3.9,3/30/2020,0.73,#N/A Invalid Security,,6/10/2020,20.22,6/24/2020,7.05,7/1/2020,6.47,9/1/2020,16.55
,1/6/2015,1.56,2/25/2015,6.7,3/24/2015,1.99,4/2/2015,2.6,5/19/2015,2.05,6/24/2015,2.81,7/7/2015,1.91,8/31/2015,0.64,9/24/2015,2.99,10/5/2015,3.96,11/3/2015,2.32,12/23/2015,0.94,1/6/2016,2.57,2/24/2016,1.82,3/30/2016,3.95,4/5/2016,1.81,5/24/2016,0.84,6/22/2016,1.72,7/8/2016,3.76,8/3/2016,1.87,9/23/2016,1.56,10/7/2016,2.66,11/2/2016,2.44,12/22/2016,2.97,1/4/2017,3.45,3/2/2017,3.55,3/22/2017,1.27,4/5/2017,2.45,5/24/2017,1.11,7/13/2017,0.8,7/17/2017,2.65,8/22/2017,0.88,9/20/2017,1.35,10/4/2017,2.51,11/2/2017,1.5,1/3/2018,5.05,1/3/2018,2.56,2/20/2018,1.9,3/26/2018,3.55,4/3/2018,4.85,5/23/2018,3.35,6/7/2018,5,7/3/2018,3.8,8/21/2018,5.49,9/7/2018,2.26,10/3/2018,2.6,11/5/2018,4.81,12/28/2018,0.49,1/3/2019,3.95,2/22/2019,5.18,3/20/2019,3.6,4/2/2019,3.55,5/24/2019,1,8/12/2019,7.45,7/2/2019,3.7,8/20/2019,2.52,9/25/2019,3.82,10/3/2019,3.35,11/5/2019,3.53,12/30/2019,5.65,1/3/2020,3.5,2/25/2020,2.4,4/3/2020,0.05,,,6/12/2020,14.33,6/25/2020,6.65,7/6/2020,7.78,9/3/2020,14.05
,1/7/2015,1.85,2/26/2015,6.3,3/25/2015,1.2,4/6/2015,2.85,5/20/2015,2,6/29/2015,2.04,7/8/2015,1.87,9/1/2015,0.43,9/28/2015,3.2,10/6/2015,4.35,11/4/2015,2.19,12/24/2015,0.95,1/7/2016,2.07,3/7/2016,3.2,4/5/2016,3.31,4/7/2016,1.73,5/26/2016,0.92,6/23/2016,1.8,7/11/2016,4.18,8/4/2016,1.81,9/26/2016,1.17,10/10/2016,2.64,11/3/2016,2.36,12/23/2016,2.87,1/5/2017,3.3,3/6/2017,3.19,3/23/2017,1.34,4/6/2017,2.27,5/25/2017,1.65,7/14/2017,0.72,7/19/2017,3,8/23/2017,0.72,9/22/2017,1.27,10/5/2017,2.8,11/3/2017,1.69,1/4/2018,5.29,1/4/2018,2.7,2/21/2018,2.62,3/27/2018,2.77,4/4/2018,4.7,5/24/2018,4.05,6/8/2018,5,7/5/2018,3.62,8/22/2018,5.79,9/10/2018,2.3,10/4/2018,1.8,11/7/2018,6.45,12/31/2018,0.35,1/7/2019,7.14,2/27/2019,4.6,3/26/2019,4.6,4/3/2019,3.95,5/28/2019,0.76,,,7/3/2019,4.3,8/21/2019,3.25,9/26/2019,3.9,10/4/2019,3.8,11/6/2019,3.45,1/7/2020,6.25,1/6/2020,3.75,2/26/2020,2.05,4/6/2020,0.08,,,6/15/2020,13.35,6/26/2020,6.32,7/13/2020,11,9/21/2020,6.15
,1/8/2015,2.51,3/2/2015,6.9,3/26/2015,1.02,4/8/2015,2.78,5/21/2015,2.11,6/30/2015,2.06,7/13/2015,3,9/2/2015,0.44,9/29/2015,2.21,10/14/2015,4.87,11/5/2015,2.27,12/28/2015,0.86,1/12/2016,1.75,3/10/2016,2.95,4/7/2016,2.95,4/12/2016,1.62,5/27/2016,1.01,6/24/2016,1.02,7/13/2016,4.3,8/5/2016,2.28,9/27/2016,1.44,10/11/2016,1.95,11/4/2016,2.21,12/27/2016,2.96,1/9/2017,3.52,3/7/2017,2.83,3/27/2017,1.33,4/7/2017,2.04,5/26/2017,1.76,7/17/2017,0.82,7/20/2017,3.28,8/24/2017,0.61,9/25/2017,1.15,10/9/2017,2.65,11/6/2017,2.13,2/5/2018,9.5,1/5/2018,3.36,2/22/2018,1.95,3/28/2018,2.31,4/6/2018,6.1,5/25/2018,4.25,6/11/2018,5.6,7/6/2018,4.15,8/24/2018,5.82,9/11/2018,2.87,10/5/2018,1.99,11/8/2018,6.9,1/2/2019,0.41,1/9/2019,8,2/28/2019,4.6,3/29/2019,4.59,4/4/2019,4.25,5/29/2019,0.6,,,7/5/2019,4.13,8/22/2019,3.6,9/27/2019,3.39,10/7/2019,3.68,11/7/2019,3.18,1/8/2020,6.75,1/7/2020,3.55,2/27/2020,1.35,4/8/2020,0.51,,,7/8/2020,18.85,6/29/2020,6.3,7/17/2020,8.8,10/1/2020,12.7
,1/9/2015,2.07,3/6/2015,5.75,3/27/2015,1.14,4/9/2015,2.9,5/22/2015,2.05,7/1/2015,2.49,7/15/2015,2.87,9/4/2015,0.33,9/30/2015,2.82,10/16/2015,4.83,11/6/2015,2.1,12/29/2015,1.17,1/14/2016,1.1,3/14/2016,3.7,4/13/2016,3.67,4/13/2016,1.82,5/31/2016,0.94,6/27/2016,0.56,7/14/2016,4.19,8/9/2016,1.83,9/28/2016,1.53,10/12/2016,2.27,11/7/2016,2.64,12/28/2016,2.65,1/10/2017,3.5,3/9/2017,3.11,3/28/2017,1.62,4/10/2017,2.3,5/30/2017,1.78,7/18/2017,0.95,7/25/2017,3.05,8/25/2017,0.66,9/26/2017,1.2,10/10/2017,2.6,11/7/2017,1.77,2/6/2018,7.65,1/8/2018,3.41,2/23/2018,2.36,3/29/2018,2.75,4/12/2018,6.2,5/29/2018,4.1,6/12/2018,5.85,7/11/2018,4.6,8/30/2018,7.46,9/13/2018,2.87,10/8/2018,1.79,11/12/2018,4.65,1/3/2019,0.28,1/17/2019,8.05,3/5/2019,5.19,4/4/2019,6.32,4/5/2019,4.92,5/30/2019,0.68,,,7/8/2019,4.56,8/23/2019,2.98,9/30/2019,3.9,10/9/2019,3.82,11/11/2019,2.85,1/16/2020,6.94,1/8/2020,4.05,2/28/2020,1.32,4/9/2020,0.85,,,,,6/30/2020,6.9,7/29/2020,9.5,,
,1/13/2015,1.89,3/11/2015,4.65,3/30/2015,1.46,4/10/2015,3,5/26/2015,1.74,7/6/2015,2.32,7/16/2015,3.17,9/8/2015,0.49,10/1/2015,3,11/3/2015,7.78,11/9/2015,1.57,12/30/2015,0.97,1/15/2016,0.89,3/17/2016,4.11,5/9/2016,3.55,4/14/2016,2,6/1/2016,0.85,6/28/2016,0.7,8/3/2016,3.25,8/10/2016,2.01,9/29/2016,1.46,10/13/2016,1.97,11/10/2016,3.45,12/29/2016,2.49,1/12/2017,3.43,3/17/2017,3.65,3/29/2017,1.89,4/12/2017,2.1,5/31/2017,1.81,7/19/2017,1.17,7/27/2017,3.34,8/28/2017,0.55,9/27/2017,1.17,10/13/2017,2.17,11/8/2017,1.75,2/9/2018,3.35,1/9/2018,3.63,2/26/2018,2.88,4/2/2018,1.5,4/13/2018,5.6,5/30/2018,4,6/14/2018,7,7/12/2018,5.15,9/4/2018,7.49,9/14/2018,2.44,10/9/2018,2.04,11/15/2018,3.6,1/4/2019,0.42,1/29/2019,7.93,3/8/2019,3.17,4/15/2019,7.86,4/9/2019,4.53,5/31/2019,0.46,,,7/9/2019,4.57,8/26/2019,2.46,10/2/2019,2.54,10/11/2019,4.9,11/12/2019,2.67,1/27/2020,4.5,1/9/2020,3.95,3/2/2020,1.41,4/13/2020,0.86,,,,,7/1/2020,7.4,8/7/2020,12.2,,
,1/14/2015,1.43,4/8/2015,6.4,3/31/2015,1.47,4/14/2015,2.66,6/1/2015,1.59,7/7/2015,2.05,7/21/2015,2.81,9/9/2015,0.52,10/5/2015,4.47,11/19/2015,6.54,11/11/2015,1.89,12/31/2015,0.8,1/19/2016,0.89,4/1/2016,5.36,5/12/2016,2.81,4/18/2016,2.48,6/2/2016,1.06,6/29/2016,0.8,8/17/2016,3.8,8/15/2016,2.59,10/3/2016,1.59,10/14/2016,1.91,11/11/2016,3.6,12/30/2016,2.03,1/13/2017,3.89,3/21/2017,2.81,3/30/2017,1.92,4/18/2017,2.1,6/1/2017,2.39,7/20/2017,1.11,7/31/2017,3.05,8/29/2017,0.52,9/28/2017,1.29,10/18/2017,2.57,11/9/2017,1.9,,,1/10/2018,3.5,2/27/2018,1.94,4/3/2018,1.85,4/30/2018,6.92,5/31/2018,3.92,6/18/2018,6.74,7/13/2018,5.1,9/11/2018,7,9/17/2018,1.92,10/10/2018,1.39,11/16/2018,3.1,1/7/2019,0.7,3/4/2019,11.2,3/11/2019,3.66,4/17/2019,8.95,4/11/2019,4.83,6/3/2019,0.27,,,7/10/2019,4.85,8/27/2019,2.59,10/3/2019,2.33,10/14/2019,4.55,11/13/2019,2.47,1/28/2020,5.25,1/10/2020,3.5,3/3/2020,1.31,4/14/2020,1.56,,,,,7/2/2020,7.85,8/10/2020,13.75,,
,1/15/2015,1.21,,,4/1/2015,1.16,4/17/2015,2.08,6/2/2015,1.87,7/8/2015,1.95,7/22/2015,3.05,9/11/2015,0.38,10/7/2015,4.5,11/20/2015,7.05,11/13/2015,0.84,1/4/2016,0.41,1/21/2016,0.93,4/13/2016,5.15,5/18/2016,1.4,4/19/2016,2.31,6/3/2016,0.87,6/30/2016,1.18,8/24/2016,4.1,8/17/2016,1.94,10/4/2016,1.47,10/17/2016,1.57,11/14/2016,3.95,1/3/2017,2.42,1/17/2017,4.05,3/22/2017,2.57,3/31/2017,2.1,4/20/2017,2.72,6/2/2017,2.54,7/21/2017,1.04,8/7/2017,2.79,8/30/2017,0.65,9/29/2017,1.44,10/23/2017,2,11/10/2017,2.16,,,1/11/2018,4.55,2/28/2018,2.31,4/4/2018,2.73,5/8/2018,6.95,6/1/2018,4.47,6/19/2018,6.7,7/16/2018,5.63,9/12/2018,7,9/18/2018,2.53,10/11/2018,0.69,11/19/2018,2.43,1/8/2019,0.88,3/7/2019,9.9,3/22/2019,6.03,4/22/2019,8.15,4/12/2019,5.35,6/4/2019,0.6,,,7/11/2019,4.85,8/28/2019,2.95,10/4/2019,2.98,10/15/2019,4.8,11/14/2019,2.67,2/7/2020,7.63,1/13/2020,3.57,3/4/2020,1.67,4/15/2020,1.03,,,,,7/10/2020,10.28,8/18/2020,18,,
,1/16/2015,1.12,,,4/2/2015,1.46,4/20/2015,2.44,6/3/2015,1.86,7/13/2015,3.28,7/23/2015,2.78,9/16/2015,0.5,10/12/2015,5.49,11/25/2015,7.85,11/16/2015,1.01,1/5/2016,0.32,1/22/2016,1.14,,,5/19/2016,1.26,4/20/2016,2.34,6/6/2016,0.75,7/1/2016,1.53,9/9/2016,1.15,8/19/2016,1.92,10/5/2016,1.72,10/18/2016,1.79,11/15/2016,3.8,1/4/2017,2.98,1/18/2017,3.7,3/23/2017,2.72,4/3/2017,1.52,4/21/2017,2.31,6/8/2017,1.74,7/24/2017,0.9,8/8/2017,3.1,8/31/2017,0.76,10/2/2017,1.53,10/24/2017,2.06,11/13/2017,2.3,,,1/12/2018,5.64,3/1/2018,1.33,4/5/2018,3.3,5/10/2018,6.98,6/4/2018,4.86,6/21/2018,7.03,7/17/2018,5.67,9/13/2018,7.75,9/19/2018,2.4,10/12/2018,0.93,11/20/2018,1.46,1/9/2019,0.94,3/8/2019,9.05,3/29/2019,7.11,4/30/2019,8.81,4/15/2019,5.2,6/5/2019,0.73,,,7/12/2019,5.95,8/29/2019,3.77,10/7/2019,2.64,10/16/2019,5.35,11/15/2019,2.77,2/19/2020,11.71,1/14/2020,3.69,3/5/2020,1.18,4/17/2020,2.01,,,,,7/13/2020,12.1,9/1/2020,22.5,,
,1/20/2015,1.15,,,4/6/2015,1.66,4/21/2015,2.43,6/5/2015,1.66,8/3/2015,4.3,7/27/2015,2.56,9/17/2015,0.63,10/22/2015,6.2,11/30/2015,7.67,11/17/2015,1.19,1/6/2016,0.23,1/25/2016,0.87,,,5/20/2016,1.58,4/21/2016,2.32,6/7/2016,0.95,7/20/2016,2.95,9/12/2016,1.63,8/22/2016,1.83,10/6/2016,1.68,10/19/2016,1.84,11/16/2016,4.17,1/5/2017,2.74,1/19/2017,3.9,3/27/2017,2.96,4/4/2017,1.63,4/24/2017,2.92,6/9/2017,1.13,7/25/2017,1.27,8/9/2017,2.17,9/1/2017,0.97,10/3/2017,1.73,10/25/2017,1.92,11/14/2017,2.25,,,1/16/2018,5.62,3/2/2018,1.24,4/6/2018,2.14,5/15/2018,6.55,6/5/2018,5.6,6/25/2018,4.95,7/19/2018,5.69,9/17/2018,6,9/20/2018,2.95,10/15/2018,0.86,11/21/2018,1.5,1/10/2019,0.79,,,4/1/2019,8.26,5/1/2019,9.05,4/16/2019,5.8,6/6/2019,0.85,,,7/15/2019,6.23,8/30/2019,3.35,10/8/2019,2.46,10/23/2019,4.14,11/18/2019,2.85,2/20/2020,11.61,1/15/2020,3.25,3/6/2020,0.96,4/20/2020,1.44,,,,,7/15/2020,11.79,9/8/2020,17.53,,
,1/21/2015,1.26,,,4/7/2015,1.31,4/22/2015,2.53,6/8/2015,1.44,8/5/2015,4.16,7/28/2015,2.84,9/18/2015,0.31,10/30/2015,7.99,12/1/2015,7.65,11/18/2015,1.52,1/7/2016,0.21,1/26/2016,1.16,,,,,4/22/2016,1.89,6/8/2016,0.9,7/21/2016,2.89,9/13/2016,0.79,8/23/2016,2,10/7/2016,1.48,10/20/2016,1.78,11/17/2016,4.65,1/6/2017,3.22,1/20/2017,3.65,3/28/2017,3,4/5/2017,1.95,4/25/2017,3.1,6/12/2017,1.31,7/27/2017,1.62,8/10/2017,1.72,9/5/2017,0.85,10/4/2017,2.05,10/26/2017,2.22,11/15/2017,2.18,,,1/19/2018,6.25,3/5/2018,1.6,4/9/2018,2.63,5/16/2018,7.75,6/6/2018,6.55,6/26/2018,5.55,7/23/2018,4.7,9/18/2018,7.1,9/21/2018,2.62,10/16/2018,0.93,11/26/2018,1.98,1/11/2019,0.66,,,4/3/2019,9.45,,,4/17/2019,6.03,6/7/2019,1.36,,,7/16/2019,6.15,9/3/2019,3.1,10/9/2019,2.51,10/24/2019,4.27,11/19/2019,2.28,,,1/16/2020,3.85,3/9/2020,0.66,4/21/2020,1.07,,,,,7/22/2020,12.5,,,,
